held_out,targets,common_share,common_transfer_r,t20_at_submission_scale,inputs,t20like_scales_crossfit,t20like_ratio_crossfit,t20like_ratio_oracle,common_scales_crossfit,common_ratio_crossfit,common_ratio_oracle,t20like+common_scales_crossfit,t20like+common_ratio_crossfit,t20like+common_ratio_oracle,pds_t20like,pds_t20like_plus_common_crossfit
k562,271,0.013317222787442518,0.11126737715937907,1.0823210029700254,cd4_mix+orion_hct116+orion_hek293t,[0.035204677921850655],0.9993659352038728,0.9988709105987574,[0.07083625804508108],0.9996661210692072,0.9989670996668368,"[0.03521665613571595, 0.0709635724004376]",0.9990311457959342,0.9978347241895743,0.779363126964603,0.7438157714910483
cd4_mix,292,0.14252604501237143,0.0461297499047757,1.261802934808331,k562+orion_hct116+orion_hek293t,[0.03962131349923223],0.9992883052984607,0.9992529285128221,[0.15473507152381846],1.0003205886432012,0.9999760676279079,"[0.039672968579290535, 0.15506559184398547]",0.9996116659373092,0.9992293245871318,0.6922633338040767,0.610306924633997
orion_hct116,265,0.0780508857771145,0.056100384928165103,1.2590576578586825,k562+cd4_mix,[0.0455028017501453],0.9996972343359727,0.9996647616408383,[0.1531624169335987],1.0002601289134814,0.9999999092053049,"[0.04550059514866934, 0.1531500545001267]",0.9999549589286866,0.99966470175713,0.7084048027444254,0.6482275586049171
orion_hek293t,278,0.0574652488490609,0.05601544724508661,1.4555003282192285,k562+cd4_mix,[0.050643080178550966],0.9999360433326385,0.999658702411922,[0.08291488742774962],0.9995700565141712,0.9993613794862334,"[0.05066430198495929, 0.08314802607734893]",0.9995054150109487,0.9990197184619591,0.676583642833026,0.668688154169805
