variant,held_out,predictors,targets,spearman_inner_outer,outer_mean_ungated,gated_share_tau0.3,outer_mean_tau0.3,gain_tau0.3,gated_share_tau0.4,outer_mean_tau0.4,gain_tau0.4,gated_share_tau0.5,outer_mean_tau0.5,gain_tau0.5,gated_share_tau0.6,outer_mean_tau0.6,gain_tau0.6
base_g1,k562,cd4_mix+orion_hct116+orion_hek293t,254,0.3510544855397134,0.7599300087489065,0.14960629921259844,0.7273403324584428,-0.03258967629046372,0.22440944881889763,0.7139836687080782,-0.045946340040828315,0.3228346456692913,0.6958734324876056,-0.0640565762613009,0.421259842519685,0.6813502478856809,-0.0785797608632256
base_g1,cd4_mix,k562+orion_hct116+orion_hek293t,254,0.32630337896352074,0.6683037043050031,0.09055118110236221,0.6603688069919095,-0.007934897313093603,0.15354330708661418,0.6573111995021239,-0.010992504802879166,0.24803149606299213,0.6412519955624103,-0.027051708742592773,0.31496062992125984,0.636861758259599,-0.03144194604540407
base_g1,orion_hct116,k562+cd4_mix,239,0.3391330115636711,0.7014073792316472,0.14644351464435146,0.6875554710282745,-0.013851908203372676,0.19246861924686193,0.682008368200837,-0.01939901103081021,0.26359832635983266,0.6666983643971093,-0.03470901483453792,0.3389121338912134,0.6614999366045392,-0.03990744262710799
base_g1,orion_hek293t,k562+cd4_mix,251,0.3818089927977435,0.656263034504581,0.13545816733067728,0.6498914090928704,-0.0063716254117106574,0.17928286852589642,0.6489349461360334,-0.007328088368547592,0.24701195219123506,0.6396076344441727,-0.016655400060408332,0.32270916334661354,0.6375436880636299,-0.01871934644095108
shrunk_g1,k562,cd4_mix+orion_hct116+orion_hek293t,254,0.3909321164798145,0.7829396325459318,0.1377952755905512,0.754782735491397,-0.028156897054534835,0.24015748031496062,0.7357976086322543,-0.0471420239136775,0.3031496062992126,0.7198600174978127,-0.0630796150481191,0.4094488188976378,0.6957130358705161,-0.08722659667541566
shrunk_g1,cd4_mix,k562+orion_hct116+orion_hek293t,254,0.3606056439998722,0.6830370430500312,0.07480314960629922,0.6830708661417323,3.3823091701079555e-05,0.13385826771653545,0.6765294802067267,-0.00650756284330456,0.1968503937007874,0.6709554346943746,-0.012081608355656637,0.2637795275590551,0.6628040695943934,-0.020232973455637793
shrunk_g1,orion_hct116,k562+cd4_mix,239,0.41632865121438095,0.7118676302776721,0.13807531380753138,0.7051635602890833,-0.006704069988588746,0.18828451882845187,0.6991092937745658,-0.012758336503106316,0.26778242677824265,0.6872860403195131,-0.024581589958158956,0.3305439330543933,0.6805978191961455,-0.0312698110815266
shrunk_g1,orion_hek293t,k562+cd4_mix,251,0.41946534443909433,0.6732348584003337,0.13147410358565736,0.6698189192687732,-0.0034159391315604637,0.1752988047808765,0.666935147496656,-0.006299710903677758,0.250996015936255,0.6611891783048311,-0.012045680095502553,0.3147410358565737,0.6553209544493506,-0.017913903950983134
