target,panel,energy,genes_z3,cells
DOCK3,False,24.1588,421,1368
DOCK5,False,18.3385,467,1570
DOCK6,False,17.5759,300,1486
DOCK7,False,18.9886,404,1622
DOCK8,False,17.6454,569,2753
DOCK9,False,28.7373,638,1706
DOHH,False,107.896,2379,1076
DOK1,False,14.3161,403,2264
DOK2,False,17.4341,307,1220
DOK3,False,17.4101,520,1609
DOK4,False,55.266,1860,4388
DOK5,False,52.6905,1367,2754
DOK6,False,23.1958,888,2097
DOLK,False,31.7217,400,652
DOLPP1,False,62.5101,3467,5856
DONSON,False,173.28,125,23
DOP1A,False,47.5663,1760,1872
DOP1B,False,623.158,7470,7570
DOT1L,False,44.9389,510,598
DPAGT1,False,113.658,308,90
DPCD,False,19.1163,278,1250
DPEP2,False,19.8821,533,1670
DPF1,False,25.8543,903,1169
DPF2,False,37.2343,205,283
DPF3,False,20.4205,675,2930
DPH1,False,81.5762,1050,484
DPH2,False,35.2519,690,804
DPH3,False,22.981,691,1411
DPH5,False,58.755,1787,869
DPH6,False,33.6184,925,929
DPH7,False,16.377,885,1916
DPM1,False,30.0477,1141,2041
DPM2,False,16.2004,434,1450
DPM3,False,27.2769,793,2206
DPP3,False,61.5428,2017,2292
DPP4,False,24.6301,938,3063
DPP7,False,52.5803,120,128
DPP8,False,14.7912,256,1626
DPP9,False,15.6004,351,1192
DPRX,False,25.0541,1148,1613
DPY19L1,False,19.2133,310,771
DPY19L3,False,69.0784,167,221
DPY19L4,False,22.8673,1045,3116
DPYD,False,14.2119,465,2102
DPYSL2,False,26.147,1317,3503
DPYSL4,False,23.6134,1097,3533
DR1,False,33.9824,1279,1428
DRAM1,False,14.6843,468,1959
DRAM2,False,23.8553,680,1784
DRAP1,False,100.623,2768,1876
DRC3,False,93.2895,3003,6622
DRG1,False,21.1329,823,1346
DRG2,True,20.8776,1029,2137
DRGX,False,15.587,841,3336
DRICH1,False,20.5175,673,3352
DSC1,False,27.7953,859,2401
DSC2,False,29.4644,642,1681
DSCC1,False,64.1566,1160,1269
DSE,False,14.6251,482,1864
DSEL,False,27.0644,605,1008
DSP,False,17.8936,438,1362
DST,False,12.1675,640,3220
DSTN,False,13.8272,230,1729
DSTYK,False,18.3715,546,1903
DTD1,False,14.0797,482,1779
DTD2,False,18.5937,248,1083
DTHD1,False,19.6756,213,1512
DTL,False,119.865,374,138
DTNB,False,28.7704,344,536
DTNBP1,True,18.8895,410,1315
DTWD1,False,32.6137,565,675
DTWD2,False,14.745,287,1325
DTX1,False,18.5191,679,3160
DTX2,False,13.2048,240,1084
DTX3,False,23.0683,657,1854
DTX3L,False,19.7459,555,1966
DTX4,False,23.9451,1195,2167
DTYMK,False,27.7617,172,318
DUS1L,False,16.1979,280,958
DUS2,False,21.8855,270,625
DUS3L,False,18.1257,331,972
DUS4L,False,24.9143,283,717
DUSP1,False,19.5152,863,2897
DUSP10,False,18.9678,687,2392
DUSP11,False,15.6676,632,2527
DUSP12,False,113.104,1272,294
DUSP14,False,26.1666,492,1111
DUSP16,False,31.7958,838,1403
DUSP18,False,49.2018,1549,2181
DUSP19,False,14.1065,508,2904
DUSP2,False,17.59,721,2296
DUSP22,False,17.8375,390,1665
DUSP23,False,22.9476,550,1833
DUSP28,False,341.404,102,11
DUSP3,False,14.1639,397,2360
DUSP4,False,19.5103,546,1515
DUSP5,False,37.0992,1178,3201
DUSP6,False,32.1086,658,1342
DUSP7,False,15.8873,589,3573
DUSP8,False,28.49,1306,2466
DUX4,False,15.0858,359,1621
DUXA,False,15.0293,196,994
DVL1,False,18.9375,238,683
DVL2,False,16.6435,609,1581
DVL3,True,23.7957,1096,2131
DXO,False,17.8926,530,1820
DYM,False,20.7637,653,2231
DYNC1H1,False,79.6375,139,57
DYNC1LI1,False,16.6417,338,1220
DYNC1LI2,False,25.5106,1013,2619
DYNC2H1,False,24.6456,453,698
DYNC2I1,False,22.8188,967,3012
DYNC2I2,False,21.0968,1183,3104
DYNC2LI1,False,32.6449,769,1533
DYNLL1,False,33.4527,972,1155
DYNLL2,False,39.9012,494,700
DYNLRB1,False,114.756,452,130
DYNLT1,False,16.5845,324,1136
DYNLT2,False,27.1518,770,2715
DYNLT2B,False,14.1187,342,1487
DYNLT3,False,24.294,1368,3403
DYNLT4,False,18.8664,1315,5423
DYRK1A,False,16.9789,424,2630
DYRK1B,False,16.1873,551,2427
DYRK2,False,21.7411,757,1745
DYRK3,False,26.0107,1024,2337
DYRK4,False,39.5415,1201,1844
DYSF,False,24.5226,1033,2967
DZANK1,False,37.3032,458,387
DZIP1,False,35.2101,1586,2561
DZIP3,False,23.1937,800,1407
E2F1,True,57.735,840,452
E2F2,False,27.0572,441,1226
E2F3,False,21.8027,615,1490
E2F4,True,22.3804,262,493
E2F5,False,16.3568,288,1065
E2F6,False,24.7787,313,788
E2F7,False,14.1928,314,1237
E2F8,False,21.4037,522,1207
E4F1,False,342.651,231,22
EAF1,False,28.7429,934,2908
EAF2,False,37.2495,1363,2833
EAPP,True,84.8291,156,71
EARS2,False,36.1595,995,975
EBAG9,False,22.728,392,1258
EBF1,False,22.2363,310,922
EBF2,False,14.6653,471,1616
EBF3,False,47.2186,3105,2751
EBF4,False,26.3319,527,849
EBI3,False,23.4382,1037,3367
EBLN2,False,15.6949,455,2735
EBP,False,14.6299,884,3549
EBPL,False,47.4947,1665,3723
ECD,False,148.304,1962,1463
ECE1,False,15.6676,390,1442
ECE2,False,28.3523,770,2550
ECH1,False,17.0051,390,1397
ECHDC1,False,12.3933,384,2208
ECHDC2,False,18.9576,459,2154
ECHS1,False,49.7379,2091,2729
ECI1,False,21.3292,425,1242
ECI2,False,18.1172,258,926
ECPAS,False,14.339,302,1379
ECRG4,False,27.2214,1016,1174
ECSIT,False,25.4507,988,1548
EDA,False,17.1643,369,1687
EDAR,False,18.9699,517,1793
EDARADD,False,20.7478,688,2070
EDC3,False,152.042,5075,4570
EDC4,False,19.3509,730,1179
EDEM1,False,26.4132,579,979
EDEM2,False,17.799,586,1926
EDEM3,False,13.6078,480,1525
EDF1,False,15.9241,1203,3314
EDN1,False,13.7091,409,1819
EDN3,False,27.9723,903,2046
EDRF1,False,53.694,227,264
EEA1,False,42.2723,1356,3056
EED,False,16.8768,370,1149
EEF1A1,False,29.2174,553,1043
EEF1AKMT1,False,14.6141,317,1266
EEF1AKMT2,False,15.2501,631,1884
EEF1AKMT3,False,18.5587,1103,5467
EEF1B2,False,21.1097,440,1229
EEF1D,False,23.3474,227,715
EEF1E1,False,22.7946,702,1495
EEF1G,False,62.4294,165,117
EEF2K,False,20.6248,362,1051
EEF2KMT,False,48.9322,301,222
EEFSEC,False,44.0016,431,498
EEIG1,False,18.3223,588,2333
EEIG2,False,28.2284,775,1750
EEPD1,False,20.2817,413,1223
EFCAB11,False,23.7234,942,2212
EFCAB13,False,16.2486,600,1662
EFCAB14,False,33.1207,1046,3361
EFCAB2,False,15.4267,530,1844
EFCAB7,False,18.7246,386,1760
EFEMP2,False,22.4448,218,730
EFHC1,False,21.9372,746,1069
EFHC2,False,25.8272,1002,1931
EFHD1,False,18.0096,796,2688
EFHD2,False,124.754,1166,478
EFNA1,False,14.3517,372,2190
EFNA4,False,17.336,146,676
EFNB1,False,19.4487,469,1435
EFNB2,False,20.9422,901,4086
EFR3A,False,130.017,1154,195
EGF,False,21.0614,595,1310
EGFL6,False,12.943,156,1730
EGFL7,False,16.1049,293,1133
EGFL8,False,25.4548,329,481
EGLN1,False,19.2059,669,2042
EGLN2,False,48.0604,1360,1407
EGLN3,False,22.9526,448,1201
EGR1,False,13.9234,375,1696
EGR2,False,34.1558,1024,1812
EGR3,False,18.1371,583,1400
EGR4,False,12.9517,420,2808
EHBP1,False,26.8108,490,845
EHBP1L1,False,21.9195,279,814
EHD1,False,21.785,1021,2476
EHD3,False,13.0322,371,2292
EHD4,False,21.6318,351,1488
EHF,False,13.0851,558,3298
EHMT1,False,42.294,2842,4663
EHMT2,False,70.4782,2294,1895
EI24,False,66.1966,486,399
EID1,False,41.1545,588,1218
EID2,False,24.9116,740,1173
EID2B,False,19.1176,711,1649
EID3,False,21.065,440,1984
EIF1,False,75.3102,1430,1116
EIF1AD,False,42.6839,284,457
EIF1AX,False,165.826,3334,1488
EIF1AY,False,17.127,459,1198
EIF1B,False,32.0316,365,566
EIF2A,False,14.6159,353,2008
EIF2AK1,False,15.568,384,1372
EIF2AK2,False,15.5048,410,2537
EIF2AK3,False,17.0174,369,1259
EIF2AK4,False,27.1221,748,1110
EIF2B1,False,81.9723,175,85
EIF2B4,False,68.3169,223,109
EIF2D,False,19.4378,415,1142
EIF2S1,False,56.1739,443,392
EIF2S3,False,30.7829,804,1450
EIF3E,False,132.489,169,35
EIF3G,False,88.5367,119,82
EIF3H,False,48.3805,880,523
EIF3J,False,107.293,557,163
EIF3K,False,62.3341,2149,1986
EIF3L,False,35.6646,915,832
EIF3M,False,101.689,553,182
EIF4A1,False,93.027,593,183
EIF4A2,False,122.643,296,86
EIF4A3,False,118.224,1130,598
EIF4B,False,51.3052,1456,1356
EIF4E,False,41.9536,429,455
EIF4E2,False,19.3021,552,1725
EIF4E3,False,24.1622,442,1762
EIF4EBP1,False,35.2607,695,1827
EIF4EBP2,False,26.5136,1006,3007
EIF4EBP3,False,22.0795,974,1870
EIF4ENIF1,False,23.4692,181,443
EIF4G1,False,297.745,1380,149
EIF4G2,False,114.471,2588,801
EIF4G3,False,17.7571,265,1060
EIF4H,False,28.1525,674,1064
EIF5,False,15.4128,315,1532
EIF5A,False,153.155,1006,155
EIF5A2,False,14.9442,318,1357
EIF6,False,162.07,121,21
EIPR1,False,42.329,1011,699
ELAC1,False,49.2409,683,546
ELAC2,False,238.212,345,72
ELAPOR1,False,19.8349,187,654
ELAPOR2,False,46.3777,186,208
ELAVL1,False,94.8535,3780,3243
ELF1,False,25.4174,147,469
ELF2,False,21.5866,555,2222
ELF3,False,19.7046,358,1517
ELF4,False,46.1057,1229,1080
ELF5,False,14.2605,622,2833
ELK1,True,20.0968,1001,2118
ELK3,False,23.7069,668,2412
ELK4,False,15.1274,529,2202
ELL,False,27.5852,240,343
ELL2,False,14.4643,442,2635
ELMO1,False,25.1934,124,408
ELMO2,False,91.7173,277,127
ELMO3,False,21.7255,251,880
ELMOD2,False,15.6952,504,2631
ELMOD3,False,22.103,308,721
ELOA,False,32.1632,706,962
ELOB,False,236.076,4405,2830
ELOC,False,31.4158,963,1719
ELOF1,False,187.698,6262,7696
ELOVL1,False,21.8796,914,2502
ELOVL4,False,13.3606,342,2456
ELOVL5,False,19.0259,827,2332
ELOVL6,False,29.1052,702,1379
ELOVL7,False,20.6727,616,2353
ELP1,False,68.3281,927,431
ELP2,False,93.3042,1340,627
ELP3,False,61.6548,1618,1183
ELP4,False,73.1799,750,455
ELP5,False,53.206,1195,931
ELP6,False,119.829,1766,1227
EMB,False,17.9616,725,1620
EMC1,False,31.8712,381,704
EMC10,False,18.3758,278,1041
EMC2,False,67.7019,652,319
EMC3,False,62.2099,1637,2600
EMC4,False,32.5,889,868
EMC6,False,25.3802,647,919
EMC7,False,16.6905,744,2322
EMC8,False,12.9521,604,2692
EMC9,False,30.8924,985,1038
EMD,False,29.2441,863,2879
EME1,False,30.6865,350,683
EME2,False,31.1728,484,659
EMG1,False,72.3228,316,205
EMILIN2,False,23.2093,604,1777
EML2,False,35.7608,1000,1166
EML3,False,54.5862,235,254
EML4,False,13.5532,380,2035
EML5,False,17.8817,665,2672
EMP1,False,15.8094,301,1699
EMP3,False,25.1782,936,1518
EMSY,False,36.6667,209,306
EMX1,False,24.6841,623,1215
EMX2,False,15.1963,322,1813
EN1,False,52.8247,1707,2667
EN2,False,67.9141,3095,5588
ENC1,False,23.3372,1260,2600
ENDOD1,False,22.8901,873,2351
ENDOG,False,49.7636,2354,2392
ENDOV,False,37.1044,1571,3350
ENG,False,29.2467,855,2895
ENGASE,False,47.6715,1525,4866
ENKD1,False,18.2985,471,2280
ENKUR,False,24.6963,1243,2967
ENO1,False,67.393,345,204
ENO2,False,19.225,377,1152
ENO3,False,41.238,323,369
ENOPH1,False,16.5753,721,2615
ENOSF1,False,11.4228,308,2591
ENOX2,False,25.2136,622,1705
ENPP1,False,12.6355,360,1540
ENPP2,False,24.7794,1225,2853
ENPP3,False,28.3662,464,1014
ENPP4,False,18.4058,486,1331
ENPP5,False,19.9859,308,1009
ENSA,False,31.7635,982,1894
ENSG00000275895,False,37.0597,179,293
ENSG00000289731,False,13.2496,355,1543
ENTPD1,False,34.6651,1185,2838
ENTPD4,False,13.7717,347,1974
ENTPD5,False,8.96188,327,2252
ENTPD6,False,54.8724,281,209
ENTPD7,False,20.8692,506,2375
ENTR1,False,43.1919,351,646
ENTREP3,False,32.2714,1228,2680
ENY2,False,74.34,286,135
EOGT,False,17.8858,704,1982
EOLA1,False,18.7461,1350,4176
EOLA2,False,16.5224,415,2072
EOMES,False,21.0467,911,2722
EP300,False,51.6875,2628,6149
EPAS1,False,26.2653,1037,1841
EPB41,False,27.3609,793,3021
EPB41L2,False,27.8139,846,1069
EPB41L3,False,59.003,2049,1242
EPB41L5,False,49.3162,284,474
EPB42,False,15.7298,210,1118
EPC1,False,37.1362,1769,1949
EPC2,True,34.7558,917,1592
EPCAM,False,20.134,603,1641
EPG5,False,89.4666,1725,2142
EPGN,False,12.8594,252,1063
EPHA1,False,20.7412,459,1765
EPHA4,False,19.6448,1228,6113
EPHB4,False,78.4022,288,200
EPHB6,False,32.8194,1198,2547
EPHX1,False,19.0654,245,911
EPHX2,False,20.8805,740,2656
EPM2A,False,23.5069,620,1914
EPM2AIP1,True,26.8572,627,893
EPN1,False,22.9551,735,1573
EPN2,False,15.2407,272,1902
EPOP,False,23.7144,275,787
EPOR,False,21.9721,664,2571
EPPK1,False,20.2734,276,1275
EPS15,False,11.9254,342,2130
EPS15L1,False,48.9503,460,541
EPS8,False,18.7375,221,829
EPS8L2,False,15.2605,386,1551
EPSTI1,False,22.6235,808,2654
ERAL1,False,25.0435,603,1018
ERAP1,False,11.643,360,2437
ERAP2,False,18.1393,924,3057
ERBIN,False,16.321,786,1733
ERC1,False,20.226,475,1412
ERCC1,False,65.9223,2965,2081
ERCC3,False,70.6127,322,91
ERCC4,False,88.5073,1350,432
ERCC5,False,19.8772,449,1540
ERCC6,False,25.4433,802,1509
ERCC6L,False,45.2178,1095,1244
ERCC6L2,False,19.9202,1112,1550
ERCC8,False,27.0029,679,2156
EREG,False,31.0543,1058,1012
ERF,False,30.629,291,558
ERG,False,19.1351,315,1000
ERG28,False,23.7601,603,1313
ERGIC1,False,31.4126,724,1118
ERGIC2,False,14.5643,355,1725
ERGIC3,False,370.613,6345,8870
ERH,False,275.396,332,29
ERI1,False,30.8005,251,472
ERI2,False,27.6716,1047,2511
ERI3,False,12.5763,502,2186
ERICH1,False,25.2453,840,1762
ERLEC1,False,24.475,490,661
ERLIN1,False,14.9961,309,1136
ERLIN2,False,20.7033,458,1016
ERMAP,False,19.5139,604,2102
ERMARD,False,87.6551,1668,2283
ERMN,False,24.5266,455,1205
ERMP1,False,30.5197,341,796
ERN1,False,24.3688,1133,2875
ERO1A,False,67.6097,1447,1799
ERO1B,False,10.611,323,2390
ERP27,False,41.9542,805,1425
ERP29,False,26.4609,650,1644
ERP44,False,23.9113,734,1229
ERRFI1,False,37.5564,989,1916
ERV3-1,False,41.4001,644,825
ESAM,False,18.8424,643,3693
ESCO1,False,24.9083,1026,1743
ESCO2,False,53.4066,297,189
ESD,False,16.5184,356,1540
ESF1,False,104.04,200,82
ESM1,False,13.1321,297,1595
ESPN,False,22.0977,522,1425
ESR1,False,22.424,981,1602
ESR2,False,13.6116,641,2120
ESRRA,False,13.0576,530,2344
ESRRB,False,12.7028,518,3446
ESRRG,False,25.5896,897,3334
ESS2,False,35.8959,406,281
ESX1,False,21.8112,732,2665
ESYT1,False,27.4807,157,392
ESYT2,False,89.1658,276,92
ETAA1,False,25.5741,922,1544
ETF1,False,112.038,166,53
ETFA,False,58.905,1339,2089
ETFB,False,101.275,2769,4021
ETFBKMT,False,19.4017,190,716
ETFDH,False,181.518,303,91
ETFRF1,False,13.5247,264,1456
ETHE1,False,21.8368,587,2444
ETNK1,False,28.0654,1075,1526
ETNK2,False,20.2103,401,1416
ETS1,False,19.9463,244,904
ETS2,False,36.954,1827,3322
ETV1,False,57.6419,1491,2900
ETV2,False,15.6892,346,959
ETV3,False,19.9902,402,948
ETV3L,False,29.5641,967,2290
ETV4,False,27.3837,592,1077
ETV5,False,26.1839,271,473
ETV6,False,12.2657,465,2361
ETV7,False,15.6105,325,1844
EVA1B,False,18.6171,518,1885
EVA1C,False,20.4862,814,3081
EVC,False,32.2153,586,948
EVC2,False,25.0636,804,1377
EVI2A,False,19.8975,616,2059
EVI2B,False,24.9735,656,2459
EVI5,False,26.7995,1028,3937
EVI5L,False,24.6363,775,1697
EVL,False,16.4221,469,2549
EVX1,False,26.1191,1010,2921
EVX2,False,19.3891,356,1552
EWSR1,False,67.4093,3655,2313
EXD2,False,38.7044,1644,3511
EXD3,False,25.0385,595,1350
EXO1,False,40.5086,171,316
EXO5,False,18.7321,260,1077
EXOC1,False,51.2928,447,287
EXOC2,False,256.824,278,24
EXOC3,False,59.8634,182,211
EXOC4,False,125.658,1190,410
EXOC5,False,77.3858,126,78
EXOC6,False,59.6231,2249,2820
EXOC6B,False,22.8896,959,1582
EXOC7,False,72.0459,951,405
EXOC8,False,68.7489,968,467
EXOG,False,14.6662,345,1270
EXOSC1,False,124.385,566,171
EXOSC10,False,380.824,198,10
EXOSC3,False,257.358,194,10
EXOSC5,False,136.116,204,72
EXOSC6,False,57.132,137,92
EXOSC8,False,137.862,403,99
EXOSC9,False,37.7475,182,241
EXPH5,False,17.896,585,2082
EXT1,False,20.528,1030,2150
EXT2,False,26.1746,817,1216
EXTL2,False,66.734,1838,1938
EXTL3,False,22.9263,255,590
EYA3,False,19.0661,138,695
EYS,False,18.8483,449,2218
EZH1,False,15.1478,205,850
EZH2,True,74.9107,701,349
EZR,False,37.8175,606,641
F11R,False,15.3745,244,1347
F12,False,28.0518,901,2745
F13A1,False,24.2754,854,2517
F2R,False,16.461,535,2927
F2RL1,False,21.6666,656,2121
F3,False,19.5658,372,1316
F5,False,27.1788,1320,2991
F8,False,52.9024,1398,2267
F8A1,False,23.6375,581,1285
F8A3,False,22.7889,367,886
FAAH,False,16.4568,493,2055
FAAH2,False,18.4469,410,1481
FAAP100,False,26.9842,661,920
FAAP20,False,32.5666,207,410
FAAP24,False,44.6907,167,237
FABP1,False,13.4299,459,2468
FABP2,False,14.0691,538,2797
FABP3,False,20.2999,601,3381
FABP4,False,14.3678,404,1636
FABP5,False,15.6566,339,1238
FABP6,False,91.7645,2490,3127
FADS1,False,35.4184,1523,2069
FADS2,False,15.9046,582,1888
FADS3,False,50.2659,1629,2267
FAF1,False,42.5817,2666,6159
FAF2,False,79.212,801,288
FAH,False,14.0547,385,2143
FAHD1,False,32.4214,1365,4352
FAHD2A,False,36.4263,213,381
FAHD2B,False,19.1799,673,3939
FAIM,False,14.9312,337,1283
FAM107B,False,27.2309,612,1446
FAM110A,False,19.2346,534,1058
FAM110C,False,16.4526,463,2285
FAM111A,False,15.1865,637,2171
FAM111B,False,18.8775,604,1908
FAM114A2,False,14.6419,457,2527
FAM117A,False,15.2296,421,1580
FAM117B,False,35.6118,983,1327
FAM118A,False,37.6612,1003,826
FAM118B,False,26.702,574,1252
FAM120A,True,32.7487,798,1275
FAM120AOS,False,13.5009,443,2048
FAM120B,False,12.2183,325,2092
FAM120C,False,18.4995,136,535
FAM124B,False,23.0942,804,1855
FAM131A,False,38.1558,373,598
FAM133B,False,31.7285,863,1581
FAM135A,False,15.6377,436,1380
FAM136A,False,29.4617,340,572
FAM13A,False,21.0079,984,2216
FAM13B,False,43.0335,206,260
FAM149B1,False,120.277,296,156
FAM153A,False,33.3549,1188,3014
FAM156A,False,22.7055,404,1157
FAM156B,False,27.6887,796,1919
FAM161A,False,43.6221,1994,1674
FAM161B,False,45.6455,2496,2087
FAM162A,False,32.9591,248,530
FAM167B,False,30.103,1196,3133
FAM168A,False,12.5165,425,2389
FAM168B,False,14.9817,558,2514
FAM169A,False,21.1141,700,1395
FAM170A,False,22.6526,499,933
FAM171A1,False,30.9692,435,1073
FAM174A,False,21.5631,587,1049
FAM174B,False,11.0508,421,2154
FAM174C,False,19.9215,622,1257
FAM177A1,False,23.0471,510,1163
FAM184A,False,14.7065,427,1986
FAM184B,False,16.9506,498,1651
FAM185A,False,26.2525,1309,2896
FAM193A,False,54.1936,2664,2203
FAM193B,False,18.0859,371,1091
FAM199X,False,18.1621,672,2114
FAM200A,False,32.3713,1174,3111
FAM200B,False,16.9008,313,971
FAM204A,False,64.1728,722,349
FAM209A,False,18.481,430,1816
FAM209B,False,31.047,521,825
FAM20B,False,56.889,1210,1152
FAM20C,False,12.044,455,2561
FAM210A,False,59.8366,548,347
FAM210B,False,46.2574,1513,3658
FAM216A,False,18.4354,578,1498
FAM217B,False,16.4803,539,1463
FAM219A,False,19.0689,954,2504
FAM219B,False,27.9684,1277,2262
FAM220A,False,25.9072,1130,1310
FAM221A,False,15.1956,454,1568
FAM222A,False,22.7352,358,1090
FAM222B,False,20.5333,448,1779
FAM227B,False,21.6319,371,1382
FAM228B,False,12.3582,296,1266
FAM229A,False,16.7228,703,3418
FAM229B,False,62.2232,2761,5284
FAM234A,False,42.8536,1249,2263
FAM234B,False,16.0852,389,1463
FAM241A,False,33.9073,747,1385
FAM241B,False,38.9636,1086,2181
FAM24B,False,49.9706,1540,3897
FAM3A,False,32.0632,1225,2344
FAM3C,False,32.9774,982,1866
FAM3D,False,18.2587,412,1608
FAM43A,False,12.5369,286,1836
FAM50A,False,34.4415,1112,3096
FAM50B,False,16.3627,403,2012
FAM53B,False,23.868,1060,3557
FAM53C,False,12.0923,460,1944
FAM72C,False,26.8429,1200,3451
FAM76A,False,45.8993,1200,4687
FAM76B,False,29.5049,662,1574
FAM78A,False,27.5935,1333,3837
FAM78B,False,27.406,409,901
FAM83D,False,14.522,692,4102
FAM83F,False,19.5807,844,1117
FAM83G,False,16.607,553,2770
FAM83H,False,18.7906,413,1162
FAM86C1P,False,24.2058,760,2356
FAM89A,False,26.265,814,2912
FAM89B,False,19.6587,544,743
FAM8A1,False,15.4443,436,1879
FAM91A1,False,27.1663,810,1881
FAM98A,False,42.2429,1682,2784
FAM98B,False,92.653,2261,1314
FAM98C,False,31.6214,1046,2151
FAN1,False,12.4579,210,1705
FANCA,False,28.8818,925,1131
FANCB,False,54.6709,1722,1167
FANCC,False,37.2936,544,655
FANCD2,False,41.857,913,877
FANCE,False,40.6958,902,704
FANCF,False,34.9149,916,862
FANCG,False,22.5216,733,904
FANCI,False,66.1682,315,284
FANCL,False,64.9623,1049,438
FANCM,False,63.1478,1329,1385
FANK1,False,25.7619,779,2518
FAR1,False,17.2494,622,2441
FAR2,False,21.5383,735,2648
FARP1,False,15.56,736,1658
FARP2,False,14.6438,527,3108
FARS2,False,35.9184,953,1000
FARSA,False,130.764,411,114
FAS,False,22.9887,932,2321
FASLG,False,13.7764,351,1686
FASTK,False,21.9432,324,1323
FASTKD1,False,17.5296,227,1129
FASTKD2,False,13.8661,602,2065
FASTKD3,False,31.4096,656,1342
FASTKD5,False,21.2187,849,1751
FAXDC2,False,14.8074,504,1631
FBF1,False,34.9996,1019,930
FBH1,False,23.5049,747,2117
FBL,False,284.065,204,16
FBLIM1,False,24.75,686,1056
FBLN5,False,17.0486,285,1144
FBLN7,False,19.7777,1329,3274
FBN3,False,17.3977,339,1634
FBP1,False,22.5842,875,1844
FBRS,False,40.2468,1144,1119
FBRSL1,False,335.126,147,10
FBXL12,False,20.0707,360,1187
FBXL14,False,41.2031,187,438
FBXL15,False,172.716,4901,4842
FBXL16,False,29.4238,273,459
FBXL17,False,21.4548,449,1406
FBXL18,False,17.4556,151,810
FBXL19,False,21.9947,496,742
FBXL20,False,29.4255,329,866
FBXL22,False,13.2496,438,1310
FBXL3,False,54.5848,1810,1539
FBXL4,False,17.129,276,1428
FBXL5,False,22.7902,619,719
FBXL6,False,20.4776,674,1548
FBXL8,False,28.5707,382,673
FBXL9P,False,24.8327,479,1179
FBXO10,False,19.6374,334,1006
FBXO11,False,55.3515,1873,2597
FBXO2,False,27.7571,432,660
FBXO21,False,49.8921,1977,4012
FBXO22,False,29.357,867,2702
FBXO25,False,22.5091,730,2274
FBXO28,False,33.7517,954,1165
FBXO3,False,57.58,751,496
FBXO30,False,15.9573,313,1466
FBXO31,False,20.0665,592,1952
FBXO32,False,235.508,4772,3485
FBXO33,False,40.9504,750,1519
FBXO34,False,23.5,263,672
FBXO36,False,20.6268,556,1236
FBXO38,False,28.0164,869,1420
FBXO4,False,16.0311,385,1523
FBXO40,False,16.8055,217,1002
FBXO41,False,19.3372,296,1399
FBXO42,False,37.6017,929,863
FBXO43,False,16.8559,634,3687
FBXO44,False,18.6258,524,2655
FBXO45,False,16.5837,439,2071
FBXO46,False,50.4714,1400,1460
FBXO48,False,19.9344,694,3310
FBXO5,False,100.886,524,115
FBXO6,False,20.8424,349,1392
FBXO7,False,22.5605,595,1514
FBXO8,False,42.3533,692,1300
FBXO9,False,42.8769,1882,7787
FBXW11,False,290.404,155,10
FBXW2,False,39.0333,1112,2273
FBXW4,False,20.6452,406,1303
FBXW5,False,21.2664,924,1929
FBXW7,False,25.6329,1299,2433
FBXW8,False,24.7677,1291,3662
FBXW9,False,40.7344,1313,3324
FCAR,False,46.8352,1443,2227
FCER1A,False,17.9018,778,2257
FCER1G,False,18.9271,627,2701
FCER2,False,12.7345,440,2816
FCGBP,False,28.0004,1267,3561
FCGR2A,False,20.185,1165,2276
FCGR2B,False,13.9727,622,2395
FCGR3A,False,16.2132,651,2146
FCGR3B,False,14.4136,366,1530
FCGRT,True,21.2527,805,1793
FCHO1,False,30.6108,873,1028
FCHO2,False,23.6796,554,1439
FCHSD1,False,12.8135,280,2348
FCHSD2,False,46.6156,2182,2655
FCMR,False,29.5693,487,575
FCN1,False,17.2188,496,2008
FCRL1,False,20.91,747,2405
FCRL3,False,18.0269,568,1841
FCRL6,False,17.5701,521,2127
FCRLA,False,32.2263,890,1845
FCSK,False,15.8368,455,3068
FDCSP,False,25.7475,628,2403
FDFT1,False,28.8097,526,909
FDPS,False,98.1819,190,52
FDX1,False,52.7539,809,382
FDX2,False,95.9609,376,154
FDXACB1,False,60.7094,2076,5071
FDXR,False,36.5314,731,836
FECH,False,21.6597,351,780
FEM1A,False,103.306,2567,1165
FEM1B,False,20.3796,391,967
FEM1C,False,21.1039,322,946
FEN1,False,33.8947,561,576
FER,False,41.6635,1432,2821
FERD3L,False,17.4682,235,1074
FERMT2,False,16.3057,488,1613
FERMT3,False,16.5897,567,2199
FERRY3,False,19.5594,874,2512
FES,False,15.2202,332,1353
FEV,False,19.8139,281,1035
FEZ1,False,35.7185,1353,4637
FEZ2,False,86.0456,2641,3508
FEZF1,False,22.8819,735,2682
FEZF2,False,31.3533,519,1114
FGD1,False,19.6727,737,2281
FGD2,False,19.719,927,2297
FGD3,False,24.8516,1395,1937
FGF11,False,50.4276,1135,1620
FGF2,False,22.6454,622,1315
FGF9,False,24.3613,243,559
FGFBP2,False,15.0752,430,2009
FGFBP3,False,20.3276,239,810
FGFR1,False,79.5616,170,100
FGFR1OP2,False,38.4859,1198,944
FGFR2,False,16.0878,427,1885
FGFRL1,False,20.9538,367,863
FGGY,False,14.5464,677,3265
FGL2,False,36.5481,2108,4581
FGR,False,26.1283,1213,2504
FH,False,238.707,831,94
FHIP1B,False,27.5789,628,1857
FHIP2A,False,31.9356,449,709
FHIP2B,False,20.6352,546,1477
