,PDS,MSE,NMAE,FID,REACH,JAC,avg,sig/t
replicate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.008928571428571
baseline,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.14732142857142858
null_g0,-0.09342641070389751,0.0,-0.0463297453955114,0.6150694249760768,-0.060287808267675304,-1.9148889784764704,-0.24997725297791298,10.790178571428571
null_new,-0.12809773123909243,0.0,-0.10003612626473249,-0.015406783693243324,-0.04423720945845434,-0.16525079959283018,-0.07550477504139212,0.12053571428571429
oracle_a0.25,0.18528214077952276,0.0,0.13027031118946955,-0.0096359216062822,0.2277676482674974,-0.09762939360333407,0.07267579750447892,0.16071428571428573
oracle_a0.5,0.34118673647469483,0.0,0.23873290023860216,0.06789148877906416,0.5172747057263456,-0.08718281752834402,0.1796505022817271,0.3080357142857143
oracle_a1.0,0.5047120418848168,0.0,0.39858133445697264,0.4970281813092868,0.6533488584896545,-0.09344101031015213,0.3267049009717631,3.2142857142857144
oracle_a2.0,0.672891215823153,0.0,0.5939554086461494,0.9220497398804259,0.7616873324295687,-1.914904467707847,0.17261320484524165,75.75446428571429
shared_a1.0,-0.11593949970913324,0.0,-0.12747659720357032,0.025611492789262526,-0.1531070790622873,-0.1322006396742642,-0.08385205380999876,0.13392857142857142
cis_a1.0,-0.11204188481675383,0.0,-0.18164362733597308,-0.0030795669088245696,-0.08482331358371482,-0.09915047975569827,-0.08012314540016076,0.125
oracle_a0.5+cis_a1.0,0.4088423502036069,0.0,0.19253139157484156,0.04505006911257395,0.41473289401141045,0.11804802040810454,0.19653412088508956,0.24553571428571427
oracle_a1.0+shared_a1.0,0.5212914485165794,0.0,0.433360203031228,0.5729762535505051,0.6841879432312825,-0.23893878340912475,0.3288128441534117,3.6339285714285716
