target,gene,dist,log2fc
AKAP8L,AKAP8,39279,0.5035549774493581
AKIRIN1,NDUFS5,35064,-0.11367921381135042
AKR1A1,PRDX1,7659,-0.09022211983680287
AKR1A1,NASP,33101,-0.039548541030030936
AKT1,SIVA1,46812,-0.1130318415875883
AKT1S1,PTOV1,28735,-0.1756159138135386
AKT1S1,ATF5,44440,0.17205823652834443
ALAD,HDHD3,23883,-0.09067988039897826
ALAD,POLE3,9367,-0.028878845246280267
ALAS1,TWF2,48703,0.26898485303054354
ALDH16A1,PIH1D1,391,-0.5289942039698367
ALDOC,SPAG5,22104,0.1433224810401013
ALDOC,PIGS,5154,-0.04604851213505853
ALG12,CRELD2,484,-0.785778497657795
ALG12,PIM3,38018,-0.3304446628876719
ALG2,SEC61B,72,-1.3618447721834959
ALG3,PSMD2,49586,0.12668983556331456
ALG3,EEF1AKMT4,38,-1.7594253579645347
ALG5,EXOSC8,1947,-0.4434267488289273
ALG9,C11orf1,6530,-1.0098114614373574
ALKBH2,UNG,893,-0.09757967608707421
ALKBH6,SDHAF1,19109,-0.19483589586421748
ALKBH7,GTF2F1,21266,-0.0585972673919108
ALKBH7,CLPP,11288,-0.11915151315820187
ALYREF,ARHGDIA,20457,-0.12010555388509953
ALYREF,ANAPC11,1166,0.11844902630206301
ALYREF,P4HB,30979,-0.03252325124557358
ALYREF,PCYT2,19672,0.2606481826228272
ALYREF,SIRT7,29488,0.1939242382742128
ALYREF,MAFG,35934,0.3234760801495817
AMBRA1,ATG13,23009,0.16268342198784377
AMDHD2,PDPK1,17629,0.3641761066730831
AMDHD2,ATP6V0C,6627,0.17857834663714897
AMFR,OGFOD1,25910,-0.11839837159546229
AMFR,NUDT21,26601,-0.28150042687810956
AMH,PLEKHJ1,11605,0.17931800045877702
AMH,SF3A2,12496,-0.23041113385608553
AMH,OAZ1,20200,-0.01670982349788655
AMHR2,SP1,43537,-0.015387383265143936
AMHR2,PCBP2,28228,-0.11032847075655847
ANAPC10,ABCE1,575,-0.3362827023453406
ANAPC11,ARHGDIA,19291,-0.12168697179707953
ANAPC11,ALYREF,1166,-0.2437726030268752
ANAPC11,P4HB,29813,-0.00031670984291913643
ANAPC11,PCYT2,20838,-0.47263658880384424
