bin,n,median,mean,frac_below_minus_half
"[0, 500)",689,-0.4765579572129843,-0.776059518014456,0.4876632801161103
"[500, 1000)",222,-0.5230513487281319,-0.8951384515270243,0.509009009009009
"[1000, 2000)",185,-0.338518541978077,-0.6911621359691095,0.43243243243243246
"[2000, 5000)",201,-0.15856042102158216,-0.3753586874620649,0.21393034825870647
"[5000, 10000)",423,-0.1259514394248628,-0.24720739932303423,0.15602836879432624
"[10000, 20000)",1029,-0.052553563048068436,-0.10299961831086187,0.06705539358600583
"[20000, 50000)",3543,-0.03469394566470379,-0.05441913899373949,0.038667795653401074
