held_out,feature,importance
k562,m_raw,0.014545668505937822
k562,m_shr,0.005607955116962919
k562,n_src,0.00011364754200685982
k562,sign_agree,0.00010710409612387413
k562,spread,0.004935945415273683
k562,max_absz,0.010533018657298499
k562,mean_z,0.010434645367856987
k562,cis,0.0
k562,own_gene,0.0
k562,assoc,0.00033654463968250486
k562,expr_ctx,0.014623184247753995
k562,expr_src,0.015652174212275494
k562,expr_diff,0.0102104584944153
k562,target_expr,0.0024897661094371117
k562,gene_resp,-0.0034809720460856988
k562,gene_common,0.001411357678806476
k562,gene_spread,-0.0031169262000054023
k562,panel_gene,0.002537179871318518
k562,target_strength,0.0016330383243026159
cd4_mix,m_raw,-0.010420067712251013
cd4_mix,m_shr,-0.003572275021244723
cd4_mix,n_src,-0.003003079577516443
cd4_mix,sign_agree,-0.00013113438757650364
cd4_mix,spread,-0.0027453575507308723
cd4_mix,max_absz,-0.010942683422192992
cd4_mix,mean_z,-0.014835820453862262
cd4_mix,cis,0.0
cd4_mix,own_gene,0.0
cd4_mix,assoc,-0.00032489456118637666
cd4_mix,expr_ctx,0.008333226943559424
cd4_mix,expr_src,0.0004858278507250772
cd4_mix,expr_diff,0.003183875579784168
cd4_mix,target_expr,0.0008726180366015098
cd4_mix,gene_resp,-0.0009061078634274485
cd4_mix,gene_common,0.004516365027976772
cd4_mix,gene_spread,0.0031090053077978594
cd4_mix,panel_gene,-0.0019019178195009239
cd4_mix,target_strength,0.004428667956093942
orion_hct116,m_raw,0.006124459190082532
orion_hct116,m_shr,-0.0007898041452325533
orion_hct116,n_src,-4.110792580380718e-05
orion_hct116,sign_agree,2.608248348397642e-05
orion_hct116,spread,0.0026217676189872106
orion_hct116,max_absz,0.0014504698658038089
orion_hct116,mean_z,0.0016431745784746636
orion_hct116,cis,0.0
orion_hct116,own_gene,0.0
orion_hct116,assoc,4.424016857455341e-05
orion_hct116,expr_ctx,0.005297947132975822
orion_hct116,expr_src,0.018834137015530755
orion_hct116,expr_diff,0.005231710577819497
orion_hct116,target_expr,-0.0002728886249150353
orion_hct116,gene_resp,-4.4676423968437184e-05
orion_hct116,gene_common,-0.002065919541963853
orion_hct116,gene_spread,0.001381551299964053
orion_hct116,panel_gene,0.0026291552776231595
orion_hct116,target_strength,0.00028314871895884774
orion_hek293t,m_raw,-0.0016492480222280264
orion_hek293t,m_shr,-0.006758190727548981
orion_hek293t,n_src,-0.0001206003340927057
orion_hek293t,sign_agree,-0.00014807582538896766
orion_hek293t,spread,-0.002528419206468883
orion_hek293t,max_absz,-0.0022747246954812894
orion_hek293t,mean_z,-0.002976484741707678
orion_hek293t,cis,0.0
orion_hek293t,own_gene,0.0
orion_hek293t,assoc,0.0005120818387861862
orion_hek293t,expr_ctx,0.02093274883120085
orion_hek293t,expr_src,0.10195702160142177
orion_hek293t,expr_diff,0.0600496670897391
orion_hek293t,target_expr,-0.001270964419882133
orion_hek293t,gene_resp,-0.0019384250305769513
orion_hek293t,gene_common,-0.005298648939046376
orion_hek293t,gene_spread,0.0003431155961888995
orion_hek293t,panel_gene,0.00020385426908423968
orion_hek293t,target_strength,0.00034670315089909326
