held_out,shape,arm,targets,pds_proxy,reach_proxy,prec_200,yield_200,mse_ratio,energy_kept,pds_minus_base,pds_minus_base_ci95,reach_minus_base,reach_minus_base_ci95
k562,t16,base,271,0.7558835588355884,0.09780703948428769,0.5288560885608856,0.5282457671147109,1.071458248084182,1.0,0.0,"[0.0, 0.0]",0.0,"[0.0, 0.0]"
k562,t16,stack_r10,271,0.5474921415880826,0.050382050095925245,0.5070664206642067,0.5065335475935404,1.0114162292319135,0.34001559019088745,-0.20839141724750584,"[-0.2448284816181495, -0.17254305043050433]",-0.04742498938836245,"[-0.0664340123580565, -0.027495150991710553]"
k562,t16,half_stack_r10,271,0.7193248599152658,0.09679303730975597,0.5261992619926199,0.5255723524977185,1.021717292477765,0.5802659392356873,-0.036558698920322534,"[-0.047698851988519884, -0.025173910072434056]",-0.001014002174531735,"[-0.006658446428871149, 0.0045359890188600115]"
k562,t16,self_r10,271,0.5520568539018724,0.03664321036382121,0.5057933579335793,0.5053545212871483,1.0192070356751308,0.5028141140937805,-0.203826704933716,"[-0.2379059040590406, -0.1698633319666531]",-0.06116382912046648,"[-0.07867238213791555, -0.04450448588796207]"
k562,t16,random_r10,271,0.5480251469181359,0.04089163651335562,0.49953874538745385,0.4989543222724338,1.0000702474588716,0.02791789174079895,-0.2078584119174525,"[-0.256160311603116, -0.15833845838458385]",-0.05691540297093207,"[-0.07529801204539577, -0.038661952978004746]"
k562,t16,stack_r20,271,0.5607626076260762,0.05058714743098986,0.5081918819188191,0.5076694573397347,1.0138826111537433,0.36990731954574585,-0.19512095120951212,"[-0.22975365586989205, -0.1623059313926473]",-0.04721989205329783,"[-0.06514298949166454, -0.029851432316201208]"
k562,t16,half_stack_r20,271,0.7186825201585348,0.0947889010364945,0.526070110701107,0.525432752714624,1.023434982837579,0.5938218832015991,-0.03720103867705343,"[-0.04883217165504988, -0.02565258985923193]",-0.0030181384477932106,"[-0.009834201089311947, 0.00292534934298325]"
k562,t16,self_r20,271,0.5735684023506902,0.040293699436285725,0.5063468634686347,0.5057669721858509,1.0273536550312772,0.5987984538078308,-0.18231515648489818,"[-0.2157612409457428, -0.15084734180675144]",-0.05751334004800197,"[-0.07539265965206662, -0.04016686505028792]"
k562,t16,random_r20,271,0.5437747710810441,0.033592294881464015,0.502250922509225,0.5016929034961991,1.0001571235995308,0.0389828085899353,-0.2121087877545442,"[-0.2563355883558836, -0.16707052070520712]",-0.06421474460282367,"[-0.08269906398379798, -0.046526694707748686]"
k562,t16,stack_r40,271,0.5613912805794724,0.038262562228060654,0.5074169741697416,0.5069258950654023,1.022356397854808,0.46479612588882446,-0.19449227825611587,"[-0.22547867978679786, -0.1626011343446768]",-0.059544477256227045,"[-0.07852430826700248, -0.0424122944054627]"
k562,t16,half_stack_r40,271,0.7106464397977313,0.09257570334046898,0.5275461254612547,0.5269557856868892,1.0293394965790297,0.6418942213058472,-0.04523711903785704,"[-0.05697792811261446, -0.03449466994669947]",-0.00523133614381871,"[-0.01384951643177026, 0.0039557514514751875]"
