held_out,predictors,variant,context_weights,targets,pds_proxy,prec_50,prec_200,prec_800,yield_50,yield_200,yield_800,up_50,up_200,up_800,n_conf
k562,cd4_mix+orion_hct116+orion_hek293t,base_g1,A,271,0.7515101817684843,0.5403690036900369,0.5291143911439115,0.5212961254612547,0.49187527193277286,0.5285959266569411,0.5212961254612547,0.39040590405904063,0.4266789667896679,0.4808025830258303,41.59040590405904
k562,cd4_mix+orion_hct116+orion_hek293t,base_g1,B,271,0.7590815908159082,0.5383763837638377,0.5273985239852399,0.520590405904059,0.49227749059924814,0.5269020987084871,0.520590405904059,0.39549815498154983,0.4313653136531366,0.48278136531365307,40.05904059040591
k562,cd4_mix+orion_hct116+orion_hek293t,base_g1,C,271,0.7560885608856088,0.5354981549815498,0.5282472324723246,0.5205119926199261,0.48716022017481914,0.527708695954884,0.5205119926199261,0.3955719557195572,0.4317527675276753,0.48253228782287827,41.40959409594096
k562,cd4_mix+orion_hct116+orion_hek293t,g0,A,271,0.7507448407817411,0.5352767527675277,0.5282841328413284,0.523819188191882,0.4877314831622789,0.5277532252066707,0.523819188191882,0.4354243542435424,0.42038745387453874,0.4158025830258303,41.59040590405904
k562,cd4_mix+orion_hct116+orion_hek293t,g0,B,271,0.7573049063823972,0.5319557195571956,0.5282841328413285,0.5235654981549815,0.4867610406386374,0.5277675276752768,0.5235654981549815,0.40059040590405903,0.40088560885608854,0.40721402214022134,40.05904059040591
k562,cd4_mix+orion_hct116+orion_hek293t,g0,C,271,0.7517698510318437,0.5298892988929889,0.5271033210332103,0.5235424354243542,0.48166287436439503,0.5265512079649098,0.5235424354243542,0.4091512915129152,0.4056642066420664,0.40875922509225093,41.40959409594096
k562,cd4_mix+orion_hct116+orion_hek293t,g05,A,271,0.7533688670220036,0.5389667896678967,0.5288745387453875,0.5224769372693727,0.4909683486821272,0.5283394833948339,0.5224769372693727,0.4076752767527675,0.4211439114391144,0.44800276752767526,41.59040590405904
k562,cd4_mix+orion_hct116+orion_hek293t,g05,B,271,0.7597512641793086,0.5360147601476014,0.5281365313653137,0.5220940959409595,0.49017709991400915,0.5276239621771218,0.5220940959409595,0.39424354243542437,0.4137822878228782,0.4445156826568265,40.05904059040591
k562,cd4_mix+orion_hct116+orion_hek293t,g05,C,271,0.75580155801558,0.5356457564575646,0.5277675276752768,0.5221079335793358,0.4868410920493773,0.5272199401239295,0.5221079335793358,0.3980073800738007,0.41638376383763837,0.4455212177121772,41.40959409594096
k562,cd4_mix+orion_hct116+orion_hek293t,shrunk_g1,A,271,0.7794451277846112,0.5459040590405905,0.5335608856088561,0.5237361623616237,0.4959895757521154,0.5330009439629281,0.5237361623616237,0.47498154981549817,0.4593173431734317,0.46957103321033217,41.59040590405904
k562,cd4_mix+orion_hct116+orion_hek293t,shrunk_g1,B,271,0.778543118764521,0.5419188191881918,0.5332841328413284,0.5235608856088562,0.4950658936235409,0.5327433118081181,0.5235608856088562,0.4765313653136531,0.4585239852398524,0.47004612546125457,40.05904059040591
k562,cd4_mix+orion_hct116+orion_hek293t,shrunk_g1,C,271,0.7726117261172613,0.5439852398523985,0.5327675276752767,0.5236346863468635,0.4938227388327163,0.5321837359883033,0.5236346863468635,0.47726937269372693,0.4603321033210332,0.47021217712177127,41.40959409594096
k562,cd4_mix+orion_hct116+orion_hek293t,consensus1,A,271,0.754120541205412,0.5412546125461255,0.5317527675276752,0.5216466789667897,0.49289663350660057,0.5312343030407048,0.5216466789667897,0.40324723247232475,0.4430258302583026,0.49666974169741696,41.59040590405904
k562,cd4_mix+orion_hct116+orion_hek293t,consensus1,B,271,0.7590269236025694,0.540959409594096,0.531180811808118,0.5211254612546126,0.4941921111342913,0.530672278597786,0.5211254612546126,0.40841328413284134,0.4460885608856089,0.4977167896678967,40.05904059040591
