held_out,target,pds_proxy_A
orion_hct116,POR,0.11742424242424243
orion_hct116,PPIF,0.8560606060606061
orion_hct116,PPIP5K2,0.1515151515151515
orion_hct116,PQBP1,1.0
orion_hct116,PRDX3,0.5
orion_hct116,PRKAB2,0.8522727272727273
orion_hct116,PRKACA,0.25
orion_hct116,PRMT2,0.7992424242424243
orion_hct116,PRMT6,0.9962121212121212
orion_hct116,PRMT7,0.9053030303030303
orion_hct116,PRNP,0.5265151515151515
orion_hct116,PSKH1,0.09848484848484851
orion_hct116,PSMB9,0.7007575757575757
orion_hct116,PTMS,0.8712121212121212
orion_hct116,PTOV1,0.303030303030303
orion_hct116,PYCR1,0.0
