held_out,arm,targets,pds_proxy,minus_cis,ci95
k562,cis,272,0.5225336444540917,0.0,"[0.0, 0.0]"
k562,0.1*string700+cis,272,0.5379992402865205,0.01546559583242891,"[0.004924571304536571, 0.026767690471022346]"
k562,0.25*string700+cis,272,0.5455014108964619,0.0229677664423703,"[0.004554889298892989, 0.04263959735185586]"
k562,0.5*string700+cis,272,0.5550520946385934,0.03251845018450184,"[0.006442641632298679, 0.05780843010635987]"
k562,1.0*string700+cis,272,0.5604379205556761,0.037904276101584554,"[0.005683606468417627, 0.07175459897981332]"
cd4_mix,cis,293,0.5401257655804385,0.0,"[0.0, 0.0]"
cd4_mix,0.1*string700+cis,293,0.543830941137968,0.0037051755575295726,"[-0.0020577165832904734, 0.008930115947449623]"
cd4_mix,0.25*string700+cis,293,0.5517205105428024,0.011594744962363835,"[-0.00020133012296039924, 0.023411566693160038]"
cd4_mix,0.5*string700+cis,293,0.5576347655336855,0.017508999953247,"[-0.002501577913880968, 0.0373702604142316]"
cd4_mix,1.0*string700+cis,293,0.5631399317406144,0.023014166160175795,"[-0.007376162980971525, 0.05292703024919349]"
orion_hct116,cis,268,0.5327715355805244,0.0,"[0.0, 0.0]"
orion_hct116,0.1*string700+cis,268,0.5457683492649115,0.012996813684387052,"[0.0011155598412432135, 0.024889596959025092]"
orion_hct116,0.25*string700+cis,268,0.5527139582983956,0.019942422717871316,"[0.000325968472245512, 0.04136166079713785]"
orion_hct116,0.5*string700+cis,268,0.5545866174744257,0.02181508189390128,"[-0.005565221644586059, 0.05098174856056795]"
orion_hct116,1.0*string700+cis,268,0.5476969087148527,0.014925373134328361,"[-0.021553398736653812, 0.04996296606853372]"
orion_hek293t,cis,281,0.5328800203355364,0.0,"[0.0, 0.0]"
orion_hek293t,0.1*string700+cis,281,0.5438485002541942,0.010968479918657856,"[-0.0018953355363497694, 0.023780503304524657]"
orion_hek293t,0.25*string700+cis,281,0.5464794102694458,0.013599389933909507,"[-0.0065588459583121525, 0.03363275292323333]"
orion_hek293t,0.5*string700+cis,281,0.5425139806812405,0.009633960345704122,"[-0.015723182511438737, 0.03378495170310116]"
orion_hek293t,1.0*string700+cis,281,0.5396161667513981,0.006736146415861721,"[-0.024161159125571933, 0.03630242755465173]"
