target,class,cosine,energy_k562,energy_cd4_mix,cells_k562,cells_cd4_mix
TEDC1,other,0.00238685,85.4984,52.9612,140,591
TEDC2,other,0.0420857,48.9617,78.922,302,332
TEF,other,-0.0113579,38.8168,15.637,321,1772
TEFM,other,0.161056,83.0575,45.3429,341,823
TEN1,other,0.0207265,64.3656,120.666,220,115
TENT2,other,0.00689384,1099.31,77.1738,29,2784
TENT4A,other,0.0187245,54.9221,19.0398,248,1803
TENT4B,other,-0.00259257,266.364,21.5773,51,1567
TEPSIN,other,-0.0135853,290.326,20.2532,49,1649
TERF1,other,0.0159388,62.8147,19.724,198,1482
TERF2IP,other,-0.0392864,86.5719,29.1731,190,2831
TES,other,-0.0371244,64.5275,25.0657,196,3035
TESC,other,0.00246768,74.9539,18.2705,160,1696
TESMIN,other,-0.00058623,208.671,22.5544,70,1142
TET1,other,0.0112026,88.012,23.2788,160,2127
TET2,other,-0.0277174,62.2241,29.7509,201,3194
TET3,other,0.00697942,67.4582,28.2512,190,1303
TEX261,other,-0.0046079,59.0621,24.038,217,1358
TEX264,other,-0.00667702,24.5422,16.4107,530,2094
TEX30,other,0.0405966,62.9276,15.6346,215,2720
TFAM,other,0.226116,122.936,80.6648,147,2145
TFAP2A,other,0.0152619,48.3897,24.967,290,2272
TFAP2B,other,0.0155138,646.088,12.967,37,2229
TFAP2C,other,-0.00932374,91.5307,24.9433,140,819
TFAP2D,other,-0.0319957,302.144,20.6011,54,4902
TFAP2E,other,0.0104289,126.274,20.6933,106,1961
TFAP4,other,0.109158,401.3,40.3312,53,968
TFB1M,other,0.0637368,86.9846,27.131,182,1444
TFB2M,other,0.0256389,31.3089,22.8624,434,1493
TFCP2L1,other,-0.00999297,3151.25,22.3322,18,2019
TFDP1,other,0.16669,108.618,64.3312,318,582
TFDP2,other,-0.000105906,64.0207,25.4884,193,1400
TFDP3,other,-0.00391969,129.912,18.4121,102,3284
TFE3,other,0.0492498,59.9558,54.1382,220,448
TFEB,other,-0.00865592,28.2819,22.2739,451,1848
TFEC,other,0.0213941,204.322,17.738,72,1858
TFG,other,0.0180594,59.3504,30.2201,223,1601
TFIP11,other,0.0176008,148.74,33.5901,101,511
TFPI,other,0.015696,772.455,34.4185,30,3487
TFPT,other,0.0194307,103.636,459.042,209,37
TFR2,other,-0.00774706,2383.85,24.734,17,1333
TGDS,other,0.0341348,156.763,80.6078,79,505
TGFB1,other,-0.00906736,52.0354,21.6861,262,1495
TGFBR3,other,0.0111472,64.1437,15.1896,191,3065
TGFBRAP1,other,-0.0109577,42.3337,31.2143,309,875
TGIF1,other,0.0213996,44.521,27.8356,299,1369
TGIF2,other,0.0885878,93.8024,20.1835,163,1721
TGIF2LX,other,0.0172884,91.726,40.4833,164,508
TGIF2LY,other,-0.0174982,74.0088,20.7753,182,1980
TGOLN2,other,-0.00462815,74.2134,16.4822,181,2360
TGS1,other,0.034625,36.3617,81.4002,374,249
THADA,other,-0.00166221,458.141,19.3424,42,1716
THAP10,other,0.0489127,42.4172,30.0068,323,796
THAP11,other,0.284373,122.233,58.0894,158,1835
THAP12,other,0.100129,123.339,80.9162,134,3183
THAP2,other,0.14083,62.5067,26.3135,242,1790
THAP4,other,-0.015206,459.333,109.835,42,265
THAP5,other,-0.00860283,91.7514,23.2091,141,1263
THAP6,other,0.0162158,151.347,44.3968,98,449
