target,class,cosine,energy_k562,energy_cd4_mix,cells_k562,cells_cd4_mix
A1BG,other,0.0206088,34.8138,15.7912,387,2312
AAAS,other,0.028765,32.8093,30.4065,411,2161
AACS,other,0.0875107,88.4358,30.6204,176,2039
AAGAB,other,0.0293664,137.11,29.8151,99,1652
AAK1,other,-0.00474085,53.3029,52.1279,240,3526
AAMDC,other,0.0467351,64.7931,30.1288,195,926
AAMP,other,-0.0242646,110.963,863.376,157,12
AAR2,other,0.0212815,262.789,119.699,93,145
AARS2,other,0.0716113,53.5739,111.595,358,214
AARSD1,other,-0.0298619,32.9989,23.0909,367,2220
AASDH,other,0.0107278,151.591,51.3815,85,1743
AASDHPPT,other,0.024696,72.3036,54.2049,177,441
AATF,other,0.00109996,274.183,65.9082,182,314
ABCA7,other,-0.0155674,19.0611,28.5435,708,695
ABCB6,other,0.0485364,59.4816,29.9664,235,605
ABCB7,other,0.0407178,79.1955,539.096,244,23
ABCB8,other,0.0121782,166.928,20.3497,88,1481
ABCB9,other,0.00623866,24.2305,33.1306,532,801
ABCC1,other,0.087764,88.5295,29.4914,201,1752
ABCC10,other,-0.00286284,111.041,18.5208,131,1582
ABCC4,other,-0.00253209,72.001,29.3674,170,771
ABCC5,other,0.0323509,39.2343,21.7583,306,1130
ABCD3,other,0.0327385,64.363,16.138,207,1366
ABCD4,other,0.0125091,108.135,29.3459,117,1026
ABCE1,other,0.0949765,189.155,85.9215,120,299
ABCF1,other,0.0158754,40.8996,260.368,490,42
ABCF2,other,0.00697336,60.2936,41.2944,217,936
ABCF3,other,0.0290783,48.3738,34.6697,260,1378
ABCG1,other,0.0205997,52.1795,21.8597,294,802
ABHD10,other,-0.0181921,88.3522,12.5506,148,2879
ABHD11,other,-0.0216425,86.5195,29.9974,155,1117
ABHD12,other,0.0125639,56.8977,37.3265,233,1378
ABHD13,other,0.0316668,111.922,44.2428,113,1924
ABHD14A,other,0.000498353,63.3488,30.5544,210,1464
ABHD14B,other,0.0575804,16.8078,20.1507,802,4484
ABHD16A,other,0.019616,58.4862,28.0684,223,923
ABHD17A,other,-0.0255692,48.9726,23.6378,250,1265
ABHD17B,other,-4.59038e-05,251.029,18.978,58,1507
ABHD2,other,0.0294872,58.0756,22.5091,229,1090
ABHD3,other,-0.0162707,292.728,17.8419,50,2592
ABHD5,other,-0.000916358,92.9548,21.2054,143,2480
ABHD6,other,-0.00828776,41.7728,28.228,295,1179
ABHD8,other,-0.0305606,63.7959,32.7838,192,807
ABI1,other,-0.017516,168.892,27.0311,85,1223
ABI2,other,0.00750157,78.5003,23.6243,179,832
ABITRAM,other,0.032638,58.6581,38.9163,225,696
ABL1,other,0.00886233,53.8027,20.2622,226,1337
ABL2,other,0.0073132,28.3204,30.5342,460,2905
ABR,other,0.00330144,223.814,33.3986,66,579
ABRACL,other,0.000135395,55.6887,15.3292,224,1988
ABRAXAS1,other,0.0223767,59.3285,14.217,230,1634
ABRAXAS2,other,0.00505293,70.7267,14.6638,201,2404
ABT1,other,0.0246584,114.911,136.409,202,187
ACAA1,other,0.0200399,48.4353,19.2946,249,1494
ACAA2,other,0.0118514,65.911,33.3581,204,2517
ACACA,other,0.0464226,85.4275,16.5756,166,2909
ACAD10,other,0.0185779,103.121,29.4073,141,4254
ACAD8,other,0.118016,70.6164,17.5757,208,1629
ACAD9,other,0.0128587,108.443,22.3688,131,2505
ACADM,other,-0.0297839,97.2855,19.3774,127,2845
ACADS,other,-0.00916891,123.05,28.529,103,918
ACADSB,other,-0.0136028,58.7977,25.6442,216,2651
ACADVL,other,-0.0113941,46.8769,30.4908,268,1072
ACAP2,other,0.0092402,82.0736,24.3537,160,1528
ACAP3,other,0.0167271,71.6817,22.3926,179,1372
ACAT1,other,0.0300402,53.4728,24.1751,213,2137
ACAT2,other,0.0293025,90.8756,24.3835,152,1400
ACBD3,other,0.0162933,55.5495,21.1795,237,1661
ACBD5,other,-0.0261131,59.7751,28.9968,238,3721
ACBD6,other,0.0168065,72.2649,21.4848,214,1744
ACCS,other,0.0150731,114.682,17.0215,110,1891
ACD,other,0.00276745,81.1021,273.758,153,51
ACER3,other,-0.00556451,40.7005,19.2821,311,2885
ACIN1,other,0.0890123,41.0011,37.8359,355,692
ACO1,other,-0.00207394,82.3748,23.2893,157,1524
ACO2,other,0.0323785,80.5942,36.8006,155,529
ACOT13,other,0.0544568,85.9878,19.9834,147,2002
ACOT7,other,-0.026686,34.6882,26.2443,348,1702
ACOT8,other,0.00971713,113.66,25.7654,119,3304
ACOT9,other,-0.00358167,53.9376,22.4994,247,1256
ACOX1,other,-0.0179255,72.463,22.1646,178,1800
ACP1,other,0.0088506,312.947,15.3918,49,2146
ACP2,other,0.0167915,307.731,31.1376,57,3098
ACP5,other,0.000850278,38.6016,20.8621,363,1317
ACSF3,other,0.0366188,151.27,16.4182,89,1681
ACSL1,other,0.00954095,31.0735,33.9983,406,648
ACSL3,other,0.0718195,160.875,22.1978,130,1666
ACSL4,other,0.0238463,143.834,16.5805,93,2209
ACSM3,other,0.021452,181.343,39.2582,75,5252
ACSS2,other,0.0477464,137.137,26.5279,132,2452
ACTB,other,0.13526,56.7062,24.9498,363,1929
ACTG1,other,-0.030535,1843.29,45.1692,19,446
ACTL6A,other,-0.0473524,396.109,725.886,62,10
ACTN1,other,0.029745,55.9029,21.5903,273,977
ACTN4,other,-0.0198946,40.6323,23.8175,305,1315
ACTR1A,other,-0.0234225,29.4557,16.6851,451,2014
ACTR1B,other,-0.00977174,25.9576,24.2664,517,1059
ACTR2,other,-0.00742207,27.1307,60.3101,498,647
ACTR3,other,-0.0073443,59.6974,44.9314,261,751
ACTR3B,other,-0.0071068,115.533,93.0448,117,153
ACTR3C,other,0.05196,102.533,24.5211,122,1358
ACTR5,other,0.0663138,398.458,59.6628,50,3688
ACTR8,other,0.277166,105.426,130.844,408,437
ACVR1B,other,-0.00384543,62.6756,20.2234,212,1949
ACVR2B,other,0.00332932,126.188,20.1769,115,1336
ACY1,other,0.00914125,195.257,14.8535,70,2140
ACYP1,other,-0.0173485,50.477,24.8995,236,821
ACYP2,other,0.0119302,161.808,67.4314,85,2016
ADA,other,0.0445641,76.9306,20.0804,173,1417
ADAM10,other,-0.00506649,277.534,149.957,84,112
ADAM15,other,-0.0351357,116.392,22.0023,117,965
ADAM17,other,0.0776866,49.2906,17.6283,258,3091
ADAM9,other,0.0358992,56.3861,24.9105,214,961
ADAR,other,0.0340904,31.6696,97.1426,394,246
ADARB1,other,-0.0208982,32.3128,20.325,374,1849
ADAT1,other,0.0704273,74.1805,21.177,192,1393
ADAT2,other,0.0153001,73.4786,55.5779,175,918
ADAT3,other,0.00812396,49.2308,49.7839,318,1228
ADCK2,other,0.0200067,39.9678,13.2214,309,2164
ADCK5,other,0.0454967,156.299,20.531,81,3488
ADCY3,other,0.0223309,46.1539,16.8944,262,1753
ADCY7,other,0.0231835,238.903,35.7576,60,3360
ADD1,other,-0.0287554,45.3307,23.6662,280,1715
ADD2,other,-0.0194115,64.274,17.6764,210,1161
ADD3,other,0.0416401,64.1331,38.9662,207,527
ADH5,other,0.0211531,73.6264,38.6327,171,2126
ADI1,other,-0.0172068,127.41,22.9104,100,2269
ADIPOR1,other,0.0272189,84.109,14.6623,143,2594
ADIPOR2,other,0.0126242,53.7996,26.7281,241,1264
ADK,other,-0.0307603,53.9662,13.3057,219,2703
ADNP2,other,-0.0448333,244.324,31.882,87,3608
ADO,other,0.118932,127.807,109.628,150,331
ADORA2B,other,0.0181563,77.9194,16.0984,174,1562
ADPGK,other,0.00784916,176.394,43.3507,93,2835
ADRM1,other,0.0601354,34.6956,29.4641,403,938
ADSL,other,0.000325147,67.2379,251.792,255,29
ADTRP,other,0.0525608,81.3536,17.1709,141,2851
AEBP1,other,-0.00388608,47.4893,21.6435,255,855
AEBP2,other,0.0412606,85.088,87.7199,167,1660
AEN,other,-0.0101671,39.9445,18.7792,321,1713
AFF1,other,-0.0188889,84.5079,21.7131,142,1608
AFF4,other,0.00920059,85.8792,18.0452,154,2022
AFG3L2,other,0.0216163,1408.78,172.885,26,142
AFMID,other,0.0162322,144.263,26.0009,88,1077
AFTPH,other,0.0206616,84.1942,17.2813,156,1272
AGA,other,-0.00869097,785.233,23.6657,30,1206
AGAP1,other,-0.0091077,125.482,18.458,105,2074
AGAP3,other,0.046039,161.572,28.5763,90,3918
AGBL5,other,-0.0112288,35.6628,77.8084,372,1040
AGFG1,other,0.0177209,50.2697,33.9646,243,1012
AGFG2,other,0.00810734,42.8078,16.078,293,1759
AGGF1,other,0.0134798,65.0482,13.8581,189,1755
AGK,other,-0.00577613,146.993,26.1042,90,943
AGL,other,0.0281713,76.6385,13.2687,166,2693
AGO2,other,-0.03074,513.861,46.2958,42,357
AGO3,other,0.00239858,68.5345,16.6355,188,1884
AGPAT1,other,0.0312139,51.3975,45.5654,261,472
AGPAT2,other,-0.0166705,107.601,42.6727,115,1838
AGPAT3,other,0.000436414,79.1971,24.578,163,798
AGPAT4,other,-0.00821571,78.2224,24.3303,207,966
AGPAT5,other,0.00852413,131.765,18.2495,97,1688
AGPS,other,-0.0116408,80.277,23.0149,163,1770
AGRN,other,0.00999687,104.572,67.3652,126,874
AGTRAP,other,0.000579621,316.261,21.4939,47,1221
AHCTF1,other,0.0394242,28.4016,388.935,584,40
AHCYL1,other,0.0242748,45.9823,32.7771,314,802
AHDC1,other,0.0203423,74.9283,18.8623,170,3254
AHI1,other,0.0141954,115.435,15.6817,120,1954
AHNAK,other,0.0191675,25.9346,29.1814,531,615
AHR,other,-0.0134723,110.332,76.1199,128,3554
AHRR,other,0.0160566,91.5866,20.7217,145,1330
AHSA1,other,0.0495094,182.314,34.7722,73,3990
AHSP,other,0.0856909,105.633,25.8061,132,1131
AIDA,other,0.0622077,53.9906,46.019,244,1315
AIF1,other,0.0596911,51.5391,20.8542,251,2502
AIFM1,other,-0.022844,93.2218,55.9319,150,616
AIFM2,other,0.0050138,70.4483,16.923,172,2227
AIG1,other,0.0338394,118.503,16.1701,106,1725
AIMP1,other,0.0482967,44.1271,23.961,283,1664
AIMP2,other,0.0189876,70.193,33.245,182,1001
AIP,other,-0.00962436,490.202,26.8776,34,1506
AIRE,other,-0.0265774,85.435,17.7263,155,1438
AK1,other,0.0116355,61.5552,16.96,201,2110
AK2,other,0.00112643,58.2272,117.288,210,172
AK3,other,-0.0210062,69.0364,66.5817,184,2606
AK4,other,-0.023092,70.7323,22.652,173,2171
AKAP11,other,0.000612516,174.606,35.5452,84,569
AKAP13,other,-0.0243902,51.7978,16.7732,259,3296
AKAP17A,other,0.0420254,173.649,21.864,81,2322
AKAP8,other,0.00472119,70.7286,20.4422,184,2460
AKAP8L,other,0.0578229,114.859,19.5579,139,2038
AKAP9,other,-0.00227154,88.389,21.8774,156,1527
AKIP1,other,0.00151305,163.223,41.7018,87,538
AKIRIN2,other,0.0721611,62.5015,48.7575,277,640
AKNA,other,0.0252567,30.8905,19.8351,417,3168
AKR1A1,other,0.0131567,182.867,27.2314,76,1051
AKR1C1,other,0.0627447,105.858,65.7494,122,343
AKR1E2,other,0.000386494,66.4507,15.858,182,1592
AKR7A2,other,0.03248,51.2432,23.4937,254,2553
AKT1,other,-0.000290446,57.9419,15.924,228,2099
AKT1S1,other,0.00497969,69.1755,14.4002,193,2769
ALAD,other,0.0274921,72.8476,68.2739,222,308
ALAS1,other,0.00326343,157.159,69.3656,108,284
ALAS2,other,0.0404986,324.855,26.361,47,1928
ALDH16A1,other,0.0141581,174.135,21.2499,78,1913
ALDH18A1,other,-0.0241822,77.905,35.7651,195,1612
ALDH1A1,other,-0.0181907,78.0211,18.6693,173,988
ALDH1B1,other,-0.0281567,56.0545,35.5655,269,2936
ALDH2,other,-0.00332722,47.5811,22.5196,276,1698
ALDH5A1,other,0.0108098,62.4049,18.3852,201,1502
ALDH9A1,other,0.00772096,60.9704,15.8516,201,2023
ALDOA,other,0.0287191,201.37,65.6121,133,416
ALDOC,other,0.0183675,206.727,15.8523,71,1775
ALG1,other,0.0521707,79.0289,99.1179,182,202
ALG13,other,0.0529653,75.8572,43.1966,327,1197
ALG14,other,0.0767635,61.3001,106.494,285,148
ALG2,other,0.0600157,50.9648,40.014,372,658
ALG3,other,0.0676296,75.3984,32.7238,183,1236
ALG5,other,0.00219881,57.275,37.5605,224,948
ALG6,other,-0.0238795,54.9815,45.0054,248,2087
ALG8,other,-0.00021863,92.465,29.1919,139,1975
ALG9,other,0.0299137,135.959,37.8692,97,1709
ALKBH2,other,0.0347966,78.9543,100.338,164,1159
ALKBH3,other,0.0142302,49.3321,22.7896,252,825
ALKBH4,other,0.0388861,87.6826,26.7864,145,2926
ALKBH5,other,-0.00412817,102.896,29.2125,143,3677
ALKBH6,other,0.0106216,75.979,39.2455,178,2809
ALKBH7,other,0.0150481,45.7398,25.5842,274,1318
ALKBH8,other,0.07692,62.0511,23.1623,245,1376
ALMS1,other,-0.0188418,81.1282,15.702,171,1983
ALS2,other,-0.0130428,294.992,34.1184,50,919
ALX1,other,0.0182415,162.892,15.7659,76,2307
ALX3,other,-0.0078618,96.2367,13.978,129,4122
ALX4,other,0.0319294,46.5001,23.142,262,1723
AMBRA1,other,0.0806656,67.6051,29.6053,249,2002
AMD1,other,0.0137538,883.912,40.729,29,1040
AMDHD2,other,0.00706478,95.0832,35.0618,133,1910
AMFR,other,0.0220525,46.1963,41.5886,292,2242
AMH,other,-0.0096167,44.3169,17.73,280,1881
AMMECR1,other,0.0156622,84.9373,36.1388,205,674
AMN1,other,0.00702696,123.496,20.6814,98,1282
AMPD2,other,-0.00627951,20.7441,18.2334,616,3589
AMPD3,other,0.00517536,151.552,31.2747,85,3963
AMZ2,other,0.00128746,60.3449,21.1793,228,1168
ANAPC1,other,0.0397616,124.674,110.839,114,341
ANAPC10,other,-0.0246169,3886.58,89.019,15,497
ANAPC11,other,-0.00478084,61.8455,96.2879,195,237
ANAPC13,other,0.0256277,54.4847,29.3235,257,754
ANAPC15,other,-0.0002682,13.146,16.6553,1091,1640
ANAPC16,other,0.0283941,112.917,29.0692,110,870
ANAPC5,other,-0.0296827,442.591,83.5378,45,191
ANAPC7,other,-0.0207142,88.4098,30.955,160,1814
ANGEL2,other,0.00511892,118.146,17.6119,110,2978
ANHX,other,-0.00106782,59.552,25.5645,210,1192
ANK1,other,-0.0155478,145.721,28.2916,99,1092
ANK3,other,0.0105317,325.872,20.1076,48,2291
ANKFY1,other,0.0302963,61.355,25.7458,220,2703
ANKLE1,other,0.0162582,156.292,21.3403,85,2081
ANKLE2,other,-0.0206824,48.2245,52.6685,288,467
ANKMY1,other,0.014033,83.7133,27.4979,162,1681
ANKMY2,other,0.0868553,78.075,31.9164,173,897
ANKRA2,other,0.00983616,126.765,556.894,123,35
ANKRD10,other,-0.0514982,74.5797,45.6131,163,628
ANKRD11,other,0.183549,50.7648,20.7156,563,2467
ANKRD12,other,0.00774963,61.8466,20.4691,206,1622
ANKRD13A,other,-0.000833249,245.197,20.9627,59,4922
ANKRD13B,other,0.0610641,28.0551,16.969,495,2142
ANKRD13C,other,0.050616,107.478,20.8986,132,2074
ANKRD13D,other,-0.0147306,44.6131,45.3337,337,4861
ANKRD16,other,0.0460809,105.662,24.0851,131,1097
ANKRD17,other,-0.0120341,241.4,38.3601,77,781
ANKRD26,other,0.0117481,53.3651,23.3601,229,2286
ANKRD27,other,0.022608,58.982,19.9863,245,2063
ANKRD28,other,-0.0118586,166.864,15.8733,79,2097
ANKRD33B,other,0.00267911,51.794,19.8285,237,2515
ANKRD36,other,-0.0030968,87.1842,16.7122,153,2933
ANKRD36C,other,0.0173861,125.615,22.131,103,2799
ANKRD39,other,-0.0229675,295.923,25.6436,78,1829
ANKRD40,other,-0.0299178,36.7662,33.139,346,1050
ANKRD46,other,0.00194118,35.6381,21.605,362,1435
ANKRD49,other,0.0615439,48.149,63.1982,311,574
ANKRD54,other,0.00481644,158.382,32.7034,82,2447
ANKRD9,other,0.00082713,96.7945,23.899,142,1873
ANKS1A,other,0.0313695,150.929,30.761,89,721
ANKS3,other,-0.00915446,64.284,76.2683,210,322
ANKS6,other,0.0130698,56.8202,22.1361,220,1534
ANLN,other,0.0156547,75.8069,254.215,166,43
ANO10,other,0.0186091,51.6621,18.9956,241,3905
ANO6,other,0.00269101,101.653,14.0107,134,3871
ANP32A,other,0.00558045,146.13,26.1478,95,910
ANP32E,other,0.000212338,85.6596,13.9803,154,2431
ANTKMT,other,0.034602,64.0935,22.7767,211,1875
ANTXR2,other,0.0228493,73.8015,15.5811,171,2266
ANXA1,other,0.0105741,112.453,15.0856,119,1528
ANXA11,other,-0.017866,90.408,13.212,133,2234
ANXA2,other,0.0251298,60.4602,30.9814,221,1384
ANXA2R,other,0.00387493,132.986,16.6134,100,1580
ANXA3,other,-1.83628e-05,57.2558,19.3482,217,1481
ANXA4,other,0.0103241,108.453,16.4343,126,2221
ANXA5,other,0.00454494,45.3559,17.3454,264,1576
ANXA6,other,-0.0588809,54.7687,44.8534,238,414
ANXA7,other,-0.00984418,98.5486,41.5675,159,589
AOPEP,other,0.0121185,95.6917,28.7946,140,1515
AP1AR,other,0.0200419,56.7855,14.1358,241,2288
AP1B1,other,0.0810117,31.4744,18.7911,443,1673
AP1G1,other,-0.00608743,79.9753,35.6283,169,703
AP1G2,other,0.0239245,53.1061,14.6437,236,2184
AP1M1,other,-0.00162642,60.7734,38.4309,211,596
AP1S1,other,0.02881,84.241,22.5878,158,991
AP1S2,other,0.0154971,71.9554,49.2031,179,1183
AP2A1,other,-0.0327764,226.805,63.9674,90,298
AP2B1,other,0.0140604,74.1061,34.1823,228,1074
AP2S1,other,-0.017453,124.602,111.588,169,138
AP3B1,other,0.00273575,69.4026,38.1056,206,1211
AP3D1,other,0.00176011,116.206,21.4651,102,1701
AP3M1,other,0.0222903,164.38,14.4449,85,2672
AP3M2,other,0.0110658,91.8034,14.5179,184,2905
AP3S1,other,0.0327952,50.0214,61.1193,318,555
AP3S2,other,0.01044,82.5984,42.5677,157,5572
AP4B1,other,-0.00878337,105.993,21.3356,122,1493
AP4M1,other,0.00360457,99.2025,48.5387,134,534
AP4S1,other,0.0258292,147.975,26.0959,90,3751
AP5B1,other,0.0188496,208.699,24.0419,74,3040
AP5M1,other,0.0217112,64.4595,23.8651,208,1409
AP5S1,other,0.0342909,97.0833,20.9847,130,1474
AP5Z1,other,0.00721495,57.9351,20.0206,234,2697
APAF1,other,0.0303147,46.6363,28.4019,261,1105
APBA2,other,0.0104603,49.5255,23.4587,246,2705
APBA3,other,-0.0154408,44.7455,33.7311,288,500
APBB3,other,0.0499398,235.699,19.8516,63,4836
APC,other,-0.00780272,35.1047,97.9516,361,268
APEH,other,0.00495964,159.146,15.6489,84,3218
APEX1,other,-0.00999602,60.3285,31.5021,206,1888
APEX2,other,-0.0232644,130.515,43.0129,94,2237
APH1A,other,0.0116395,75.7386,33.7191,166,1172
APH1B,other,-0.00475367,71.8292,19.8027,185,1456
APIP,other,0.14514,70.9894,20.5532,188,1663
APLP1,other,0.00418651,80.0457,20.4848,176,1981
APLP2,other,-0.0101213,54.4753,14.2599,242,2579
APMAP,other,0.027523,59.2853,53.7942,217,2010
APOBEC3B,other,0.000932878,67.0786,22.0525,187,2716
APOBEC3C,other,-0.00972307,57.5687,31.5894,224,1276
APOBEC3G,other,0.0369831,40.4562,24.7039,291,1130
APOBR,other,-0.0130495,69.1365,17.145,178,2876
APOC1,other,0.0190129,47.121,26.1434,265,5743
APOE,other,-0.0201219,100.61,19.551,129,1480
APOL2,other,-0.0344323,75.856,30.6278,176,2096
APOM,other,0.0321037,102.023,133.785,160,132
APOO,other,9.94553e-05,88.0438,19.8763,144,1828
APOOL,other,-0.00549316,103.372,14.5876,115,2046
APPBP2,other,0.00221474,127.776,29.2671,103,1729
APPL1,other,0.0146679,107.066,142.773,117,114
APRT,other,-0.0165468,113.738,25.0032,119,912
APTX,other,-0.0262498,55.5247,15.8302,248,1561
AQP3,other,-0.00335775,45.8328,15.1099,292,1688
AR,other,0.0483627,115.505,18.3182,117,1909
ARAF,other,0.00618559,61.7242,22.7766,222,1071
ARAP1,other,0.0290904,45.0664,19.3431,286,1288
AREG,other,-0.0325314,125.373,28.4037,105,729
AREL1,other,0.00927855,95.3272,36.2739,154,777
ARF1,other,0.082358,77.2786,40.6816,174,1659
ARF3,other,0.0516459,55.5713,19.2827,268,1073
ARF4,other,0.0128826,65.9411,44.4338,194,794
ARF5,other,0.054159,29.7419,23.6807,452,1495
ARF6,other,-0.00162148,38.4444,23.789,357,4927
ARFGAP1,other,0.0380965,57.3377,22.1623,260,968
ARFGAP2,other,0.00399412,76.7672,25.5181,160,1841
ARFGAP3,other,-0.0140894,213.175,26.3081,73,1054
ARFGEF1,other,0.0140115,64.4771,34.6993,243,2282
ARFGEF2,other,0.0260486,2005.05,26.7311,23,1991
ARFIP1,other,-0.0200004,56.2676,21.0455,221,2718
ARFIP2,other,-0.0188486,169.429,22.9626,87,3663
ARFRP1,other,-0.017378,32.9997,62.9271,391,248
ARG2,other,-0.00752945,81.8393,13.7342,150,2162
ARGFX,other,0.0127317,75.0743,15.8166,187,3803
ARGLU1,other,0.208635,55.723,28.3725,673,981
ARHGAP1,other,-0.00517738,94.71,25.4486,153,1435
ARHGAP11A,other,0.00815363,126.703,48.1158,109,2160
ARHGAP11B,other,0.0203122,31.2399,16.9425,443,1406
ARHGAP12,other,-0.00551509,77.6233,16.249,167,1843
ARHGAP17,other,-0.00349155,149.52,15.9344,88,2995
ARHGAP18,other,0.00667815,74.6949,23.218,154,868
ARHGAP19,other,-0.00893355,120.051,28.3817,105,2583
ARHGAP21,other,-0.00325962,38.3721,28.5788,321,995
ARHGAP24,other,0.00780068,71.4411,21.7814,173,1204
ARHGAP25,other,-0.0146729,71.5936,20.8354,171,1347
ARHGAP35,other,-0.00347151,76.4014,16.2342,181,1911
ARHGAP45,other,-0.011293,88.7875,30.626,149,1263
ARHGAP5,other,0.0223437,39.8551,22.5223,332,2226
ARHGAP6,other,-0.010581,110.417,53.3668,164,416
ARHGDIA,other,-0.015701,68.7758,14.5911,179,2841
ARHGDIB,other,0.0028734,56.6757,26.4611,219,3722
ARHGEF1,other,0.00960104,21.2324,27.1935,607,1874
ARHGEF10,other,0.0363996,41.7756,55.448,350,628
ARHGEF11,other,0.0315021,76.3891,21.7825,164,1941
ARHGEF12,other,-0.00536346,49.4278,15.2366,262,2080
ARHGEF18,other,0.0207957,40.8577,23.4651,321,1669
ARHGEF2,other,0.0199609,100.851,41.493,132,3221
ARHGEF39,other,0.0048276,60.4501,21.2133,219,1542
ARHGEF6,other,-0.0227374,186.846,26.7257,76,3463
ARHGEF7,other,0.0123514,61.7951,15.9883,202,2057
ARHGEF9,other,-0.00774535,163.263,20.6041,82,1292
ARID1A,other,0.0277256,68.7439,70.728,271,409
ARID1B,other,-0.00287723,26.8904,14.4707,480,2458
ARID2,other,0.0967289,89.628,51.8897,200,2525
ARID3A,other,0.0205146,301.272,30.8738,54,934
ARID3B,other,-0.0125245,47.6365,32.5055,274,1196
ARID3C,other,0.0380553,60.2248,14.591,203,1996
ARID4A,other,0.0294039,51.5954,25.31,251,1634
ARID4B,other,0.0768946,221.195,44.5354,66,968
ARID5A,other,0.00695756,56.8507,22.3016,222,1834
ARID5B,other,0.0816212,72.8729,34.7066,260,878
ARIH1,other,0.14544,184.575,56.2645,91,1042
ARIH2,other,0.021101,108.555,33.4472,129,3961
ARL1,other,-0.044867,127.752,40.4027,117,1153
ARL13B,other,-0.00219908,102.902,16.1325,129,3564
ARL15,other,-0.01144,53.0247,24.9773,254,1114
ARL16,other,0.00266621,64.1353,30.7288,203,1167
ARL17A,other,-0.024761,62.4923,55.2625,212,374
ARL2,other,-0.0123161,1021.37,119.627,26,618
ARL2BP,other,0.029696,30.4871,23.4114,398,867
ARL3,other,-0.0102574,58.0919,20.6767,221,1166
ARL4A,other,0.00504921,63.0608,26.002,209,1523
ARL4D,other,0.0900985,39.6384,37.5796,333,1488
ARL5A,other,0.00100006,157.138,23.2159,88,1440
ARL5B,other,0.0255171,69.2461,59.5211,189,3842
ARL6IP1,other,-0.000887993,42.3214,23.6449,305,1441
ARL6IP4,other,-0.0103015,94.4224,19.3461,137,1935
ARL6IP5,other,-0.0171312,68.9099,22.0996,179,1520
ARL6IP6,other,0.0258524,74.0801,25.737,211,2408
ARL8A,other,-0.00539908,65.0761,21.1525,215,1921
ARL8B,other,-0.0174608,58.674,25.7653,227,2285
ARMC1,other,0.0211579,63.5363,20.508,211,1490
ARMC10,other,0.00971402,62.757,18.0327,204,2097
ARMC5,other,0.02415,63.9618,25.5216,204,998
ARMC6,other,-0.0120987,98.0868,32.9935,132,703
ARMC7,other,0.020709,123.459,128.993,169,113
ARMC8,other,0.00195022,81.7266,77.7411,182,3832
ARMCX3,other,-0.012589,67.5439,34.2131,196,1645
ARMCX5,other,-0.0085237,97.7384,18.8222,134,1781
ARMCX6,other,0.0314552,57.9776,31.9706,215,1584
ARNT,other,0.014278,136.475,105.731,95,2640
ARNT2,other,-0.00901266,102.637,21.2116,115,1465
ARPC1A,other,-0.0199677,56.4202,19.1719,229,1972
ARPC1B,other,0.0855142,333.441,26.7933,77,1229
ARPC2,other,0.0136227,28.5894,84.4292,483,600
ARPC3,other,-0.0190406,36.6583,57.1429,342,648
ARPC4-TTLL3,other,0.000662432,35.8814,36.1126,355,4108
ARPC5,other,0.0262383,70.1948,22.4409,172,2567
ARPC5L,other,-0.00975585,51.9947,20.169,257,1626
ARPP19,other,-0.00377595,54.2025,41.0444,239,575
ARRB1,other,-0.026231,300.422,17.1531,55,1862
ARRB2,other,0.0187916,208.766,148.991,81,148
ARRDC1,other,0.0520161,51.3987,29.9604,244,1816
ARRDC2,other,0.0189666,31.2391,16.0526,386,2289
ARRDC3,other,0.0359586,101.608,21.4052,129,2704
ARRDC4,other,0.125128,69.3791,177.663,266,349
ARSK,other,0.040859,82.5404,28.4111,158,1625
ARV1,other,0.0334936,72.3188,37.3785,179,3526
ARX,other,0.0327424,26.9916,33.8834,439,746
ASAH1,other,0.0252365,64.3324,19.1108,208,1146
ASAH2B,other,-0.00778908,64.2116,31.1269,217,1390
ASAP1,other,-0.00468032,55.4204,34.6987,251,723
ASAP3,other,0.0118315,59.1172,15.4702,221,3715
ASB1,other,0.0757782,48.7775,25.0278,283,2808
ASB13,other,0.0329415,20.3496,35.9586,659,1123
ASB3,other,-0.0146501,54.8809,22.0266,245,2674
ASB6,other,0.00152471,171.525,191.107,112,61
ASB7,other,0.0132722,514.143,32.8709,34,1287
ASB8,other,0.00568369,6321.42,18.572,10,1883
ASCC1,other,0.100197,136.589,26.9912,103,1016
ASCC3,other,0.0217307,292.242,116.81,128,136
ASCL1,other,0.0114438,56.4399,20.6689,227,2675
ASCL2,other,0.0115812,67.0792,16.4627,186,2185
ASCL3,other,-0.0362285,473.444,21.9414,39,1284
ASCL4,other,0.03309,99.9208,34.6489,142,1870
ASCL5,other,-0.0119058,152.653,19.3861,89,2359
ASF1A,other,0.0416456,64.8646,20.7294,200,2294
ASF1B,other,-0.0130529,19.4952,88.0019,680,177
ASH1L,other,-0.0233811,40.6749,23.5,306,1082
ASH2L,other,0.0179419,224.601,734.451,66,13
ASL,other,-0.00198292,123.136,15.611,110,1463
ASMTL,other,0.00739155,175.824,18.3339,79,2243
ASNS,other,-0.0243438,95.8582,22.4289,144,1546
ASNSD1,other,0.0195496,57.2848,27.4612,240,773
ASPH,other,0.0376812,81.225,26.4208,224,1266
ASPM,other,-0.012469,43.0058,16.3462,286,2440
ASPSCR1,other,-0.00442566,98.599,17.3771,131,2985
ASRGL1,other,-0.00129039,46.3582,39.5109,287,995
