held_out,arm,targets,pds_proxy,minus_t20like,ci95
cd4_mix,t20like,292,0.6922633338040767,0.0,"[0.0, 0.0]"
cd4_mix,t20like+net0.05,292,0.6931930518288377,0.0009297180247610979,"[-0.0001647601562867759, 0.0020712705361766223]"
cd4_mix,t20like+netshuf0.05,292,0.6927105399425694,0.00044720613849268023,"[-0.0006119662947794558, 0.001777350185943605]"
cd4_mix,t20like+net0.1,292,0.6945817445746835,0.0023184107706067884,"[0.00038836322553311884, 0.004519135715294447]"
cd4_mix,t20like+netshuf0.1,292,0.6933107376547569,0.0010474038506802256,"[-0.001047698065245022, 0.0036014804876900635]"
cd4_mix,t20like+net0.2,292,0.695582074094996,0.0033187402909193604,"[-0.00030598314738973113, 0.00707291813773949]"
cd4_mix,t20like+netshuf0.2,292,0.6939462411147201,0.0016829073106435066,"[-0.002789448288848093, 0.007614567151532268]"
cd4_mix,t20like+net0.4,292,0.6956762227557314,0.0034128889516546633,"[-0.003695923362990164, 0.010769135715294443]"
cd4_mix,t20like+netshuf0.4,292,0.6915925245963376,-0.0006708092077390153,"[-0.008792308054417922, 0.008109141834957404]"
orion_hct116,t20like,265,0.7084048027444254,0.0,"[0.0, 0.0]"
orion_hct116,t20like+net0.05,265,0.7087192681532304,0.0003144654088050316,"[-0.0005145797598627791, 0.001272155517438534]"
orion_hct116,t20like+netshuf0.05,265,0.7084048027444254,1.67580833905684e-18,"[-0.0010148656375071443, 0.0010581046312178382]"
orion_hct116,t20like+net0.1,265,0.7092195540308748,0.0008147512864494019,"[-0.0005574614065180048, 0.002444253859348201]"
orion_hct116,t20like+netshuf0.1,265,0.7080760434534019,-0.00032875929102344127,"[-0.00220197255574614, 0.0016302172670097181]"
orion_hct116,t20like+net0.2,265,0.7096054888507718,0.001200686106346486,"[-0.0014579759862778689, 0.003960120068610631]"
orion_hct116,t20like+netshuf0.2,265,0.7083905088622071,-1.4293882218408832e-05,"[-0.003388364779874211, 0.0035313036020583177]"
orion_hct116,t20like+net0.4,265,0.7095769010863351,0.0011720983419096632,"[-0.0035888364779874215, 0.005932675814751282]"
orion_hct116,t20like+netshuf0.4,265,0.7086477987421385,0.00024299599771298113,"[-0.006489422527158374, 0.0076497284162378425]"
orion_hek293t,t20like,278,0.676583642833026,0.0,"[0.0, 0.0]"
orion_hek293t,t20like+net0.05,278,0.6769082928602966,0.0003246500272706013,"[-0.0005843700490870865, 0.0012989247591096806]"
orion_hek293t,t20like+netshuf0.05,278,0.6755058047424876,-0.001077838090538401,"[-0.0024283822039841067, 0.00012986001090823878]"
orion_hek293t,t20like+net0.1,278,0.677687452925746,0.0011038100927200439,"[-0.0006363140534503855, 0.002999766251980359]"
orion_hek293t,t20like+netshuf0.1,278,0.6750902527075812,-0.001493390125444773,"[-0.003441614939095657, 0.00036360803054306934]"
orion_hek293t,t20like+net0.2,278,0.6787652910162845,0.0021816481832584458,"[-0.0012859387580188575, 0.005908955146352227]"
orion_hek293t,t20like+netshuf0.2,278,0.6741682466301328,-0.0024153962028932835,"[-0.006078097810560214, 0.0012093213515829836]"
orion_hek293t,t20like+net0.4,278,0.679674311092642,0.003090668259616134,"[-0.0034416149390956528, 0.00981741682466301]"
orion_hek293t,t20like+netshuf0.4,278,0.6731163805417759,-0.003467262291250034,"[-0.010648520894475757, 0.004857413708022749]"
