held_out,arm,targets,pds_proxy,reach_proxy,prec_200_shared,pds_gen,nmae_gen,detectable_median,pds_minus_base,pds_ci95,reach_minus_base,reach_ci95,pds_gen_minus_base,pds_gen_ci95,nmae_gen_minus_base,nmae_gen_ci95,combined_minus_base,combined_ci95
k562,t20like_3,271,0.7567309006423397,0.10099497927193413,0.5270479704797048,0.7339027834722791,1.1539170478407519,431.0,,,,,,,,,,
k562,hek_equal,271,0.779363126964603,0.10578354221180611,0.5341328413284133,0.756497046451946,1.1428752704713903,298.0,0.02263222632226322,"[0.007434399343993444, 0.03768074347410141]",0.004788562939871957,"[-0.002679066748754735, 0.012409308251311051]",0.022594262979666838,"[0.009852094817244469, 0.0359324176575099]",-0.011041777369361405,"[-0.014171703640687464, -0.00799556849392215]",0.011115214562407641,"[0.006290158859398925, 0.01616827888399117]"
k562,hek_half,271,0.7654639879732131,0.10365179435267567,0.5317712177121771,0.74135878395821,1.1511481782487514,351.0,0.008733087330873308,"[-0.0032390323903239006, 0.020759874265409317]",0.002656815080741524,"[-0.00475425404191736, 0.010175714042716447]",0.007456000485930791,"[-0.002670113738174421, 0.017865586989203222]",-0.002768869592000559,"[-0.005403822224590959, -0.0002915340900966438]",0.003431754964775235,"[-0.0004262987967562987, 0.007162480750723058]"
cd4_mix,t20like_3,291,0.7072283445905913,0.00572829739574543,0.5206529209621993,0.6857500230411713,1.5360104383094844,537.0,,,,,,,,,,
cd4_mix,hek_equal,291,0.693079748785401,0.007048638193628541,0.522680412371134,0.6728864662743084,1.5144031091998944,293.0,-0.014148595805190189,"[-0.03802938736817158, 0.010323201801161263]",0.001320340797883112,"[1.1560676927872847e-06, 0.0028154358669369318]",-0.01286355676686284,"[-0.03302803781385367, 0.007836335268791711]",-0.02160732910959011,"[-0.02558213825739742, -0.01823549128975142]",0.001203098423518706,"[-0.006010480791443137, 0.008710232148706013]"
cd4_mix,hek_half,291,0.700793932930442,0.0069715086275832705,0.5234020618556701,0.6800884780977209,1.5179533226326003,367.0,-0.006434411660149306,"[-0.0290955681952838, 0.019327230714539633]",0.0012432112318378403,"[-0.00014904787205342082, 0.002666871746065287]",-0.005661544943450376,"[-0.02617770009611459, 0.015325012178904805]",-0.018057115676884297,"[-0.02153442691543919, -0.014715961444492935]",0.0028372650531166255,"[-0.004666057296197702, 0.010453380029231659]"
