held_out,arm,targets,line_new,pds_proxy,reach_proxy,prec_200_shared,pds_gen,nmae_gen,energy_ratio,detectable_median,pds_minus_t20like,pds_ci95,reach_minus_t20like,reach_ci95,pds_gen_minus_t20like,pds_gen_ci95,nmae_gen_minus_t20like,nmae_gen_ci95,prec_minus_t20like,prec_ci95,combined_minus_t20like,combined_ci95
k562,t20like,271,False,0.779363126964603,0.10578354221180611,0.5341328413284133,0.756497046451946,1.1428752704713903,1.0,298.0,,,,,,,,,,,,
k562,eb_k1_det,271,False,0.7754680880142135,0.11130142187773448,0.5285793357933579,0.7547021396139888,1.152613413527217,0.4248594282412554,297.0,-0.0038950389503895058,"[-0.02886838868388685, 0.020623547902145687]",0.005517879665928386,"[-0.007519702612826736, 0.01882207212054979]",-0.0017949068379572645,"[-0.02141045206748362, 0.01755960244787632]",0.00973814305582657,"[0.0009113775460432108, 0.018289734336645585]",-0.0055535055350553544,"[-0.011476937269372699, 0.0005539667896678931]",-0.003275465086737789,"[-0.010938364641667088, 0.004437712052487693]"
k562,eb_k2_det,271,False,0.77106737734044,0.11656343142324671,0.526660516605166,0.7535996841449896,1.1525835831864868,0.3948265715665446,297.0,-0.008295749624162907,"[-0.03076807434741015, 0.01602227688943554]",0.010779889211440623,"[-0.0024522263309142756, 0.024478769437152888]",-0.0028973623069564057,"[-0.02090360348047925, 0.017454861585652882]",0.009708312715096298,"[0.00017966603172016305, 0.020112433490105476]",-0.007472324723247234,"[-0.013930811808118082, -0.001641605166051666]",-0.0036642948635803078,"[-0.010929242756177886, 0.0037409453057566954]"
k562,eb_k2_energy,271,False,0.7701653683203499,0.11656343142324671,0.526678966789668,0.7565243800586154,1.1736157824573137,0.9999999285676191,721.0,-0.009197758644253108,"[-0.034265750990843245, 0.015131201312013101]",0.010779889211440623,"[-0.0018309924241296273, 0.024176176853563252]",2.7333606669400477e-05,"[-0.01887472856210044, 0.019244985042443003]",0.03074051198592313,"[0.016260354261460608, 0.047158141748834266]",-0.0074538745387453895,"[-0.013560885608856089, -0.0012910516605166072]",-0.008290098137798263,"[-0.01671654435198675, 0.00020482970412500097]"
cd4_mix,t20like,292,True,0.6922633338040767,0.007029767725631394,0.5225513698630138,0.6716552380653497,1.5150669998019382,1.0,294.0,,,,,,,,,,,,
cd4_mix,eb_k1_det,292,True,0.677399613990491,0.0058874773487407345,0.5180479452054795,0.6704208445134868,1.5061854206293068,0.4371893693414935,293.5,-0.014863719813585644,"[-0.03762445276090947, 0.008940003765946392]",-0.0011422903768906604,"[-0.002518920557444528, 0.00015568637967405238]",-0.0012343935518628385,"[-0.01851757049380973, 0.01527277613017621]",-0.008881579172631457,"[-0.01380200317573541, -0.004276465146639512]",-0.004503424657534245,"[-0.010087756849315066, 0.0011476883561643847]",0.0019536446979398713,"[-0.0043339987302812915, 0.008508566280207104]"
cd4_mix,eb_k2_det,292,True,0.677399613990491,0.0058874773487407345,0.5180479452054795,0.6704208445134868,1.5061854206293068,0.4371893693414935,293.5,-0.014863719813585644,"[-0.0377280162877183, 0.008933531045520873]",-0.0011422903768906604,"[-0.002508868062411445, 0.00020882127091751332]",-0.0012343935518628385,"[-0.017871540690528133, 0.015434267235742998]",-0.008881579172631457,"[-0.013796015114828341, -0.004433771616768013]",-0.004503424657534245,"[-0.010205907534246574, 0.0011138698630136952]",0.0019536446979398713,"[-0.00451638317323807, 0.00836761268357344]"
cd4_mix,eb_k2_energy,292,True,0.6746222284987996,0.005841184134497374,0.5180479452054795,0.6716787752305334,1.5356531535353444,1.0000000518871877,680.0,-0.017641105305277023,"[-0.03908493386056582, 0.005874288000753182]",-0.0011885835911340206,"[-0.002480014881064, 0.00012057675332295059]",2.3537165183824798e-05,"[-0.017679353198700752, 0.01672577110368382]",0.020586153733406297,"[0.014808510797260623, 0.02625275900866]",-0.004503424657534245,"[-0.010225599315068494, 0.0010282534246575355]",-0.005549788128553523,"[-0.01218524400169395, 0.001136834561092365]"
orion_hct116,t20like,265,True,0.7084048027444254,0.04771864576279752,0.5154716981132075,0.680955784257671,1.1894642868302536,1.0,483.0,,,,,,,,,,,,
orion_hct116,eb_k1_det,265,True,0.6898370497427101,0.053243174067405766,0.5234716981132076,0.6629296105711201,1.1972326049250184,0.43482919061176717,482.0,-0.018567753001715263,"[-0.04982990280160091, 0.010971983990851876]",0.005524528304608245,"[-0.00581163377577254, 0.016892581970172443]",-0.018026173686551045,"[-0.04336438282192999, 0.007541214027063071]",0.007768318094764825,"[-0.001591878741175118, 0.01806801281942418]",0.008,"[0.000791509433962267, 0.0158688679245283]",-0.00858686841274488,"[-0.018356492676618014, 0.0015510544515107494]"
