held_out,inputs,k1_sigma2_median,k1_tau2_median,k1_share_sigma2_gt_tau2,k1_scale_det,k2_sigma2_median,k2_tau2_median,k2_share_sigma2_gt_tau2,k2_scale_det,k2_scale_energy
k562,"['cd4_mix', 'orion_hct116', 'orion_hek293t']",0.00021795506522665848,0.0005521767395690522,0.3042373650303965,4.80870017104381,0.00021795506522665848,0.00010221584328941625,0.508483803647582,5.211431017983464,8.297701182689872
cd4_mix,"['k562', 'orion_hct116', 'orion_hek293t']",0.0003349515249531625,0.00015350648483197622,0.4989565375192814,4.652442192341907,0.0003349515249531625,0.00015350648483197622,0.4989565375192814,4.652442192341907,7.0391219222452595
orion_hct116,"['k562', 'cd4_mix']",9.23277308221859e-05,0.00037941745957664313,0.1335631975319844,7.540419339182961,9.23277308221859e-05,0.0,0.3917067416749841,8.2814612032604,12.349601267220585
orion_hek293t,"['k562', 'cd4_mix']",9.951007617511477e-05,0.0003733159118858446,0.13991470828418473,7.389241921563153,9.951007617511477e-05,0.0,0.4076762544233736,8.039945045553102,12.341076669213356
