,A549,BXPC3,HAP1,HT29,K562,MCF7
A549,,0.5699511658801971,0.5645265327338357,0.6287941225958161,0.5926721286463068,0.5837945670285236
BXPC3,0.5780597255557666,,0.5829582353574305,0.5854273334010518,0.5282549782978467,0.579889478744636
HAP1,0.560345403154292,0.5620023529248621,,0.6278378027060375,0.5604477451658361,0.5603182347753936
HT29,0.6001716263282378,0.5811946271734774,0.6044782697522476,,0.5659857794971616,0.5591271189585743
K562,0.5792342530327425,0.530996526278367,0.5667492422017315,0.5908365665122759,,0.5257431293147398
MCF7,0.5601292466474429,0.5332811854312175,0.5565274567691849,0.5618454689601828,0.5282768931251481,
