,A549,BXPC3,HAP1,HT29,K562,MCF7
A549,1.0,0.7813257091109062,0.798490842864446,0.7839868025254698,0.7236510447186136,0.7831052263953071
BXPC3,0.7813257091109062,1.0,0.6907091763342218,0.8247053428847246,0.6832745148975949,0.7685846111153121
HAP1,0.798490842864446,0.6907091763342218,1.0,0.7338942922726581,0.7723491661129139,0.7576949226576709
HT29,0.7839868025254698,0.8247053428847246,0.7338942922726581,1.0,0.7296848678502509,0.8171085879998555
K562,0.7236510447186136,0.6832745148975949,0.7723491661129139,0.7296848678502509,1.0,0.7387478214320193
MCF7,0.7831052263953071,0.7685846111153121,0.7576949226576709,0.8171085879998555,0.7387478214320193,1.0
