,A549,BXPC3,HAP1,HT29,K562,MCF7
A549,1.0,0.3386133627659169,0.35530487353819923,0.29449022836860617,0.11363415673573075,0.310830178937573
BXPC3,0.3386133627659169,1.0,0.054331267864330436,0.4808905982924285,0.026012091026116114,0.3026140091969757
HAP1,0.35530487353819923,0.054331267864330436,1.0,0.09612158811632117,0.26049514392086975,0.26221348260191685
HT29,0.29449022836860617,0.4808905982924285,0.09612158811632117,1.0,0.040656955889774964,0.3835954380590072
K562,0.11363415673573075,0.026012091026116114,0.26049514392086975,0.040656955889774964,1.0,0.12119112846029712
MCF7,0.310830178937573,0.3026140091969757,0.26221348260191685,0.3835954380590072,0.12119112846029712,1.0
