source,line,stimulus,targets,genes,pds
MCF7,BXPC3,IFNB,61,598,0.5598360655737706
MCF7,BXPC3,IFNG,59,1003,0.5730566919929866
MCF7,BXPC3,INS,44,1315,0.5047568710359408
MCF7,BXPC3,TGFB1,52,194,0.4954751131221719
MCF7,HAP1,IFNB,61,592,0.5672131147540984
MCF7,HAP1,IFNG,59,1348,0.5274693161893629
MCF7,HAP1,INS,44,1221,0.5454545454545454
MCF7,HAP1,TGFB1,52,172,0.585972850678733
MCF7,HT29,IFNB,61,564,0.6005464480874317
MCF7,HT29,IFNG,59,1362,0.5698421975452951
MCF7,HT29,INS,44,1332,0.5581395348837209
MCF7,HT29,TGFB1,52,170,0.5188536953242836
MCF7,K562,IFNB,61,513,0.5989071038251367
MCF7,K562,IFNG,59,1234,0.5365283459964932
MCF7,K562,INS,44,1294,0.4957716701902749
MCF7,K562,TGFB1,52,144,0.48190045248868785
