held_out,arm,targets,pds_proxy,reach_proxy,prec_200_shared,mse_ratio,mse_ratio_best_scale,detectable_median,pds_minus_t20like,pds_ci95,reach_minus_t20like,reach_ci95,prec_minus_t20like,prec_ci95
k562,t20like,271,0.779363126964603,0.10578354221180611,0.5341328413284133,1.0823210029441466,0.9988709106064668,298.0,,,,,,
k562,lct_c,271,0.6659696596965969,0.11019331054524834,0.5237269372693727,1.0055663981977019,0.9983649536384905,8.0,-0.11339346726800603,"[-0.15557161404947384, -0.07300738007380074]",0.004409768333442235,"[-0.016950289822491287, 0.028462926354403787]",-0.01040590405904059,"[-0.01726983394833949, -0.0034857011070110766]"
k562,gene_beta_pos,271,0.7828891622249555,0.09990019250672803,0.5288191881918819,0.9996109564050825,0.999236587750802,3.0,0.0035260352603526065,"[-0.016647874812081454, 0.022444649446494453]",-0.005883349705078065,"[-0.016085146693413977, 0.005277965172808286]",-0.0053136531365313685,"[-0.010166512915129154, -0.0003302583025830379]"
k562,t20_rw0.25,271,0.7866338663386634,0.11309436969536688,0.5339483394833948,1.1335564186919838,0.9985281153432989,297.0,0.007270739374060405,"[0.0006560065600656001, 0.014637146371463709]",0.0073108274835607815,"[0.0007407478197458842, 0.014168238281635043]",-0.00018450184501844994,"[-0.0030073800738007355, 0.002619926199261989]"
k562,t20_rw0.5,271,0.7827798277982779,0.11021128761512558,0.535,1.3381024565562838,0.9984289781812002,298.0,0.0034167008336750005,"[-0.009621771217712178, 0.016988178215115484]",0.004427745403319485,"[-0.002882479206932282, 0.011822859326155625]",0.000867158671586717,"[-0.002416974169741696, 0.0044095940959409585]"
k562,t20_rw1.0,271,0.7628126281262813,0.10497445434062867,0.5346678966789667,6.44184157470804,0.9987508765349269,298.0,-0.01655049883832172,"[-0.039634413010796773, 0.00631679650129833]",-0.0008090878711774208,"[-0.008890850593047669, 0.007824534490922304]",0.0005350553505535072,"[-0.0038016605166051667, 0.004778597785977864]"
k562,t20_sign_mag,271,0.7425310919775865,0.08246616316789226,0.527859778597786,1.1924966405796933,0.9993554760208676,297.0,-0.03683203498701654,"[-0.06110769441027744, -0.013174115074484079]",-0.023317379043913834,"[-0.03593843400811627, -0.011228567547246368]",-0.006273062730627307,"[-0.012509686346863471, -0.0003321033210332106]"
k562,gbpos_rw0.5,271,0.7767117671176711,0.10373531975386392,0.531918819188192,3.00955086248404,0.9992508731167058,297.0,-0.002651359846931807,"[-0.02491629082957497, 0.022403990706573708]",-0.0020482224579421904,"[-0.011919893741036958, 0.008801491120546668]",-0.002214022140221401,"[-0.007178505535055351, 0.002804889298892989]"
cd4_mix,t20like,292,0.6922633338040767,0.007029767725631394,0.5225513698630138,1.261802933518926,0.9992529285199456,294.0,,,,,,
cd4_mix,lct_c,292,0.5830155816033518,0.006820134372480534,0.5192465753424658,1.014283721239746,0.9998019941777494,8.0,-0.10924775220072494,"[-0.15268970955138164, -0.06817039730734833]",-0.00020963335315086194,"[-0.002003509763175471, 0.001623926792638238]",-0.003304794520547943,"[-0.013529965753424657, 0.007329623287671232]"
