held_out,context,variant,amplitude,median_q99_abs,pds_proxy_noisy,pds_proxy_noisy_sd_seeds,targets
k562,A,raw,0.197,0.1063679533568007,0.660061045054895,0.007844993789911808,271
k562,A,raw,0.394,0.2127359067136014,0.7086920869208693,0.005220683096760694,271
k562,A,raw,0.788,0.4254718134272028,0.7358115803380256,0.0026278514225552317,271
k562,A,raw,1.576,0.8509436268544056,0.7423352011297891,0.0013587457397700755,271
k562,A,zk16,3.0811,0.22909100000000002,0.737857045237119,0.0042640572416870505,271
k562,A,zk16,6.1621,0.45818200000000003,0.7568174570634595,0.003306073518166526,271
k562,A,zk64,9.4917,0.229091,0.7539064279531683,0.003372892735251646,271
k562,A,zk64,18.9835,0.458182,0.7678784565623434,0.0025330043452265814,271
k562,B,raw,0.197,0.1063679533568007,0.6666302218577741,0.010540359572761535,271
k562,B,raw,0.394,0.2127359067136014,0.716199717552731,0.007119563610612953,271
k562,B,raw,0.788,0.4254718134272028,0.7420254202542026,0.0045514490668354815,271
k562,B,raw,1.576,0.8509436268544056,0.748758598697098,0.0025196469248882345,271
k562,B,zk16,3.0811,0.22909100000000002,0.7423944239442394,0.004801128105809139,271
k562,B,zk16,6.1621,0.45818200000000003,0.757382351601294,0.0019871091313901643,271
k562,B,zk64,9.4917,0.229091,0.7571363491412691,0.004349914474952335,271
k562,B,zk64,18.9835,0.458182,0.7671632271878274,0.002188234992923031,271
k562,C,raw,0.197,0.1063679533568007,0.6661017721288325,0.00588737729958569,271
k562,C,raw,0.394,0.2127359067136014,0.7140585850302946,0.0018157256784365925,271
k562,C,raw,0.788,0.4254718134272028,0.7381987153204865,0.0019577745467133922,271
k562,C,raw,1.576,0.8509436268544056,0.7444307776411098,0.0010646664943800839,271
k562,C,zk16,3.0811,0.22909100000000002,0.7384811625894038,0.00337908929484157,271
k562,C,zk16,6.1621,0.45818200000000003,0.7544485444854448,0.0010790718022769777,271
k562,C,zk64,9.4917,0.229091,0.7528768621019543,0.001976070423572453,271
k562,C,zk64,18.9835,0.458182,0.7649355382442713,0.00043524471459142536,271
cd4_mix,A,raw,0.197,0.0919529073394068,0.6435531704561503,0.0016713320973292599,292
cd4_mix,A,raw,0.394,0.1839058146788136,0.6622534481946994,0.002832099069899785,292
cd4_mix,A,raw,0.788,0.3678116293576272,0.6664548321800122,0.002728129043416689,292
cd4_mix,A,raw,1.576,0.7356232587152544,0.665277973920821,0.0012734382211631358,292
cd4_mix,A,zk16,2.3501,0.22909099999999996,0.6805692855685795,0.0026521092658921296,292
cd4_mix,A,zk16,4.7003,0.4581819999999999,0.6801220794300868,0.0014207148501933003,292
cd4_mix,A,zk64,7.0145,0.229091,0.6830367650520172,0.0035203212214416123,292
cd4_mix,A,zk64,14.0289,0.458182,0.6811930204459508,0.0014772371070342807,292
cd4_mix,B,raw,0.197,0.0919529073394068,0.6343109102606349,0.0032260564048991625,292
cd4_mix,B,raw,0.394,0.1839058146788136,0.6546901724489635,0.00033235684821627805,292
cd4_mix,B,raw,0.788,0.3678116293576272,0.660146871910747,0.0014044937621461608,292
cd4_mix,B,raw,1.576,0.7356232587152544,0.6572753377583204,0.0007580161009343864,292
cd4_mix,B,zk16,2.3501,0.22909099999999996,0.6771838566429725,0.002060282641733181,292
cd4_mix,B,zk16,4.7003,0.4581819999999999,0.674834062985454,0.0014594307798098194,292
cd4_mix,B,zk64,7.0145,0.229091,0.6816088436975317,0.003466339838527173,292
cd4_mix,B,zk64,14.0289,0.458182,0.6777409028856565,0.0018956552869215143,292
cd4_mix,C,raw,0.197,0.0919529073394068,0.631466836134256,0.006248759043298817,292
cd4_mix,C,raw,0.394,0.1839058146788136,0.650728082976353,0.004437346975088943,292
cd4_mix,C,raw,0.788,0.3678116293576272,0.6574165607494233,0.0023571856936146123,292
cd4_mix,C,raw,1.576,0.7356232587152544,0.657189034819313,0.0011641316820280667,292
cd4_mix,C,zk16,2.3501,0.22909099999999996,0.674967440254829,0.006141308531875496,292
cd4_mix,C,zk16,4.7003,0.4581819999999999,0.6747281457421268,0.003447732761663327,292
cd4_mix,C,zk64,7.0145,0.229091,0.6822874986269988,0.007058150108899067,292
cd4_mix,C,zk64,14.0289,0.458182,0.6798121734218331,0.0038469526611967456,292
orion_hct116,A,raw,0.197,0.11476446042653857,0.6388269487326091,0.010619333753006022,265
orion_hct116,A,raw,0.394,0.22952892085307713,0.6690870973889842,0.007394459200988147,265
orion_hct116,A,raw,0.788,0.45905784170615427,0.6827949304364399,0.004477345497163458,265
orion_hct116,A,raw,1.576,0.9181156834123085,0.6818324757004003,0.0023129898342701587,265
orion_hct116,A,zk16,5.9904,0.22909099999999996,0.7071755288736421,0.004193023716440826,265
orion_hct116,A,zk16,11.9809,0.4581819999999999,0.7044453973699257,0.0023711478370757855,265
orion_hct116,A,zk64,19.3673,0.22909100000000002,0.7173623022679627,0.0034860144965022455,265
orion_hct116,A,zk64,38.7345,0.45818200000000003,0.7100200114351057,0.0014515623308257897,265
orion_hct116,B,raw,0.197,0.11476446042653857,0.6377406136840099,0.008917307919358932,265
orion_hct116,B,raw,0.394,0.22952892085307713,0.6651324566418906,0.006559696347274388,265
orion_hct116,B,raw,0.788,0.45905784170615427,0.6759767486182581,0.003949327201066299,265
orion_hct116,B,raw,1.576,0.9181156834123085,0.6759529254812273,0.0018829744816482496,265
orion_hct116,B,zk16,5.9904,0.22909099999999996,0.7135982466171146,0.003455698561634715,265
orion_hct116,B,zk16,11.9809,0.4581819999999999,0.7113874595006671,0.002312852422130816,265
orion_hct116,B,zk64,19.3673,0.22909100000000002,0.7248380026681912,0.002716121812474141,265
orion_hct116,B,zk64,38.7345,0.45818200000000003,0.7159043262816848,0.0020002017078258097,265
orion_hct116,C,raw,0.197,0.11476446042653857,0.6329235753764055,0.006786552369875544,265
orion_hct116,C,raw,0.394,0.22952892085307713,0.6571183533447683,0.00453340714671901,265
orion_hct116,C,raw,0.788,0.45905784170615427,0.6656851534210025,0.004351704044053456,265
orion_hct116,C,raw,1.576,0.9181156834123085,0.6631408423861255,0.0025068370672468856,265
orion_hct116,C,zk16,5.9904,0.22909099999999996,0.7147798742138365,0.003605762236027347,265
orion_hct116,C,zk16,11.9809,0.4581819999999999,0.709786544692205,0.0008252851827870977,265
orion_hct116,C,zk64,19.3673,0.22909100000000002,0.7235420240137221,0.0023257336763620575,265
orion_hct116,C,zk64,38.7345,0.45818200000000003,0.7119925671812464,0.00022989018642682188,265
orion_hek293t,A,raw,0.197,0.11503309758890941,0.619618384714611,0.011783283641852738,278
orion_hek293t,A,raw,0.394,0.23006619517781882,0.6428849700023375,0.008893581144306498,278
