held_out,arm,targets,pds_proxy,minus_cis,ci95
k562,cis,272,0.5549028652051227,0.0,"[0.0, 0.0]"
k562,string700,272,0.5497680160625136,-0.00513484914260907,
k562,0.1*string700+cis,272,0.5899446494464945,0.035041784241371825,"[0.005039206642066424, 0.06384374321684394]"
k562,0.25*string700+cis,272,0.5839619057955285,0.029059040590405903,"[-0.0014376899283698712, 0.059667523605383105]"
k562,0.5*string700+cis,272,0.5811808118081181,0.02627794660299544,"[-0.003856054645105273, 0.05717047427827218]"
k562,1.0*string700+cis,272,0.5790509008031257,0.02414803559800304,"[-0.006266788311265462, 0.05549842630779246]"
k562,2.0*string700+cis,272,0.576839591925331,0.02193672672020838,"[-0.009987518992836985, 0.054706662415888785]"
cd4_mix,cis,293,0.5790593295619243,0.0,"[0.0, 0.0]"
cd4_mix,string700,293,0.5485646827808687,-0.03049464678105568,
cd4_mix,0.1*string700+cis,293,0.6123825330777504,0.03332320351582589,"[0.006576394408340737, 0.06078533358268264]"
cd4_mix,0.25*string700+cis,293,0.6061877600635841,0.02712843050165973,"[-0.0021748912992659753, 0.056384414886156434]"
cd4_mix,0.5*string700+cis,293,0.6007760998644163,0.021716770302491934,"[-0.009648651175838043, 0.05195456776847906]"
cd4_mix,1.0*string700+cis,293,0.594663144607041,0.015603815045116648,"[-0.014007784375146107, 0.04629833091776146]"
cd4_mix,2.0*string700+cis,293,0.5909579690495114,0.011898639487587077,"[-0.0202341156669316, 0.042683447098976056]"
orion_hct116,cis,268,0.571307786908156,0.0,"[0.0, 0.0]"
orion_hct116,string700,268,0.5317164179104478,-0.039591368997708085,
orion_hct116,0.1*string700+cis,268,0.5932975571580301,0.02198977024987422,"[-0.007367656101514902, 0.05007756163005196]"
orion_hct116,0.25*string700+cis,268,0.5816283749790374,0.010320588070881547,"[-0.02142622561350551, 0.04152045251271731]"
orion_hct116,0.5*string700+cis,268,0.5751579182737995,0.0038501313656436934,"[-0.02729505562077254, 0.03562314830342669]"
orion_hct116,1.0*string700+cis,268,0.5710911733467494,-0.00021661356140645019,"[-0.033349404662082846, 0.03275790988875845]"
orion_hct116,2.0*string700+cis,268,0.5680306333501034,-0.003277153558052434,"[-0.03608415087483929, 0.028411663592151602]"
orion_hek293t,cis,281,0.5701576004067107,0.0,"[0.0, 0.0]"
orion_hek293t,string700,281,0.5279613624809354,-0.042196237925775294,
orion_hek293t,0.1*string700+cis,281,0.5791560752414845,0.008998474834773765,"[-0.018763980681240473, 0.03525991357397051]"
orion_hek293t,0.25*string700+cis,281,0.5697508896797153,-0.0004067107269954207,"[-0.029146860701576, 0.028332803762074213]"
orion_hek293t,0.5*string700+cis,281,0.5648830706659889,-0.00527452974072191,"[-0.03464349262836807, 0.023589539908490085]"
orion_hek293t,1.0*string700+cis,281,0.561616675139807,-0.008540925266903915,"[-0.03878018556176919, 0.01992977885104219]"
orion_hek293t,2.0*string700+cis,281,0.5594560244026436,-0.010701576004067107,"[-0.04045691408235893, 0.020348563802745297]"
