model,uses_context,protocol,direction_id,seed,pooled_mse_vs_null,pearson_median,coverage_targets,n_total_params,n_trainable_params,train_seconds,infer_seconds,peak_rss_bytes,artifact_bytes,calibration_label,context_identifiable,verdict_eligible
lowrank_linear__with_ctx,True,new_context_seen_target,k562_rpe1_to_hepg2,2026,1.4869308704452873,0.16748472852831559,1.0,58824,531,3.8786156999995,0.11019340000348166,392269824,450101,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_seen_target,k562_rpe1_to_hepg2,2026,1.3327704413623558,0.14019901315858224,1.0,58491,198,3.686811400024453,0.10717900001327507,392269824,447594,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_seen_target,k562_rpe1_to_hepg2,2026,1.0825336734231124,0.15811809121854703,1.0,110733,624,5.045880399993621,0.09956840000813827,392269824,849617,cross_context_within_training,True,False
modular_frozen__no_ctx,False,new_context_seen_target,k562_rpe1_to_hepg2,2026,1.2110918177269367,0.16970413593188519,1.0,58549,256,4.668140299996594,0.09437040000921115,392269824,448977,cross_context_within_training,True,False
lowrank_linear__with_ctx,True,new_context_seen_target,k562_rpe1_to_hepg2,2027,1.4869308704452873,0.16748472852831559,1.0,58824,531,3.059699699981138,0.07017110000015236,476512256,450101,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_seen_target,k562_rpe1_to_hepg2,2027,1.3327704413623558,0.14019901315858224,1.0,58491,198,3.0189477000094485,0.09818020000238903,476512256,447594,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_seen_target,k562_rpe1_to_hepg2,2027,1.1020556641416428,0.1549724385073361,1.0,110733,624,5.031434999982594,0.14991179999196902,476512256,849630,cross_context_within_training,True,False
modular_frozen__no_ctx,False,new_context_seen_target,k562_rpe1_to_hepg2,2027,1.1927900622524268,0.15582420128403396,1.0,58549,256,4.7575841000070795,0.09580300000379793,476512256,448969,cross_context_within_training,True,False
lowrank_linear__with_ctx,True,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.8740561376121536,0.25740385155328527,1.0,58824,531,3.2769198000023607,0.08704819998820312,476581888,449382,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.8959174416781749,0.22308991848680898,1.0,58491,198,2.835773999977391,0.06881659998907708,476581888,446873,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.8865044221171956,0.32281922301193167,1.0,110733,624,6.8914862999808975,0.07298769999761134,476581888,848886,cross_context_within_training,True,False
modular_frozen__no_ctx,False,new_context_seen_target,k562_hepg2_to_rpe1,2026,0.879106630019911,0.30936512176878045,1.0,110437,328,5.391068899974925,0.08853219999582507,476581888,846023,cross_context_within_training,True,False
lowrank_linear__with_ctx,True,new_context_seen_target,k562_hepg2_to_rpe1,2027,0.8740561376121536,0.25740385155328527,1.0,58824,531,4.026304800005164,0.09976899999310263,476594176,449382,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_seen_target,k562_hepg2_to_rpe1,2027,0.8959174416781749,0.22308991848680898,1.0,58491,198,3.913743000011891,0.08506619997206144,476594176,446873,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_seen_target,k562_hepg2_to_rpe1,2027,0.877635373858537,0.33223822405061815,1.0,110733,624,5.5616769999905955,0.08905320000485517,476594176,848886,cross_context_within_training,True,False
modular_frozen__no_ctx,False,new_context_seen_target,k562_hepg2_to_rpe1,2027,0.8730019714004483,0.24267366764591536,1.0,58549,256,5.623065899999347,0.06660189997637644,476594176,448248,cross_context_within_training,True,False
lowrank_linear__with_ctx,True,new_context_seen_target,rpe1_hepg2_to_k562,2026,1.1643895412553074,0.0857554142023432,1.0,58824,531,3.167535999993561,0.09189569999580272,477880320,450069,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_seen_target,rpe1_hepg2_to_k562,2026,1.2793972540456087,0.0862076497154366,1.0,58491,198,3.1101265999895986,0.06995220002136193,477880320,447574,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_seen_target,rpe1_hepg2_to_k562,2026,1.124189933955636,0.08546637044333044,1.0,110733,624,5.195223699993221,0.1098370999970939,477880320,849579,cross_context_within_training,True,False
modular_frozen__no_ctx,False,new_context_seen_target,rpe1_hepg2_to_k562,2026,1.2004394548585438,0.08902724201697759,1.0,58549,256,4.552084299997659,0.0655931000073906,477880320,448945,cross_context_within_training,True,False
lowrank_linear__with_ctx,True,new_context_seen_target,rpe1_hepg2_to_k562,2027,1.1643895412553074,0.0857554142023432,1.0,58824,531,3.7243376999977045,0.07502079999540001,478150656,450069,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_seen_target,rpe1_hepg2_to_k562,2027,1.2793972540456087,0.0862076497154366,1.0,58491,198,4.775286599993706,0.09804139999323525,478150656,447574,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_seen_target,rpe1_hepg2_to_k562,2027,1.0850449250725043,0.0790614318696019,1.0,58845,552,6.713469000009354,0.08585070000845008,478150656,451814,cross_context_within_training,True,False
modular_frozen__no_ctx,False,new_context_seen_target,rpe1_hepg2_to_k562,2027,1.2880951787924177,0.09151807224815703,1.0,58549,256,11.65348529999028,0.1584296000073664,478150656,448947,cross_context_within_training,True,False
lowrank_linear__with_ctx,True,new_context_unseen_target,k562_rpe1_to_hepg2,2026,1.319803384703763,0.1510808327980921,1.0,58680,387,2.841513199993642,0.03738259998499416,478150656,448239,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_unseen_target,k562_rpe1_to_hepg2,2026,1.1072923237841787,0.15074245711220025,1.0,58347,54,3.362401400023373,0.06117440000525676,478150656,445713,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_unseen_target,k562_rpe1_to_hepg2,2026,1.1012097108835663,0.14828151593588149,1.0,110605,496,4.905900500016287,0.03536919999169186,478150656,847572,cross_context_within_training,True,False
