model,uses_context,protocol,direction_id,seed,pooled_mse_vs_null,pearson_median,coverage_targets,n_total_params,n_trainable_params,train_seconds,infer_seconds,peak_rss_bytes,artifact_bytes,calibration_label,context_identifiable,verdict_eligible
lowrank_linear__no_ctx,False,new_context_unseen_target,k562_rpe1_to_hepg2,2026,1.1071749491497027,0.15071005436958768,1.0,58347,54,0.6731514999992214,0.03223830001661554,479330304,445887,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_unseen_target,k562_rpe1_to_hepg2,2026,1.10742458947165,0.1538071392005328,1.0,58717,424,0.7195284999907017,0.021047100017312914,479330304,450029,cross_context_within_training,True,False
modular_frozen__no_ctx,False,new_context_unseen_target,k562_rpe1_to_hepg2,2026,1.0735661898960012,0.15514739043643627,1.0,110309,200,0.7124989000149071,0.022217299992917106,479330304,844917,cross_context_within_training,True,False
lowrank_linear__with_ctx,True,new_context_unseen_target,k562_rpe1_to_hepg2,2027,1.3039767263299062,0.17199540113925454,1.0,58680,387,1.139913399994839,0.043956799985608086,479330304,448434,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_unseen_target,k562_rpe1_to_hepg2,2027,1.0639020374343948,0.1739317203145027,1.0,58347,54,0.7944063000031747,0.04471019998891279,479330304,445910,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_unseen_target,k562_rpe1_to_hepg2,2027,1.0700345054004199,0.1719064396347582,1.0,110605,496,1.6168366000056267,0.03896330000134185,479330304,847953,cross_context_within_training,True,False
modular_frozen__no_ctx,False,new_context_unseen_target,k562_rpe1_to_hepg2,2027,1.0590903978785842,0.17458239262009773,1.0,58421,128,1.3263076999865007,0.05929699999978766,479330304,447168,cross_context_within_training,True,False
lowrank_linear__with_ctx,True,new_context_unseen_target,k562_hepg2_to_rpe1,2026,0.8855029812237748,0.3381521901909195,1.0,58680,387,0.6905250999843702,0.03217720001703128,479330304,447809,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_unseen_target,k562_hepg2_to_rpe1,2026,0.8942262416378352,0.3345812760744626,1.0,58347,54,0.8652239000075497,0.040211399988038465,479330304,445281,cross_context_within_training,True,False
modular_frozen__with_ctx,True,new_context_unseen_target,k562_hepg2_to_rpe1,2026,0.872346416471428,0.3412138980968753,1.0,110605,496,1.710388100007549,0.045613499998580664,479330304,847213,cross_context_within_training,True,False
modular_frozen__no_ctx,False,new_context_unseen_target,k562_hepg2_to_rpe1,2026,0.8926157067559682,0.3320115013214448,1.0,110309,200,1.3511530999967363,0.034997700015082955,479330304,844325,cross_context_within_training,True,False
lowrank_linear__with_ctx,True,new_context_unseen_target,k562_hepg2_to_rpe1,2027,0.8796009288134445,0.36154186967200214,1.0,58680,387,1.1641795999894384,0.038546200026758015,479330304,447741,cross_context_within_training,True,False
lowrank_linear__no_ctx,False,new_context_unseen_target,k562_hepg2_to_rpe1,2027,0.8885256342711679,0.3424561583107736,1.0,58347,54,0.8748599000100512,0.03768330000457354,479330304,445220,cross_context_within_training,True,False
