held_out,arm,targets,pds_proxy,minus_cis,ci95
k562,cis,272,0.5549028652051227,0.0,"[0.0, 0.0]"
k562,0.1*string700+cis,272,0.5896733232038203,0.03477045799869763,"[0.0052272696440199716, 0.06353019182765353]"
k562,0.25*string700+cis,272,0.5838262426741914,0.02892337746906881,"[-0.0017278394291295894, 0.059611732146733196]"
k562,0.5*string700+cis,272,0.5808687866290427,0.02596592142392012,"[-0.0051424801931842816, 0.05647401372910785]"
k562,1.0*string700+cis,272,0.5787931408725852,0.023890275667462556,"[-0.006547950130236595, 0.055289165943129985]"
k562,2.0*string700+cis,272,0.5764326025613197,0.02152973735619709,"[-0.010327185532884744, 0.05446297753418711]"
cd4_mix,cis,293,0.5790593295619243,0.0,"[0.0, 0.0]"
cd4_mix,0.1*string700+cis,293,0.6108046191967833,0.031745289634859036,"[0.004698092477441672, 0.05950547010145402]"
cd4_mix,0.25*string700+cis,293,0.6045514049277666,0.02549207536584226,"[-0.004242835102155314, 0.05460780073869746]"
cd4_mix,0.5*string700+cis,293,0.5993033802421807,0.02024405068025621,"[-0.011082215157323855, 0.05090408621253915]"
cd4_mix,1.0*string700+cis,293,0.5932371779886858,0.014177848426761423,"[-0.015505049324419096, 0.045074571041189365]"
cd4_mix,2.0*string700+cis,293,0.5897307026976483,0.010671373135723973,"[-0.020810346439758758, 0.04149650521295992]"
orion_hct116,cis,268,0.571307786908156,0.0,"[0.0, 0.0]"
orion_hct116,0.1*string700+cis,268,0.5912432220917884,0.0199354351836324,"[-0.010132448711498694, 0.04746003130415334]"
orion_hct116,0.25*string700+cis,268,0.579965341830175,0.00865755492201912,"[-0.023060609871988366, 0.04042323494885124]"
orion_hct116,0.5*string700+cis,268,0.5740958130694841,0.002788026161328191,"[-0.02863124685560959, 0.034065277544859954]"
orion_hct116,1.0*string700+cis,268,0.5701548437587345,-0.0011529431494214312,"[-0.03474411649617083, 0.03242984515624126]"
orion_hct116,2.0*string700+cis,268,0.5670384034881771,-0.004269383419978759,"[-0.037255436301637884, 0.027225879031807204]"
orion_hek293t,cis,281,0.5701576004067107,0.0,"[0.0, 0.0]"
orion_hek293t,0.1*string700+cis,281,0.5786603965429589,0.008502796136248091,"[-0.019319077275038128, 0.03497807574987288]"
orion_hek293t,0.25*string700+cis,281,0.5691408235892222,-0.0010167768174885624,"[-0.02985701576004067, 0.02765188103711231]"
orion_hek293t,0.5*string700+cis,281,0.5642730045754957,-0.005884595831215051,"[-0.035422915607524155, 0.023046517539400083]"
orion_hek293t,1.0*string700+cis,281,0.5610447381799695,-0.009112862226741236,"[-0.0395939247585155, 0.019409316217590226]"
orion_hek293t,2.0*string700+cis,281,0.5589857651245552,-0.011171835282155573,"[-0.04095100406710728, 0.019307003050330448]"
