target,pathway,mean_r,median_r,mean_delta_r,min_delta_r,positive_contexts,mean_delta_sign
ZFP36,IFNG,0.006959137522018884,0.0073188399022694,-0.004388494383353917,-0.0301020359924192,2,-0.001666666666666668
STAT3,IFNG,-0.01021532928938105,-0.0163542944327858,-0.004503237545377699,-0.0483555982367758,3,-0.041666666666666685
HERC6,IFNB,0.029126417632486367,0.0291362553822792,-0.004531825994691434,-0.0679334792835158,3,-0.06166666666666668
MAPK3,INS,0.01014802552451695,0.013500193361704299,-0.004923455841462151,-0.030171941973298103,2,-0.001666666666666668
KLF4,IFNG,-0.007367581078840499,-0.0070741850189325,-0.005139141423601583,-0.047504441482970505,2,-0.043333333333333314
TNFRSF1B,TNFA,-0.029851420672202016,-0.03109893634375885,-0.005648468477771384,-0.021147709764828798,2,-0.003333333333333336
FOXO1,INS,0.0045495327286525005,0.00568760567265505,-0.006019214821157801,-0.0729686705754777,3,0.0
FBXO6,IFNG,0.0061414233961772325,0.016851009509398447,-0.006188560197682334,-0.0503737723618757,2,-0.015000000000000022
IFI16,IFNB,0.022484568150261185,0.0168533195675657,-0.007047217507753434,-0.0356519771422988,2,-0.06666666666666667
BATF2,IFNG,-0.013763987889392967,-0.014438151857417649,-0.0072335482338025175,-0.043278168497063105,1,0.00833333333333336
BATF2,IFNB,0.0004259684038364168,0.0013732392196753995,-0.007271561216895982,-0.0646252824346848,2,0.0
PLEK,IFNG,0.0035726411032232165,0.005557576514943249,-0.007478002282324432,-0.088895200977167,3,-0.031666666666666655
SKP1,TGFB1,-0.0027466953416119834,0.00036865031604890004,-0.0076613004483966326,-0.0420303299031773,3,-0.045000000000000005
RUNX1,IFNG,-0.008557556867892634,-0.0089010214782081,-0.007671272921540034,-0.0326248636049956,3,-0.005000000000000023
TTF1,INS,-0.03277990774884793,-0.0314594706052114,-0.007683619600859133,-0.10407712165786301,3,-0.12166666666666666
POLR2G,INS,0.0019556552933409,0.0055304325324955,-0.007737115189595917,-0.12008260196844911,3,-0.13166666666666668
SMAD4,TGFB1,-0.0005255325496951168,-0.0045707130243622,-0.00793426433874017,-0.06368129721990351,3,-0.054999999999999986
NFKB1,IFNB,0.0038492891435735165,0.00529490593274135,-0.008732956639271768,-0.038563630800468304,2,-0.001666666666666668
TAF7,INS,-0.0046948992279884005,0.0008079360660152501,-0.01023619916320975,-0.042946466884794,3,-0.001666666666666668
IRF5,IFNG,-0.005368092239180367,-0.01372422894031175,-0.010611988064406552,-0.0555966502617351,2,0.013333333333333345
RARRES3,IFNG,0.0009962448425780504,0.0091150855468889,-0.010618388726736266,-0.0728605788189534,3,-0.07666666666666665
POLR2L,INS,0.018849062806253633,0.007024967462787151,-0.011256473577986351,-0.0270507819637793,1,-0.18499999999999997
IFI16,IFNG,-0.012553887042554649,-0.0159000072895168,-0.011447451680416018,-0.0454802851215403,3,-0.05166666666666667
ATF5,IFNG,0.005241545291129667,-0.0003584453121718,-0.01147819284102298,-0.046373183666401294,2,0.003333333333333318
