#Archive/File	Name	Time	Size	Type
File	GSM9393839_CD4i_R1L12_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 01:35:34	600686614	H5
File	GSM9393839_CD4i_R1L12_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 02:19:04	716693208	H5
File	GSM9393840_CD4i_R1L13_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 22:15:44	625745090	H5
File	GSM9393840_CD4i_R1L13_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 15:24:21	655935922	H5
File	GSM9393840_CD4i_R1L13_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 11:38:21	611467747	H5
File	GSM9393840_CD4i_R1L13_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 03:24:04	729047810	H5
File	GSM9393841_CD4i_R1L14_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 02:58:26	623455759	H5
File	GSM9393841_CD4i_R1L14_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 04:35:19	52416168	H5
File	GSM9393841_CD4i_R1L14_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 15:39:28	608021028	H5
File	GSM9393841_CD4i_R1L14_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 20:45:28	723478959	H5
File	GSM9393842_CD4i_R1L15_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 16:02:03	593237572	H5
File	GSM9393842_CD4i_R1L15_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 18:09:48	628474904	H5
File	GSM9393842_CD4i_R1L15_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 21:25:11	580859547	H5
File	GSM9393842_CD4i_R1L15_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 22:20:57	695499547	H5
File	GSM9393843_CD4i_R1L16_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 20:09:26	561812470	H5
File	GSM9393843_CD4i_R1L16_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 13:29:52	601160362	H5
File	GSM9393843_CD4i_R1L16_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 16:54:25	548799724	H5
File	GSM9393843_CD4i_R1L16_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 01:23:39	662239150	H5
File	GSM9393844_CD4i_R1L17_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 14:28:40	626629880	H5
File	GSM9393844_CD4i_R1L17_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 15:01:44	667915120	H5
File	GSM9393844_CD4i_R1L17_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 03:31:48	611421216	H5
File	GSM9393844_CD4i_R1L17_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 04:04:29	733679742	H5
File	GSM9393845_CD4i_R1L18_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 04:34:51	629872951	H5
File	GSM9393845_CD4i_R1L18_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 22:43:46	660704104	H5
File	GSM9393845_CD4i_R1L18_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 21:43:13	614996856	H5
File	GSM9393845_CD4i_R1L18_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 18:03:04	733953188	H5
File	GSM9393846_CD4i_R1L19_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 03:02:31	639400339	H5
File	GSM9393846_CD4i_R1L19_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 20:30:38	668026171	H5
File	GSM9393846_CD4i_R1L19_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 14:47:33	620660612	H5
File	GSM9393846_CD4i_R1L19_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 15:57:49	742133888	H5
File	GSM9393847_CD4i_R1L20_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 12:05:30	632279882	H5
File	GSM9393847_CD4i_R1L20_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 21:19:10	664094834	H5
File	GSM9393847_CD4i_R1L20_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 02:16:26	621443384	H5
File	GSM9393847_CD4i_R1L20_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 17:14:36	735931810	H5
File	GSM9393848_CD4i_R1L21_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 23:10:43	637062329	H5
File	GSM9393848_CD4i_R1L21_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 00:05:52	669074590	H5
File	GSM9393848_CD4i_R1L21_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 11:17:22	625261519	H5
File	GSM9393848_CD4i_R1L21_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 10:51:20	743799087	H5
File	GSM9393849_CD4i_R1L22_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 17:42:06	629746343	H5
File	GSM9393849_CD4i_R1L22_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 00:56:29	659284287	H5
File	GSM9393849_CD4i_R1L22_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 23:50:43	617774162	H5
File	GSM9393849_CD4i_R1L22_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 11:51:12	734126061	H5
File	GSM9393850_CD4i_R1L23_D1_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 00:42:04	635583113	H5
File	GSM9393850_CD4i_R1L23_D1_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 02:26:37	670687264	H5
File	GSM9393850_CD4i_R1L23_D2_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 12:36:58	618791553	H5
File	GSM9393850_CD4i_R1L23_D2_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 14:36:13	743362752	H5
File	GSM9393851_CD4i_R2L01_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 16:41:44	578201735	H5
File	GSM9393851_CD4i_R2L01_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 02:33:07	584005169	H5
File	GSM9393851_CD4i_R2L01_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 11:31:50	498394378	H5
File	GSM9393851_CD4i_R2L01_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 21:59:43	557744550	H5
File	GSM9393852_CD4i_R2L02_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 21:48:20	485652848	H5
File	GSM9393852_CD4i_R2L02_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 21:12:04	486093236	H5
File	GSM9393852_CD4i_R2L02_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 23:15:32	425046238	H5
File	GSM9393852_CD4i_R2L02_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 01:15:35	469386753	H5
File	GSM9393853_CD4i_R2L03_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 14:33:49	459201663	H5
File	GSM9393853_CD4i_R2L03_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 23:55:35	469636974	H5
File	GSM9393853_CD4i_R2L03_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 13:34:18	393406958	H5
File	GSM9393853_CD4i_R2L03_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 04:16:05	446902966	H5
File	GSM9393854_CD4i_R2L04_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 10:50:32	483685450	H5
File	GSM9393854_CD4i_R2L04_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 00:32:23	483727657	H5
File	GSM9393854_CD4i_R2L04_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 16:59:04	426808165	H5
File	GSM9393854_CD4i_R2L04_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 20:23:15	466338337	H5
File	GSM9393855_CD4i_R2L05_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 02:11:02	576032440	H5
File	GSM9393855_CD4i_R2L05_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 03:11:35	580261935	H5
File	GSM9393855_CD4i_R2L05_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 03:29:47	501078070	H5
File	GSM9393855_CD4i_R2L05_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 22:35:57	553872911	H5
File	GSM9393856_CD4i_R2L06_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 13:10:40	623789549	H5
File	GSM9393856_CD4i_R2L06_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 21:36:32	627431604	H5
File	GSM9393856_CD4i_R2L06_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 15:17:12	539816338	H5
File	GSM9393856_CD4i_R2L06_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 01:57:57	601830686	H5
File	GSM9393857_CD4i_R2L07_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 00:01:48	530323445	H5
File	GSM9393857_CD4i_R2L07_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 23:27:38	544400925	H5
File	GSM9393857_CD4i_R2L07_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 21:29:56	451886772	H5
File	GSM9393857_CD4i_R2L07_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 03:56:13	517615063	H5
File	GSM9393858_CD4i_R2L08_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 01:28:28	584512015	H5
File	GSM9393858_CD4i_R2L08_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 14:20:54	591896341	H5
File	GSM9393858_CD4i_R2L08_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 04:21:45	500353908	H5
File	GSM9393858_CD4i_R2L08_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 10:42:12	563538635	H5
File	GSM9393859_CD4i_R2L09_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 11:45:06	625466042	H5
File	GSM9393859_CD4i_R2L09_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 11:57:50	621598402	H5
File	GSM9393859_CD4i_R2L09_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 16:40:25	547045791	H5
File	GSM9393859_CD4i_R2L09_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 04:35:19	42364476	H5
File	GSM9393860_CD4i_R2L10_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 01:43:58	604881283	H5
File	GSM9393860_CD4i_R2L10_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 11:51:37	602888284	H5
File	GSM9393860_CD4i_R2L10_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 03:35:36	530620987	H5
File	GSM9393860_CD4i_R2L10_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 15:48:25	581776047	H5
File	GSM9393861_CD4i_R2L11_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 10:58:11	601164025	H5
File	GSM9393861_CD4i_R2L11_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 14:28:00	600120130	H5
File	GSM9393861_CD4i_R2L11_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 16:49:44	525195440	H5
File	GSM9393861_CD4i_R2L11_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 18:16:01	576407991	H5
File	GSM9393862_CD4i_R2L12_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 00:12:50	604076423	H5
File	GSM9393862_CD4i_R2L12_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 16:56:12	601151443	H5
File	GSM9393862_CD4i_R2L12_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 21:28:56	527089407	H5
File	GSM9393862_CD4i_R2L12_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 13:17:02	574303408	H5
File	GSM9393863_CD4i_R2L13_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 13:03:53	561629093	H5
File	GSM9393863_CD4i_R2L13_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 11:10:27	564232622	H5
File	GSM9393863_CD4i_R2L13_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 15:32:43	480743135	H5
File	GSM9393863_CD4i_R2L13_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 14:57:23	538372295	H5
File	GSM9393864_CD4i_R2L14_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 16:34:54	606818014	H5
File	GSM9393864_CD4i_R2L14_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 12:24:03	607266387	H5
File	GSM9393864_CD4i_R2L14_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 11:43:22	524641405	H5
File	GSM9393864_CD4i_R2L14_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 16:26:20	581318831	H5
File	GSM9393865_CD4i_R2L15_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 04:26:46	622815127	H5
File	GSM9393865_CD4i_R2L15_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 13:48:31	619443402	H5
File	GSM9393865_CD4i_R2L15_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 01:30:02	541305397	H5
File	GSM9393865_CD4i_R2L15_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 17:35:19	593073887	H5
File	GSM9393866_CD4i_R2L16_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 14:51:28	624132169	H5
File	GSM9393866_CD4i_R2L16_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 16:33:48	623422094	H5
File	GSM9393866_CD4i_R2L16_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 13:25:57	541258878	H5
File	GSM9393866_CD4i_R2L16_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 12:43:21	598968435	H5
File	GSM9393867_CD4i_R2L17_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 21:41:29	577047682	H5
File	GSM9393867_CD4i_R2L17_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 11:30:10	575795838	H5
File	GSM9393867_CD4i_R2L17_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 23:21:20	499257722	H5
File	GSM9393867_CD4i_R2L17_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 15:20:43	555175333	H5
File	GSM9393868_CD4i_R2L18_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 03:24:51	595075663	H5
File	GSM9393868_CD4i_R2L18_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 02:29:26	602458635	H5
File	GSM9393868_CD4i_R2L18_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 02:09:40	513777649	H5
File	GSM9393868_CD4i_R2L18_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 22:00:58	574782258	H5
File	GSM9393869_CD4i_R2L19_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 17:05:58	614842576	H5
File	GSM9393869_CD4i_R2L19_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 01:00:02	610724983	H5
File	GSM9393869_CD4i_R2L19_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 10:53:15	535963081	H5
File	GSM9393869_CD4i_R2L19_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 20:57:20	589705446	H5
File	GSM9393870_CD4i_R2L20_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 23:43:45	628394919	H5
File	GSM9393870_CD4i_R2L20_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 02:04:32	626274443	H5
File	GSM9393870_CD4i_R2L20_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/16/2025 21:53:29	551141211	H5
File	GSM9393870_CD4i_R2L20_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 21:35:21	603287737	H5
File	GSM9393871_CD4i_R2L21_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 13:41:45	574565536	H5
File	GSM9393871_CD4i_R2L21_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 03:50:07	577444585	H5
File	GSM9393871_CD4i_R2L21_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 15:02:52	497999853	H5
File	GSM9393871_CD4i_R2L21_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 23:35:23	556613368	H5
File	GSM9393872_CD4i_R2L22_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 01:06:42	594626307	H5
File	GSM9393872_CD4i_R2L22_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 20:23:56	598216106	H5
File	GSM9393872_CD4i_R2L22_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 03:59:15	515352717	H5
File	GSM9393872_CD4i_R2L22_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 00:34:48	576293569	H5
File	GSM9393873_CD4i_R2L23_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 11:19:57	586627764	H5
File	GSM9393873_CD4i_R2L23_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 22:42:20	585531048	H5
File	GSM9393873_CD4i_R2L23_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 16:28:01	508273423	H5
File	GSM9393873_CD4i_R2L23_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 03:08:52	561671438	H5
File	GSM9393874_CD4i_R2L24_D3_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 15:08:28	613056577	H5
File	GSM9393874_CD4i_R2L24_D3_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 01:21:39	606651979	H5
File	GSM9393874_CD4i_R2L24_D4_Rest_sample_filtered_feature_bc_matrix.h5	12/17/2025 12:30:21	536718856	H5
File	GSM9393874_CD4i_R2L24_D4_Stim8hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 21:10:31	587459642	H5
File	GSM9393875_CD4i_R2L25_D1_Stim48hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 12:11:53	600360771	H5
File	GSM9393875_CD4i_R2L25_D2_Stim48hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 17:46:54	541464459	H5
File	GSM9393875_CD4i_R2L25_D3_Stim48hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 04:27:42	535766249	H5
File	GSM9393875_CD4i_R2L25_D4_Stim48hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 04:05:57	609673311	H5
File	GSM9393876_CD4i_R2L26_D1_Stim48hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 01:37:13	625548476	H5
File	GSM9393876_CD4i_R2L26_D2_Stim48hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 23:50:08	559751620	H5
File	GSM9393876_CD4i_R2L26_D3_Stim48hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 21:54:36	554367686	H5
File	GSM9393876_CD4i_R2L26_D4_Stim48hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 13:56:00	631646583	H5
File	GSM9393877_CD4i_R2L27_D1_Stim48hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 13:41:13	633908510	H5
File	GSM9393877_CD4i_R2L27_D2_Stim48hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 10:59:32	570825846	H5
File	GSM9393877_CD4i_R2L27_D3_Stim48hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 16:43:48	556904595	H5
File	GSM9393877_CD4i_R2L27_D4_Stim48hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 03:15:47	640126691	H5
File	GSM9393878_CD4i_R2L28_D1_Stim48hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 15:55:28	632815050	H5
File	GSM9393878_CD4i_R2L28_D2_Stim48hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 14:02:41	571245020	H5
File	GSM9393878_CD4i_R2L28_D3_Stim48hr_sample_filtered_feature_bc_matrix.h5	12/17/2025 12:17:58	561314616	H5
File	GSM9393878_CD4i_R2L28_D4_Stim48hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 23:43:51	642707115	H5
File	GSM9393879_CD4i_R2L29_D1_Stim48hr_sample_filtered_feature_bc_matrix.h5	12/16/2025 20:50:48	698563051	H5
