#Archive/File	Name	Time	Size	Type
File	GSM8225042_jurkat_23_barcodes.tsv.gz	04/19/2024 17:48:00	47899	TSV
File	GSM8225042_jurkat_23_features.tsv.gz	04/19/2024 17:48:00	406895	TSV
File	GSM8225042_jurkat_23_matrix.mtx.gz	04/19/2024 17:48:04	115504114	MTX
File	GSM8225043_jurkat_24_barcodes.tsv.gz	04/19/2024 17:48:04	61575	TSV
File	GSM8225043_jurkat_24_features.tsv.gz	04/19/2024 17:48:05	406895	TSV
File	GSM8225043_jurkat_24_matrix.mtx.gz	04/19/2024 17:48:10	151731333	MTX
File	GSM8225044_jurkat_25_barcodes.tsv.gz	04/19/2024 17:48:10	54737	TSV
File	GSM8225044_jurkat_25_features.tsv.gz	04/19/2024 17:48:11	406895	TSV
File	GSM8225044_jurkat_25_matrix.mtx.gz	04/19/2024 17:48:16	133745933	MTX
File	GSM8225045_jurkat_26_barcodes.tsv.gz	04/19/2024 17:48:16	51371	TSV
File	GSM8225045_jurkat_26_features.tsv.gz	04/19/2024 17:48:16	406895	TSV
File	GSM8225045_jurkat_26_matrix.mtx.gz	04/19/2024 17:48:21	129882288	MTX
File	GSM8225046_jurkat_27_barcodes.tsv.gz	04/19/2024 17:48:21	51101	TSV
File	GSM8225046_jurkat_27_features.tsv.gz	04/19/2024 17:48:21	406895	TSV
File	GSM8225046_jurkat_27_matrix.mtx.gz	04/19/2024 17:48:28	153592494	MTX
File	GSM8225047_jurkat_28_barcodes.tsv.gz	04/19/2024 17:48:28	54706	TSV
File	GSM8225047_jurkat_28_features.tsv.gz	04/19/2024 17:48:29	406895	TSV
File	GSM8225047_jurkat_28_matrix.mtx.gz	04/19/2024 17:48:34	137989497	MTX
File	GSM8225048_jurkat_29_barcodes.tsv.gz	04/19/2024 17:48:34	59660	TSV
File	GSM8225048_jurkat_29_features.tsv.gz	04/19/2024 17:48:34	406895	TSV
File	GSM8225048_jurkat_29_matrix.mtx.gz	04/19/2024 17:48:39	136390238	MTX
File	GSM8225049_jurkat_30_barcodes.tsv.gz	04/19/2024 17:48:45	58919	TSV
File	GSM8225049_jurkat_30_features.tsv.gz	04/19/2024 17:48:45	406895	TSV
File	GSM8225049_jurkat_30_matrix.mtx.gz	04/19/2024 17:48:50	146447436	MTX
File	GSM8225050_jurkat_31_barcodes.tsv.gz	04/19/2024 17:48:50	60713	TSV
File	GSM8225050_jurkat_31_features.tsv.gz	04/19/2024 17:48:51	406895	TSV
File	GSM8225050_jurkat_31_matrix.mtx.gz	04/19/2024 17:48:57	187924568	MTX
File	GSM8225051_jurkat_32_barcodes.tsv.gz	04/19/2024 17:48:57	62649	TSV
File	GSM8225051_jurkat_32_features.tsv.gz	04/19/2024 17:48:58	406895	TSV
File	GSM8225051_jurkat_32_matrix.mtx.gz	04/19/2024 17:49:04	163081693	MTX
File	GSM8225052_jurkat_33_barcodes.tsv.gz	04/19/2024 17:49:04	55676	TSV
File	GSM8225052_jurkat_33_features.tsv.gz	04/19/2024 17:49:04	406895	TSV
File	GSM8225052_jurkat_33_matrix.mtx.gz	04/19/2024 17:49:11	172710349	MTX
File	GSM8225053_jurkat_34_barcodes.tsv.gz	04/19/2024 17:49:11	47216	TSV
File	GSM8225053_jurkat_34_features.tsv.gz	04/19/2024 17:49:11	406895	TSV
File	GSM8225053_jurkat_34_matrix.mtx.gz	04/19/2024 17:49:16	136226713	MTX
File	GSM8225054_jurkat_35_barcodes.tsv.gz	04/19/2024 17:49:16	48255	TSV
File	GSM8225054_jurkat_35_features.tsv.gz	04/19/2024 17:49:16	406895	TSV
File	GSM8225054_jurkat_35_matrix.mtx.gz	04/19/2024 17:49:22	140074071	MTX
File	GSM8225055_jurkat_36_barcodes.tsv.gz	04/19/2024 17:49:22	62105	TSV
File	GSM8225055_jurkat_36_features.tsv.gz	04/19/2024 17:49:22	406895	TSV
File	GSM8225055_jurkat_36_matrix.mtx.gz	04/19/2024 17:49:28	174082425	MTX
File	GSM8225056_jurkat_37_barcodes.tsv.gz	04/19/2024 17:49:29	60673	TSV
File	GSM8225056_jurkat_37_features.tsv.gz	04/19/2024 17:49:29	406895	TSV
File	GSM8225056_jurkat_37_matrix.mtx.gz	04/19/2024 17:49:37	243814949	MTX
File	GSM8225057_jurkat_38_barcodes.tsv.gz	04/19/2024 17:49:37	56781	TSV
File	GSM8225057_jurkat_38_features.tsv.gz	04/19/2024 17:49:37	406895	TSV
File	GSM8225057_jurkat_38_matrix.mtx.gz	04/19/2024 17:49:45	218157542	MTX
File	GSM8225058_jurkat_39_barcodes.tsv.gz	04/19/2024 17:49:45	49470	TSV
File	GSM8225058_jurkat_39_features.tsv.gz	04/19/2024 17:49:45	406895	TSV
File	GSM8225058_jurkat_39_matrix.mtx.gz	04/19/2024 17:49:50	137810710	MTX
File	GSM8225059_jurkat_40_barcodes.tsv.gz	04/19/2024 17:49:57	59164	TSV
File	GSM8225059_jurkat_40_features.tsv.gz	04/19/2024 17:49:57	406895	TSV
