held_out,shape,target,pds_gen_base,pds_gen_cis,has_neighbour_5kb
k562,t16,ACLY,0.9958847736625513,0.9958847736625513,True
k562,t16,ADNP,0.9646090534979425,0.9646090534979425,False
k562,t16,AGO1,0.46748971193415634,0.46748971193415634,False
k562,t16,AKAP1,0.880246913580247,0.880246913580247,False
k562,t16,AKIRIN1,0.8185185185185184,0.8185185185185184,False
k562,t16,AKT2,0.6423868312757202,0.6423868312757202,False
k562,t16,ALG12,0.7094650205761316,0.7555555555555556,True
k562,t16,ANKRD52,0.645679012345679,0.645679012345679,False
k562,t16,ANKZF1,0.9395061728395062,0.9707818930041152,True
k562,t16,ANP32B,0.9897119341563787,0.9897119341563787,False
k562,t16,AP2A2,0.8942386831275722,0.8942386831275722,False
k562,t16,API5,0.9962962962962961,0.9962962962962961,False
k562,t16,ARL14EP,0.9720164609053499,0.9720164609053499,False
k562,t16,ASCC2,0.623045267489712,0.623045267489712,False
k562,t16,BCKDK,0.6625514403292182,0.6625514403292182,False
k562,t16,BCL6,0.7226337448559671,0.7226337448559671,False
k562,t16,BCL7C,0.8234567901234568,0.8234567901234568,True
k562,t16,BRD1,0.9790123456790124,0.9790123456790124,False
k562,t16,BRPF1,1.0,1.0,False
k562,t16,CAND1,0.8744855967078191,0.8744855967078191,False
k562,t16,CARM1,1.0,1.0,False
k562,t16,CAT,0.7000000000000001,0.7000000000000001,False
k562,t16,CCDC112,0.8444444444444446,0.8444444444444446,False
k562,t16,CDK8,0.9176954732510288,0.9176954732510288,False
k562,t16,CHD3,0.6790123456790124,0.740329218106996,True
k562,t16,CHD6,0.8761316872427982,0.8761316872427982,False
k562,t16,CHKB,0.9279835390946501,0.9279835390946501,True
k562,t16,CLCN6,0.7979423868312758,0.8041152263374486,True
k562,t16,COIL,0.9979423868312757,0.9979423868312757,False
k562,t16,COMMD8,0.5279835390946501,0.5279835390946501,False
k562,t16,COQ10B,0.9329218106995886,0.9329218106995886,False
k562,t16,CSNK2A1,0.9979423868312757,0.9979423868312757,False
k562,t16,CYTH2,0.5962962962962962,0.5962962962962962,False
k562,t16,DBF4B,0.3930041152263375,0.3930041152263375,False
k562,t16,DBN1,0.7609053497942386,0.7609053497942386,False
k562,t16,DCAF16,0.5333333333333333,0.791358024691358,True
k562,t16,DCP2,0.9975308641975309,0.9975308641975309,False
k562,t16,DDHD1,0.960082304526749,0.960082304526749,False
k562,t16,DEAF1,0.06954732510288066,0.06954732510288066,False
k562,t16,DEK,0.9135802469135802,0.9135802469135802,False
k562,t16,DHRS1,0.6510288065843622,0.6839506172839507,True
k562,t16,DHX35,0.9860082304526748,0.9860082304526748,False
k562,t16,DLAT,0.8197530864197531,0.8197530864197531,False
k562,t16,DMTF1,0.5111111111111111,0.5111111111111111,False
k562,t16,DNTTIP1,1.0,1.0,True
k562,t16,DRG2,0.6436213991769547,0.6436213991769547,False
k562,t16,DTNBP1,0.6069958847736626,0.6069958847736626,False
k562,t16,DVL3,0.1234567901234568,0.1234567901234568,False
k562,t16,E2F1,0.9991769547325104,0.9991769547325104,False
k562,t16,E2F4,0.6592592592592593,0.6592592592592593,True
k562,t16,EAPP,0.9938271604938271,0.9938271604938271,False
k562,t16,EEF1A2,0.7950617283950616,0.7950617283950616,False
k562,t16,ELK1,0.9876543209876544,0.9876543209876544,False
k562,t16,EPC2,1.0,1.0,False
k562,t16,EPM2AIP1,0.9613168724279836,0.9962962962962963,True
k562,t16,EZH2,0.9868312757201646,0.9868312757201646,False
k562,t16,FAM120A,0.876954732510288,0.9193415637860082,True
k562,t16,FCGRT,0.8032921810699588,0.8032921810699588,False
k562,t16,FHL3,0.5481481481481482,0.5555555555555556,True
k562,t16,FOXN2,1.0,1.0,False
k562,t16,FOXO4,0.9753086419753088,0.9753086419753088,False
k562,t16,FUBP3,0.9938271604938271,0.9938271604938271,False
k562,t16,FXYD5,0.797119341563786,0.797119341563786,False
k562,t16,FZD2,0.43209876543209874,0.43209876543209874,False
k562,t16,GIGYF2,1.0,1.0,False
k562,t16,GLI3,0.9962962962962963,0.9962962962962963,False
k562,t16,GLYR1,0.29876543209876544,0.31563786008230454,True
k562,t16,GMEB2,0.9983539094650205,0.9983539094650205,False
k562,t16,GPATCH8,0.9979423868312757,0.9979423868312757,False
k562,t16,GRAMD1A,0.6485596707818929,0.6485596707818929,False
k562,t16,GTF2IRD1,0.8395061728395062,0.8395061728395062,False
k562,t16,HDAC1,0.874074074074074,0.874074074074074,False
k562,t16,HDAC8,0.6761316872427983,0.6761316872427983,False
k562,t16,HMGN3,0.534156378600823,0.534156378600823,False
k562,t16,HMGN4,0.7353909465020577,0.7353909465020577,False
k562,t16,HMGXB3,1.0,1.0,True
k562,t16,HOMEZ,0.2094650205761317,0.21111111111111105,True
k562,t16,HSBP1,0.7176954732510289,0.7176954732510289,False
k562,t16,HSP90AB1,0.9551440329218107,0.9551440329218107,False
k562,t16,IFI27L2,0.7300411522633746,0.7300411522633746,False
k562,t16,IFNAR2,0.8230452674897121,0.8230452674897121,False
k562,t16,IFNGR2,0.9403292181069958,0.9403292181069958,False
k562,t16,IL10RB,0.9152263374485595,0.9152263374485595,False
k562,t16,IREB2,0.5460905349794238,0.5460905349794238,False
k562,t16,KDM5A,0.9995884773662552,0.9995884773662552,True
k562,t16,KHDRBS1,0.9374485596707819,0.9374485596707819,False
k562,t16,KHSRP,0.9995884773662552,0.9995884773662552,False
k562,t16,KIF2A,0.519753086419753,0.519753086419753,False
k562,t16,KMT2A,0.9020576131687243,0.9020576131687243,False
k562,t16,LDLR,0.8061728395061727,0.8061728395061727,False
k562,t16,LENG1,0.8641975308641975,0.8641975308641975,False
k562,t16,LMAN1,0.7728395061728395,0.7728395061728395,False
k562,t16,LMBRD2,0.5613168724279834,0.6436213991769547,True
k562,t16,LPCAT3,0.8485596707818931,0.8485596707818931,False
k562,t16,MAN2A1,0.18065843621399175,0.18065843621399175,False
k562,t16,MAP2K2,0.254320987654321,0.254320987654321,False
k562,t16,MAPK12,0.4897119341563786,0.4897119341563786,False
k562,t16,MARCKSL1,0.5069958847736626,0.5069958847736626,False
k562,t16,MBD4,0.16502057613168725,0.16502057613168725,False
k562,t16,MED13,0.994238683127572,0.994238683127572,False
k562,t16,MED15,0.8794238683127572,0.8946502057613169,True
k562,t16,MED25,0.993827160493827,0.993827160493827,True
k562,t16,MLLT10,0.7777777777777779,0.7777777777777779,True
k562,t16,MSANTD4,0.9946502057613168,0.9946502057613168,False
k562,t16,MSI2,0.8041152263374484,0.8041152263374484,False
k562,t16,MTA1,0.9962962962962963,0.9962962962962963,False
k562,t16,MTF1,0.9975308641975309,0.9975308641975309,False
k562,t16,MTHFSD,0.8366255144032921,0.8366255144032921,False
k562,t16,MTM1,0.7588477366255144,0.7588477366255144,False
k562,t16,MYD88,0.7037037037037037,0.7888888888888888,True
k562,t16,MYPOP,0.7213991769547324,0.7213991769547324,False
k562,t16,MYRF,0.9090534979423869,0.9090534979423869,False
k562,t16,NABP2,1.0,1.0,True
k562,t16,NAIF1,1.0,1.0,True
k562,t16,NCLN,0.7732510288065844,0.7732510288065844,False
k562,t16,NFE2L1,0.13744855967078184,0.13744855967078184,False
k562,t16,NGLY1,0.9893004115226339,0.9893004115226339,False
k562,t16,NIPAL3,0.6308641975308642,0.6308641975308642,True
k562,t16,NIPSNAP3A,0.5098765432098765,0.5098765432098765,False
k562,t16,NT5DC1,0.4271604938271604,0.4271604938271604,False
k562,t16,NUP37,0.8201646090534979,0.8510288065843622,True
k562,t16,PAN2,0.9995884773662552,0.9995884773662552,True
k562,t16,PAPOLA,0.9995884773662552,0.9995884773662552,False
k562,t16,PATL1,0.8296296296296296,0.8296296296296296,False
k562,t16,PCGF1,1.0,1.0,False
k562,t16,PCGF6,0.9934156378600822,0.9934156378600822,False
k562,t16,PDCD4,0.40411522633744856,0.40411522633744856,False
k562,t16,PDE6D,0.783127572016461,0.797119341563786,True
k562,t16,PDK1,0.36419753086419754,0.36419753086419754,False
k562,t16,PGLS,0.24074074074074078,0.24074074074074078,False
k562,t16,PHF19,0.6440329218106995,0.6440329218106995,False
k562,t16,PHF23,1.0,1.0,True
k562,t16,PHF8,0.9995884773662552,0.9995884773662552,False
k562,t16,PI4KB,0.8707818930041151,0.8707818930041151,False
k562,t16,PIM2,0.9703703703703703,0.9703703703703703,False
k562,t16,PIN1,0.23333333333333328,0.23333333333333328,False
k562,t16,PINK1,0.7880658436213993,0.7880658436213993,False
k562,t16,PKN3,0.760082304526749,0.760082304526749,False
k562,t16,PLAGL2,0.8493827160493826,0.8411522633744856,True
k562,t16,PLCG1,0.260082304526749,0.260082304526749,False
