bench,arm,score,sig_t,pds_cosine,de_wilcoxon_lfc_nmae,de_wilcoxon_direction_fidelity_yield_raw,de_wilcoxon_direction_reach_raw,de_wilcoxon_sig_jaccard,max_abs_consistency_gap
hepg2,replicate,0.31096561226831027,377.3645484949833,0.8640546789073198,0.5143773865675001,0.7055735128263747,0.9475341047123207,0.3433647512807887,5.551115123125783e-17
hepg2,null_new,-0.3406461500248264,0.1806020066889632,0.4982155282709704,1.0955917318897874,0.028478357448550345,0.12732798306583537,0.14047942907896327,2.7755575615628914e-17
hepg2,transfer_a2.0+cismeas_a1.0+cis_a1.0,0.020422623014836324,509.40802675585286,0.7530695158357837,0.9600141485144446,0.5288276510187621,0.4187823564844439,0.1241828112305806,1.1102230246251565e-16
hepg2,transfer_a4.0,-0.004513224064470067,1374.685618729097,0.7480752396130277,1.1218117321024117,0.5803004592049197,0.44655554196802366,0.08467779818174519,2.220446049250313e-16
hepg2,Cridge_a2.0,0.010135024276054129,567.581939799331,0.5659244461403785,0.9298169493943046,0.6199291741318197,0.4980823943892458,0.06727183668307703,1.1102230246251565e-16
hepg2,Cnet_a2.0,0.014649554510336475,556.4214046822742,0.5759915602343382,0.921625233456097,0.6066143914015775,0.5215325961447904,0.11023154701015195,1.1102230246251565e-16
hepg2,Jridge_a4.0,-0.27250630852496754,8.324414715719064,0.5166775156562142,1.0212925898080563,0.11621471966098555,0.20758280670085963,0.10397083518852707,1.1102230246251565e-16
hepg2,Jnet_a4.0,-0.21363365070600246,83.38461538461539,0.5377993759960494,0.9946643746674438,0.21299861002769843,0.22567895898504606,0.10626136553772629,2.7755575615628914e-17
hepg2,Jnbr_a4.0,-0.15469123424605155,256.05016722408027,0.5988642230252968,1.0162002587029884,0.32373790781389045,0.20411229325141486,0.07083972304947635,2.7755575615628914e-17
hepg2,Cnetperm_a2.0,0.016169199718070026,550.7224080267558,0.5817602298489372,0.9210376654603912,0.607343380250201,0.5240775910345898,0.0979512003465713,1.1102230246251565e-16
hepg2,Jnetperm_a4.0,-0.21113125459579093,79.25083612040133,0.5537698368162332,1.0138131870844067,0.21940449017218744,0.18945269542534393,0.1334554759960313,1.1102230246251565e-16
k562,replicate,0.7166508871952297,6.398230088495575,0.880609987357775,0.45665855749495315,0.6745230443461194,0.8753416290539676,0.4385412892821643,2.220446049250313e-16
k562,null_new,-0.1441417970683225,0.1415929203539823,0.5258375474083439,1.0296084672146868,0.03945182724252492,0.20837604947512067,0.23893805309734514,0.0
k562,oracle_a2.0,0.3967866732656608,76.46017699115045,0.7813685208596713,0.6840324500262457,0.631630313980998,0.819080138271409,0.03122158724127582,2.220446049250313e-16
k562,Tridge_a4.0,0.030302056576927323,71.69911504424779,0.5483565107458913,0.9753067147095407,0.3421119783638708,0.2906373583209931,0.16526157763846078,5.551115123125783e-17
k562,Tnet_a2.0,-0.09285919534126613,2.893805309734513,0.49051833122629585,1.0085428073382654,0.13383717461496017,0.2593788905515856,0.23079598052617695,2.7755575615628914e-17
k562,Tnbr_a4.0,0.03130582663590138,210.53097345132744,0.5335018963337548,0.9957509998472326,0.4026143711144313,0.34943998864371895,0.09357514195778001,0.0
k562,Tmean_a4.0,-0.10787781854996022,0.7256637168141593,0.497787610619469,0.9927424452710367,0.11515472182138849,0.26291391222774785,0.20394207562349156,0.0
k562,Tnetperm_a2.0,-0.10103295080571435,2.6283185840707963,0.5395069532237674,1.0275310361672714,0.08043774123191681,0.28549698949877345,0.2390681936491411,0.0
