held_out,arm,target,pds
k562,common,S100A11,0.5645756457564576
k562,common,SAP30L,0.38745387453874536
k562,common,SCAF8,0.7232472324723247
k562,common,SFXN4,0.7933579335793358
k562,common,SH2D3A,0.08118081180811809
k562,common,SHPRH,0.9003690036900369
k562,common,SIN3B,0.959409594095941
k562,common,SLC25A13,0.12177121771217714
k562,common,SLC39A1,0.32472324723247237
k562,common,SLIRP,0.23616236162361626
k562,common,SMARCA5,0.933579335793358
k562,common,SMARCC2,0.7121771217712177
k562,common,SMYD2,0.25461254612546125
k562,common,SND1,0.7011070110701108
k562,common,SNRK,0.96309963099631
k562,common,SNX4,0.1512915129151291
k562,common,SRSF5,0.7712177121771218
k562,common,SSR4,0.5904059040590406
k562,common,STAT6,0.915129151291513
k562,common,STK3,0.5129151291512914
k562,common,STT3A,0.8191881918819188
k562,common,SUPT7L,0.7601476014760148
k562,common,SYVN1,0.01845018450184499
k562,common,TAF15,0.5350553505535056
k562,common,TARBP2,0.28044280442804426
k562,common,TBC1D13,0.11439114391143912
k562,common,TBCK,0.42435424354243545
k562,common,TEAD4,0.3726937269372693
k562,common,TEX2,0.14022140221402213
k562,common,TFCP2,0.0627306273062731
k562,common,THAP3,0.11808118081180807
k562,common,THAP7,0.1697416974169742
k562,common,TIMM17B,0.29889298892988925
k562,common,TIMM50,0.4575645756457565
k562,common,TMCO6,0.39852398523985244
k562,common,TMED3,0.44280442804428044
k562,common,TMEM147,0.9077490774907749
k562,common,TMEM186,0.5166051660516605
k562,common,TMEM209,0.3210332103321033
k562,common,TMEM41B,0.6457564575645757
k562,common,TMF1,0.24723247232472323
k562,common,TRAPPC6A,0.6088560885608856
k562,common,TRIB3,0.07380073800738007
k562,common,TRIM35,0.3911439114391144
k562,common,TRIP4,0.6789667896678967
k562,common,TRMT1,0.26199261992619927
k562,common,TRPC4AP,0.8302583025830258
k562,common,TWF2,0.22878228782287824
k562,common,UNK,0.7970479704797048
k562,common,UPF3B,0.7306273062730627
k562,common,UROS,0.49446494464944646
k562,common,USP28,0.5756457564575646
k562,common,VAPB,0.6568265682656826
k562,common,VIM,0.5055350553505535
k562,common,WBP4,0.0036900369003689537
k562,common,YIPF6,0.6199261992619927
k562,common,ZBTB34,0.21033210332103325
k562,common,ZBTB41,0.5940959409594095
k562,common,ZBTB48,0.27306273062730624
k562,common,ZC3HAV1,0.30627306273062727
k562,common,ZDHHC12,0.8560885608856088
k562,common,ZDHHC4,0.5498154981549815
k562,common,ZFP62,0.6752767527675276
k562,common,ZHX3,0.6937269372693726
k562,common,ZKSCAN1,0.45018450184501846
k562,common,ZKSCAN2,0.07749077490774903
k562,common,ZKSCAN3,0.35424354243542433
k562,common,ZNF16,0.9188191881918819
k562,common,ZNF174,0.7749077490774907
k562,common,ZNF219,0.9261992619926199
k562,common,ZNF22,0.3025830258302583
k562,common,ZNF25,0.7453874538745388
k562,common,ZNF251,0.15498154981549817
k562,common,ZNF280C,0.1254612546125461
k562,common,ZNF282,0.029520295202952074
k562,common,ZNF32,0.5867158671586716
k562,common,ZNF324,0.988929889298893
k562,common,ZNF397,0.8966789667896679
k562,common,ZNF410,0.7896678966789668
k562,common,ZNF444,0.8671586715867159
k562,common,ZNF462,0.8081180811808117
k562,common,ZNF496,0.7675276752767528
k562,common,ZNF507,0.3763837638376384
k562,common,ZNF514,0.15867158671586712
k562,common,ZNF526,0.21771217712177127
k562,common,ZNF530,0.2656826568265682
k562,common,ZNF543,0.929889298892989
k562,common,ZNF627,0.3394833948339483
k562,common,ZNF628,0.6605166051660516
k562,common,ZNF641,0.09594095940959413
