,PDS,MSE,NMAE,FID,REACH,JAC,avg,sig/t
replicate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,430.22
baseline,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,8.49
null_new,-0.016421830355854445,0.0,-0.37093701191132084,-0.1628146602572904,-0.1966194945637155,0.20844766954423818,-0.08972422125732382,0.13
transfer_a0.5,0.3712372651447373,0.0,-0.3308950009426609,-0.06729579148555759,-0.03698356414579167,0.2383232771331706,0.029064364283982968,12.003333333333334
transfer_a1.0,0.5375624116136107,0.0,-0.1794840808966948,0.21619685979847522,0.0961829267988178,0.3416899356809749,0.16869134216586398,91.59666666666666
transfer_a2.0,0.6299748910502466,0.0,-0.19133617232664696,0.5651260819205737,0.1698372483893375,0.3156839553747888,0.24821433406804994,410.54
rawtransfer_a0.5,0.5547634852376692,0.0,-0.25919990071641863,0.018587723854581063,0.020263919829039065,0.20023076080802185,0.08910766483548209,29.373333333333335
transfer_a2.0+cismeas_a1.0+cis_a1.0,0.6449536783168347,0.0,-0.1536056559412137,0.5689775139473854,0.1787578696700889,0.2978622369830391,0.25615760716268904,408.8833333333333
