pathway,held_out,n_targets
IFNB,A549,61
IFNB,BXPC3,61
IFNB,HAP1,61
IFNB,HT29,61
IFNB,K562,61
IFNB,MCF7,61
IFNG,A549,59
IFNG,BXPC3,59
IFNG,HAP1,59
IFNG,HT29,59
IFNG,K562,59
IFNG,MCF7,59
INS,A549,44
INS,BXPC3,44
INS,HAP1,44
INS,HT29,44
INS,K562,44
INS,MCF7,44
TGFB1,A549,52
TGFB1,BXPC3,52
TGFB1,HAP1,52
TGFB1,HT29,52
TGFB1,K562,52
TGFB1,MCF7,52
TNFA,A549,55
TNFA,BXPC3,55
TNFA,HAP1,55
TNFA,HT29,55
TNFA,K562,55
TNFA,MCF7,55
