#Archive/File	Name	Time	Size	Type
File	GSM7951418_channel6_transcriptome_matrix.mtx.gz	11/22/2023 21:06:16	131152482	MTX
File	GSM7951419_channel7_guides_barcode.tsv.gz	11/22/2023 20:58:24	18350144	TSV
File	GSM7951419_channel7_guides_features.tsv.gz	11/22/2023 20:58:24	425955	TSV
File	GSM7951419_channel7_guides_matrix.mtx.gz	11/22/2023 20:56:04	25184604	MTX
File	GSM7951419_channel7_labels_barcode.tsv.gz	11/22/2023 21:22:46	18350144	TSV
File	GSM7951419_channel7_labels_features.tsv.gz	11/22/2023 20:56:38	111	TSV
File	GSM7951419_channel7_labels_matrix.mtx.gz	11/22/2023 20:56:08	6059093	MTX
File	GSM7951419_channel7_transcriptome_barcode.tsv.gz	11/22/2023 20:56:47	18350144	TSV
File	GSM7951419_channel7_transcriptome_features.tsv.gz	11/22/2023 21:22:14	185493	TSV
File	GSM7951419_channel7_transcriptome_matrix.mtx.gz	11/22/2023 21:00:10	164198994	MTX
File	GSM7951420_channel8_guides_barcode.tsv.gz	11/22/2023 21:03:45	18350144	TSV
File	GSM7951420_channel8_guides_features.tsv.gz	11/22/2023 21:06:17	425955	TSV
File	GSM7951420_channel8_guides_matrix.mtx.gz	11/22/2023 21:04:27	25284050	MTX
File	GSM7951420_channel8_labels_barcode.tsv.gz	11/22/2023 21:06:48	18350144	TSV
File	GSM7951420_channel8_labels_features.tsv.gz	11/22/2023 21:03:45	111	TSV
File	GSM7951420_channel8_labels_matrix.mtx.gz	11/22/2023 21:06:23	5059934	MTX
File	GSM7951420_channel8_transcriptome_barcode.tsv.gz	11/22/2023 21:04:54	18350144	TSV
File	GSM7951420_channel8_transcriptome_features.tsv.gz	11/22/2023 21:06:24	185493	TSV
File	GSM7951420_channel8_transcriptome_matrix.mtx.gz	11/22/2023 21:07:41	135738054	MTX
File	GSM7951421_channel9_guides_barcode.tsv.gz	11/22/2023 20:52:59	18350144	TSV
File	GSM7951421_channel9_guides_features.tsv.gz	11/22/2023 20:54:38	425955	TSV
File	GSM7951421_channel9_guides_matrix.mtx.gz	11/22/2023 20:52:30	20193804	MTX
File	GSM7951421_channel9_labels_barcode.tsv.gz	11/22/2023 21:24:00	18350144	TSV
File	GSM7951421_channel9_labels_features.tsv.gz	11/22/2023 20:52:02	111	TSV
File	GSM7951421_channel9_labels_matrix.mtx.gz	11/22/2023 20:54:37	6375528	MTX
File	GSM7951421_channel9_transcriptome_barcode.tsv.gz	11/22/2023 20:52:46	18350144	TSV
File	GSM7951421_channel9_transcriptome_features.tsv.gz	11/22/2023 20:52:33	185493	TSV
File	GSM7951421_channel9_transcriptome_matrix.mtx.gz	11/22/2023 20:55:30	150323778	MTX
File	GSM7951422_channel10_guides_barcode.tsv.gz	11/22/2023 21:14:24	18350144	TSV
File	GSM7951422_channel10_guides_features.tsv.gz	11/22/2023 20:17:36	425955	TSV
File	GSM7951422_channel10_guides_matrix.mtx.gz	11/22/2023 20:20:41	23200835	MTX
File	GSM7951422_channel10_labels_barcode.tsv.gz	11/22/2023 20:18:35	18350144	TSV
File	GSM7951422_channel10_labels_features.tsv.gz	11/22/2023 20:20:41	111	TSV
File	GSM7951422_channel10_labels_matrix.mtx.gz	11/22/2023 20:17:36	6454792	MTX
File	GSM7951422_channel10_transcriptome_barcode.tsv.gz	11/22/2023 20:21:15	18350144	TSV
File	GSM7951422_channel10_transcriptome_features.tsv.gz	11/22/2023 20:18:18	185493	TSV
