held_out,arm,targets,pds_proxy,minus_t20like,ci95
cd4_mix,t20like,292,0.6922633338040767,0.0,"[0.0, 0.0]"
cd4_mix,t20like+net0.05,292,0.693169514663654,0.0009061808595772727,"[-0.00018829732147060142, 0.002035964788400886]"
cd4_mix,t20like+netshuf0.05,292,0.6926752341947936,0.00041190039071694213,"[-0.0006472720425551916, 0.0017417502236030677]"
cd4_mix,t20like+net0.1,292,0.6944522901661724,0.0021889563620957485,"[0.0002236030692463399, 0.004377912724191498]"
cd4_mix,t20like+netshuf0.1,292,0.6932518947417973,0.0009885609377206631,"[-0.0010944781810478708, 0.0035426375747305036]"
cd4_mix,t20like+net0.2,292,0.6954996940168526,0.0032363602127759724,"[-0.0004245516170032489, 0.006979063691568985]"
cd4_mix,t20like+netshuf0.2,292,0.6937108694628819,0.0014475356588052545,"[-0.0030836628536459053, 0.0073797839288236074]"
cd4_mix,t20like+net0.4,292,0.6952525537824223,0.0029892199783458097,"[-0.004179023678388175, 0.010368121263475027]"
cd4_mix,t20like+netshuf0.4,292,0.6914630701878266,-0.000800263616250056,"[-0.008932942616391283, 0.007863766887916008]"
orion_hct116,t20like,265,0.7084048027444254,0.0,"[0.0, 0.0]"
orion_hct116,t20like+net0.05,265,0.7085620354488279,0.00015723270440251642,"[-0.000728987993138936, 0.001143510577472841]"
orion_hct116,t20like+netshuf0.05,265,0.7084333905088622,2.8587764436822273e-05,"[-0.0009866352201257866, 0.0010863350485991999]"
orion_hct116,t20like+net0.1,265,0.7089336763865066,0.0005288736420811888,"[-0.0008719268153230414, 0.0021440823327615786]"
orion_hct116,t20like+netshuf0.1,265,0.7081618067467125,-0.00024299599771297864,"[-0.0020736849628359066, 0.0017295597484276747]"
orion_hct116,t20like+net0.2,265,0.7094482561463693,0.0010434534019439705,"[-0.0015726843910806156, 0.003845054316752432]"
orion_hct116,t20like+netshuf0.2,265,0.7084048027444254,1.25685625429263e-18,"[-0.003416595197255575, 0.003502358490566037]"
orion_hct116,t20like+net0.4,265,0.7091052029731275,0.0007004002287021174,"[-0.00433211835334477, 0.005418453401943965]"
orion_hct116,t20like+netshuf0.4,265,0.7087335620354489,0.0003287592910234442,"[-0.006561249285305885, 0.0077047598627787315]"
orion_hek293t,t20like,278,0.676583642833026,0.0,"[0.0, 0.0]"
orion_hek293t,t20like+net0.05,278,0.6767914188504791,0.00020777601745318442,"[-0.0007015687089317731, 0.0011820507492922606]"
orion_hek293t,t20like+netshuf0.05,278,0.675479832740306,-0.001103810092720048,"[-0.002467340207256577, 7.824065657221322e-05]"
orion_hek293t,t20like+net0.1,278,0.6775186349115653,0.0009349920785393323,"[-0.0007661740643586224, 0.0028442588889177407]"
orion_hek293t,t20like+netshuf0.1,278,0.6749993506999455,-0.0015842921330805418,"[-0.0035971223021582766, 0.00031166402617977543]"
orion_hek293t,t20like+net0.2,278,0.6788561930239202,0.0022725501908942135,"[-0.001195361400410359, 0.0059109030465158445]"
orion_hek293t,t20like+netshuf0.2,278,0.674155260629042,-0.0024283822039841084,"[-0.0061164065137781515, 0.0012732774069552978]"
orion_hek293t,t20like+net0.4,278,0.6792847310599174,0.002701088226891411,"[-0.0037665896163935303, 0.009493091447419683]"
orion_hek293t,t20like+netshuf0.4,278,0.6730514505363218,-0.0035321922967041512,"[-0.010648845544503027, 0.004778848401423264]"
