held_out,shape,pairs_2kb,pairs_measured,targets_with_pair,truth_mean_ln,truth_median_ln,transfer_mean_ln,transfer_zero_share,prior_mean_ln,corr_transfer_truth,sign_agree_transfer,sign_agree_prior,truth_below_minus_0.35ln
k562,t16,54,33,54,-0.7108168601989746,-0.5467750430107117,-0.48080599308013916,0.030303030303030304,-0.5427462377340689,0.6987541110297486,0.8787878787878788,0.8787878787878788,0.6363636363636364
k562,t19,54,33,54,-0.7108168601989746,-0.5467750430107117,-0.847414493560791,0.030303030303030304,-0.5427462377340689,0.6636286734413321,0.8787878787878788,0.8787878787878788,0.6363636363636364
cd4_mix,t16,60,50,60,-0.9441789388656616,-0.6908069252967834,-0.3651379346847534,0.02,-0.542189216904397,0.5976106414895509,0.88,0.9,0.7
cd4_mix,t19,60,50,60,-0.9441789388656616,-0.6908069252967834,-0.5721942186355591,0.02,-0.542189216904397,0.6146816668670392,0.9,0.9,0.7
orion_hct116,t16,53,47,53,-0.4575901925563812,-0.32283297181129456,-0.6867921948432922,0.0425531914893617,-0.5429316301127464,0.5780405074939337,0.7872340425531915,0.8297872340425532,0.46808510638297873
orion_hct116,t19,53,47,53,-0.4575901925563812,-0.32283297181129456,-1.1997541189193726,0.0425531914893617,-0.5429316301127464,0.5811196515516202,0.7872340425531915,0.8297872340425532,0.46808510638297873
orion_hek293t,t16,55,48,55,-0.33666321635246277,-0.29430365562438965,-0.6744346618652344,0.041666666666666664,-0.5418095898445495,0.6354451074349442,0.8333333333333334,0.875,0.4375
orion_hek293t,t19,55,48,55,-0.33666321635246277,-0.29430365562438965,-1.1759508848190308,0.041666666666666664,-0.5418095898445495,0.6370646506428121,0.875,0.875,0.4375
