held_out,targets,arm,pds_proxy_generator,minus_raw@0.394,ci95,median_abs_comp_shift_log2,median_genes_moved_gt_0.1ln,max_abs_ln_fc
k562,257,raw@0.394,0.710608179312581,0.0,"[0.0, 0.0]",0.002682237127959889,1055.0,2.3293014202999913
k562,257,raw@0.788,0.7376935392347601,0.027085359922178993,"[0.019123103450605274, 0.03555485469357976]",0.005549246835975564,2935.6666666666665,4.658602840599983
k562,257,zk16@0.394,0.6374702766969305,-0.07313790261565067,"[-0.09044053819444443, -0.05510599059662775]",0.0008105883926189507,65.0,1.5992823370871831
k562,257,zk16@q99cap2,0.7410948308473844,0.030486651534803285,"[0.017811731585062687, 0.04369903973465196]",0.0029718983032034226,600.3333333333334,2.0
k562,257,zk64@0.394,0.5819028993731086,-0.12870527993947253,"[-0.15280154797611328, -0.10442649224492002]",0.00039504680104653837,15.0,1.547580500067793
k562,257,zk64@q99cap2,0.7468030560959793,0.03619487678339818,"[0.01875840189958928, 0.05379491427529182]",0.0037623765337325816,528.3333333333334,2.0
cd4_mix,292,raw@0.394,0.6545737942433324,0.0,"[0.0, 0.0]",0.0032508917887403227,883.6666666666666,2.412576544960413
cd4_mix,292,raw@0.788,0.6613995721466418,0.006825777903309327,"[0.0018592072159717959, 0.01216632799301208]",0.006935845958963492,2987.6666666666665,4.825153089920826
cd4_mix,292,zk16@0.394,0.6120879034662399,-0.0424858907770926,"[-0.06067328714818477, -0.0244793056013223]",0.0006652128647993359,21.333333333333332,1.114583924273889
cd4_mix,292,zk16@q99cap2,0.6716983895348533,0.01712459529152087,"[0.005541106351373258, 0.029014623117680587]",0.0032049734356266574,635.6666666666666,2.0
cd4_mix,292,zk64@0.394,0.567758268083081,-0.0868155261602515,"[-0.11012418469875046, -0.06350954824334293]",0.0002351374344610922,3.0,1.0112237606142178
cd4_mix,292,zk64@q99cap2,0.6759494630911098,0.02137566884777731,"[0.007347224183652655, 0.03580342805734699]",0.003300587503409148,560.3333333333334,2.0
orion_hct116,242,raw@0.394,0.6631726544966832,0.0,"[0.0, 0.0]",0.003358971900549862,964.0,2.3075803449653587
orion_hct116,242,raw@0.788,0.6746377391416999,0.011465084645016735,"[0.004256017359563179, 0.01889000339113502]",0.007475932387765528,2514.3333333333335,4.615160689930717
orion_hct116,242,zk16@0.394,0.6192403095458547,-0.04393234495082854,"[-0.06268317844609811, -0.026252005151477055]",0.0009919970396822177,81.0,1.5992823370871831
orion_hct116,242,zk16@q99cap2,0.679278640802594,0.016105986305910865,"[0.003155946488651129, 0.03009608533467455]",0.0037439529821323534,642.1666666666666,2.0
orion_hct116,242,zk64@0.394,0.5730218061413838,-0.0901508483552995,"[-0.11613113404890091, -0.06321980651478953]",0.0004817833045310451,18.0,1.547580500067793
orion_hct116,242,zk64@q99cap2,0.6768305461251519,0.013657891628468774,"[-0.006044745836333908, 0.033643250688705204]",0.004792188657369801,567.6666666666666,2.0
orion_hek293t,254,raw@0.394,0.6425708644126995,0.0,"[0.0, 0.0]",0.003420172239153579,968.3333333333334,2.3075803449653587
orion_hek293t,254,raw@0.788,0.6510310223079822,0.008460157895282861,"[0.002438930558581371, 0.014802596315776738]",0.0074410051204357374,2540.0,4.615160689930717
orion_hek293t,254,zk16@0.394,0.6108361948827543,-0.031734669529945116,"[-0.04999853032204966, -0.013776372074044104]",0.00101907534297629,81.0,1.5992823370871831
orion_hek293t,254,zk16@q99cap2,0.6637446010948236,0.021173736682124224,"[0.007678289225704508, 0.035098459777508036]",0.003855714025355693,647.5,2.0
orion_hek293t,254,zk64@0.394,0.5717635097984294,-0.07080735461427005,"[-0.09862027498538967, -0.04450327478827998]",0.0005009503836868188,18.5,1.547580500067793
orion_hek293t,254,zk64@q99cap2,0.662824755601202,0.02025389118850262,"[0.0010215126271271406, 0.03910670380629297]",0.004843982555577235,568.5,2.0
