target,n_tested,n_sig,n_sig_up,median_abs_lfc_sig,mean_lfc_all,frac_up
pseudo_00,9908,0.0,0.0,,-0.011339386710741018,
pseudo_01,9908,0.0,0.0,,-0.02632509238815235,
pseudo_02,9908,0.0,0.0,,-0.02139438876456459,
pseudo_03,9908,0.0,0.0,,-0.01716919798141079,
