target,n_tested,n_sig,n_sig_up,median_abs_lfc_sig,mean_lfc_all,frac_up
pseudo_00,9908,1.0,1.0,1.0417595629236938,-0.01196925995644501,1.0
pseudo_01,9908,0.0,0.0,,-0.01972486687404081,
pseudo_02,9908,0.0,0.0,,-0.01547024510019569,
pseudo_03,9908,0.0,0.0,,-0.023092273511042295,
