target,n_tested,n_sig,n_sig_up,median_abs_lfc_sig,mean_lfc_all,frac_up
pseudo_00,9908,0.0,0.0,,-0.026205056137594777,
pseudo_01,9908,0.0,0.0,,-0.016366211072913812,
pseudo_02,9908,0.0,0.0,,-0.004658430306672848,
pseudo_03,9908,0.0,0.0,,-0.02148420426271247,
